"Monthly rainfall at some stations by Year, Cities, provincies and Month"

"Year";"Cities, provincies";"Jan.";"Feb.";"March";"April";"May";"June";"July";"Aug.";"Sep.";"Oct.";"Nov.";"Dec"
"2015";"Lai Chau";82.7;41.0;63.2;140.3;216.7;393.0;456.7;272.8;188.9;202.7;84.9;152.2
"2015";"Son La";76.3;1.6;61.3;75.1;42.6;359.8;429.5;258.9;266.2;86.0;44.9;101.2
"2015";"Tuyen Quang";65.5;14.1;68.3;80.3;302.3;227.4;297.3;240.9;303.4;52.9;424.1;97.2
"2015";"Ha Noi";25.6;12.5;59.4;21.6;74.2;241.1;96.8;354.2;345.4;99.7;158.0;31.5
"2015";"Bai Chay";36.1;35.6;23.1;26.8;187.2;255.9;900.5;399.6;277.7;120.0;41.2;63.9
"2015";"Nam Dinh";23.7;53.7;61.3;18.6;88.2;146.0;113.8;271.6;348.6;81.0;100.7;42.5
"2015";"Vinh";60.9;49.2;73.5;60.0;119.7;121.0;90.1;50.0;368.1;159.6;219.0;93.1
"2015";"Hue";71.1;64.2;180.5;151.7;40.5;33.8;69.0;51.7;246.6;457.6;526.6;313.0
"2015";"Da Nang";24.2;12.0;179.3;89.7;34.6;24.8;36.8;190.9;416.0;356.1;328.2;179.8
"2015";"Qui Nhon";63.5;16.9;67.7;36.2;4.5;17.7;51.8;85.2;77.7;140.5;540.5;249.2
"2015";"Playku";..;0.1;0.4;12.5;140.1;371.4;417.8;229.4;277.4;148.0;36.9;0.1
"2015";"Da Lat";0.1;28.1;5.3;157.0;282.2;259.6;285.1;225.2;252.9;334.1;72.2;49.6
"2015";"Nha Trang";26.3;1.4;8.1;28.6;39.4;22.4;22.9;1.4;49.0;210.8;794.0;246.2
"2015";"Vung Tau";2.5;..;..;13.8;100.3;253.5;302.1;194.6;161.5;241.3;5.1;4.8
"2015";"Ca Mau";43.6;..;..;6.4;131.6;466.6;200.7;250.6;645.3;231.4;272.4;48.6
"2014";"Lai Chau";3.7;16.7;81.6;214.4;243.8;442.2;467.1;398.1;180.8;120.2;97.2;1.4
"2014";"Son La";1.4;21.4;36.5;75.1;129.6;252.1;299.8;311.5;114.6;29.0;143.6;..
"2014";"Tuyen Quang";3.8;35.7;53.3;134.6;110.9;149.0;173.4;406.0;172.7;163.0;88.9;7.9
"2014";"Ha Noi";0.7;16.1;68.6;170.4;106.1;221.7;357.3;314.7;237.3;119.4;36.5;11.8
"2014";"Bai Chay";1.0;21.9;58.8;148.1;36.9;296.4;515.0;435.4;299.0;33.2;43.9;32.4
"2014";"Nam Dinh";1.7;22.4;85.9;142.8;168.5;218.5;274.4;246.4;288.3;185.5;66.5;20.5
"2014";"Vinh";5.5;46.9;30.9;15.9;19.2;272.7;110.7;168.5;194.6;472.9;63.6;65.1
"2014";"Hue";76.3;28.6;16.9;5.3;79.5;6.7;224.7;135.6;44.9;694.6;225.0;771.4
"2014";"Da Nang";86.6;..;3.9;63.2;5.5;82.4;183.6;180.8;111.5;819.4;288.1;399.1
"2014";"Qui Nhon";19.6;1.7;9.8;26.7;13.4;1.2;37.0;108.4;244.1;480.9;286.1;399.0
