"Area of housing floors constructed in the year by region by Region and Year"

"Region";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"TOTAL";33370;51135;57911;68210;85885;84366;81313;86621;89843
"Red River Delta";8381;13933;13519;17391;23993;22619;18841;22345;21618
"Northern midlands and mountain areas";2305;6580;7035;7952;14147;10521;10829;12329;12662
"North Central and Central coastal areas";6072;9465;11653;14007;13399;16665;17382;17717;19023
"Central Highlands";803;2748;2741;2578;4505;4143;5321;5640;5966
"South  East";7806;9192;9251;11618;11757;11355;10338;10875;11271
" Mekong River Delta";8003;9217;13712;14664;18084;19063;18602;17715;19303
