"Volume of passengers carried by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Northern Central area and Central coastal area";93.8;93.1;94.8;102.9;112.5;120.1;134.9;148.6;161.8;178.2;199.9;210.9;228.3;238.7;253.3
"Thanh Hoa";2.7;3.2;3.4;3.6;3.8;5.0;5.7;6.6;8.4;10.6;12.4;13.2;13.8;14.9;16.1
"Nghe An";9.4;9.8;11.1;12.7;16.0;16.5;19.3;22.8;24.2;28.8;30.7;36.9;41.1;44.8;48.5
"Ha Tinh";2.2;2.3;2.7;2.8;3.4;3.6;4.2;5.2;6.3;7.7;9.8;11.3;12.4;13.3;14.6
"Quang Binh";5.8;6.0;6.7;7.0;7.4;7.7;5.1;6.8;9.4;9.8;12.4;9.8;10.6;11.0;11.6
"Quang Tri";4.2;3.8;3.2;3.2;3.2;3.0;3.5;3.8;4.6;6.0;6.6;5.4;5.5;5.8;6.2
"Thua Thien-Hue";9.7;10.0;9.8;12.1;9.1;7.2;12.7;13.6;13.6;12.1;12.6;13.0;14.9;16.0;17.5
"Da Nang";15.4;12.9;12.3;13.2;14.9;12.0;13.3;15.3;17.4;18.8;23.8;25.7;27.8;26.2;29.9
"Quang  Nam";6.3;6.4;6.9;6.9;6.9;7.1;8.6;8.8;8.7;8.7;9.4;9.8;11.0;12.4;10.0
"Quang  Ngai";1.1;1.1;0.9;0.9;0.9;1.1;1.3;1.4;1.6;1.9;2.4;2.3;2.6;2.9;3.1
"Binh Dinh";13.3;13.7;13.8;14.9;15.1;18.4;19.9;21.1;22.4;22.8;23.4;24.4;26.1;26.7;28.0
"Phu Yen";5.8;6.0;6.3;6.6;7.0;7.3;7.5;7.8;8.4;9.2;10.0;10.4;11.3;12.0;12.7
"Khanh  Hoa";7.5;7.2;8.0;9.0;13.6;19.4;21.2;22.4;22.4;26.2;28.8;30.2;32.0;32.7;33.8
"Ninh  Thuan";1.6;1.8;2.1;2.2;2.2;2.4;2.5;2.4;3.2;3.8;4.6;4.9;5.0;4.9;5.1
"Binh Thuan";8.8;8.9;7.6;7.8;9.0;9.5;10.2;10.6;11.2;11.8;13.0;13.6;14.2;15.1;16.2
"Central Highlands";14.5;15.7;16.8;18.6;19.3;22.6;25.1;27.2;34.5;43.9;51.1;58.2;61.4;64.7;67.0
"Kon Tum";0.9;1.0;1.0;1.1;1.1;1.2;1.4;1.5;1.6;2.6;3.1;4.4;4.6;4.9;5.3
"Gia Lai";2.1;2.3;2.3;2.4;2.6;3.2;3.4;3.8;4.8;5.8;5.8;8.9;9.6;10.2;10.9
"Dak Lak";6.4;6.5;6.4;6.5;6.6;7.9;8.2;8.7;8.7;12.6;14.9;14.7;15.3;15.5;16.9
"Dak Nong";..;..;..;0.8;0.8;1.2;1.4;1.4;1.7;1.7;2.0;2.1;2.4;2.5;2.6
"Lam Dong";5.1;5.9;7.1;7.8;8.2;9.1;10.7;11.8;17.7;21.2;25.3;28.1;29.5;31.6;31.3
"South East";219.0;252.1;260.2;272.0;281.8;297.2;324.1;367.3;388.9;502.3;624.6;745.9;822.7;889.1;953.3
"Binh Phuoc";2.6;2.6;2.7;2.7;4.0;4.3;4.9;5.3;5.5;6.2;6.7;7.7;8.0;8.5;8.7
"Tay Ninh";5.5;5.7;6.0;7.2;8.3;6.0;8.8;10.9;11.7;12.5;13.0;13.5;13.8;14.5;14.7
"Binh Duong";3.3;3.6;3.8;4.6;5.4;7.5;10.4;13.7;15.7;20.6;24.6;26.2;27.1;29.1;30.4
"Dong Nai";18.0;24.3;26.5;30.3;34.4;38.0;43.4;45.7;48.2;54.0;58.7;64.2;73.0;75.8;78.8
"Ba Ria - Vung Tau";11.6;13.8;12.8;15.9;18.2;21.2;24.7;26.8;26.6;28.2;30.5;30.8;35.8;37.9;36.4
"Ho Chi Minh city";178.0;202.1;208.4;211.3;211.5;220.2;231.9;264.9;281.2;380.8;491.1;603.5;665.0;723.3;784.3
"Mekong River Delta";314.4;331.3;349.2;353.0;379.2;409.1;451.7;479.4;513.1;530.9;561.1;571.7;594.4;609.6;624.5
"Long An";31.2;32.3;31.8;32.1;32.4;34.4;30.1;32.6;38.5;40.6;41.5;42.1;44.9;46.3;48.5
"Tien Giang";29.3;30.7;31.1;31.2;27.1;22.7;26.5;27.6;25.3;26.5;27.9;28.8;30.7;32.0;25.3
"Ben Tre";16.1;17.5;17.8;20.1;21.9;24.5;26.0;29.2;30.1;32.2;38.6;38.3;39.2;36.1;38.1
"Tra Vinh";10.3;9.0;10.1;9.8;9.7;9.3;11.3;11.4;7.2;10.9;10.9;7.2;7.6;8.4;8.9
"Vinh Long";22.3;23.3;24.3;25.7;27.8;28.5;31.3;33.3;34.0;36.0;38.5;37.5;38.8;39.2;39.9
"Dong Thap";17.2;17.4;17.6;18.1;19.7;22.8;21.4;23.5;25.5;24.1;25.8;25.0;25.7;26.3;25.0
"An Giang";18.7;21.7;25.7;37.9;41.4;40.1;51.3;55.6;63.7;66.9;70.5;73.5;73.1;70.4;78.4
"Kien  Giang";14.1;14.6;15.4;17.2;20.6;28.7;27.6;29.4;29.8;29.4;31.9;33.8;35.2;37.6;40.2
"Can Tho";97.2;103.2;109.5;57.6;68.2;82.7;91.8;93.4;94.4;96.3;97.2;105.4;110.8;118.1;122.6
"Hau Giang";..;..;..;34.7;36.9;34.0;46.7;50.5;54.4;62.2;66.9;72.2;76.2;80.5;82.9
"Soc Trang";16.6;17.1;18.9;18.0;18.9;20.6;22.4;23.2;27.9;32.5;36.5;33.1;34.6;36.3;34.0
"Bac Lieu";15.6;16.8;17.4;20.0;22.2;26.0;28.2;31.3;37.3;40.9;41.0;42.9;44.1;45.1;46.3
"Ca Mau";25.8;27.7;29.6;30.6;32.4;34.8;37.1;38.4;45.0;32.4;33.9;31.9;33.5;33.3;34.4
