"Some main indicators on capacity of transportation by Year, Indicators and Management"

"Year";"Indicators";"Total";"Central management";"Provincial city management";"District management"
"2008";"Inland waterways weight 101 tons - 500 tons (Km)";6229;2513;2356;1360
"2008";"Inland waterways weight 501 tons - 1000 tons (Km)";1267;964;78;226
"2008";"Inland waterways weight over 1001 tons (Km)";1119;1093;25;..
"2008";"Number of bridges (Unit)";28937;3051;6101;19785
"2008";"Total length of bridges (M)";746977;153730;196384;396863
"2007";"Road (Km)";160089;13554;31575;114960
"2007";"Asphalted road (Km)";66010;12768;22086;31156
"2007";"Stone paved road (Km)";10231;275;865;9091
"2007";"Mixed stone & soil road (Km)";36150;392;5034;30724
"2007";"Soil road (Km)";47698;119;3590;43989
"2007";"Inland waterways (Km)";33536;6999;10139;16398
"2007";"Inland waterways weight under 50 tons (Km)";19599;1149;5490;12960
"2007";"Inland waterways weight 51 tons - 100 tons (Km)";6138;1666;2734;1738
"2007";"Inland waterways weight 101 tons - 500 tons (Km)";5846;2680;1672;1494
"2007";"Inland waterways weight 501 tons - 1000 tons (Km)";1953;1504;243;206
"2007";"Inland waterways weight over 1001 tons (Km)";1223;1145;78;..
"2007";"Number of bridges (Unit)";28336;2938;7773;17625
"2007";"Total length of bridges (M)";656313;135766;201909;318638
