"Volume of freight by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Quang  Nam";1618.0;1865.0;2125.0;2453.0;2094.5;3247.0;3688.6;4427.0;4756.0;5567.0;6637.5;7654.8;7414.6;11865.9;12496.3
"Quang  Ngai";742.0;865.0;938.0;950.0;1048.0;1146.0;2040.0;2694.0;2645.0;3028.0;3185.2;5505.9;6716.5;6737.4;7203.2
"Binh Dinh";1421.0;1474.0;2051.0;3132.0;4571.2;5813.0;6581.0;6997.0;7342.0;8080.0;9049.2;10265.6;9574.3;12230.1;12812.0
"Phu Yen";2921.0;3015.0;3141.0;3323.0;3613.0;3943.0;4524.0;4899.0;5499.0;5619.4;6584.1;7415.5;8330.8;8839.0;9395.8
"Khanh  Hoa";4200.0;4523.0;4127.0;6002.0;7200.0;8024.0;8842.0;9177.4;10465.0;12175.8;13480.6;12879.1;14447.7;15146.0;16131.6
"Ninh  Thuan";693.0;790.0;962.0;1000.0;1050.0;1312.0;1885.0;2114.0;2376.0;2916.0;3244.1;3549.4;4022.4;4279.3;4551.6
"Binh Thuan";1184.0;1277.0;1308.0;1468.0;1679.0;2158.0;2382.0;2700.0;2851.0;2953.0;3313.0;3472.9;4313.9;4964.3;5320.5
"Central Highlands";4834.0;5411.0;5954.0;6929.0;7357.8;8820.5;10844.1;12963.2;16189.2;19002.2;23058.9;26874.8;29340.4;34065.2;35922.4
"Kon Tum";516.0;586.0;665.0;720.0;885.0;1032.0;1428.0;1738.0;1794.0;2323.5;2486.1;2890.1;3104.0;3467.2;3678.7
"Gia Lai";1146.0;1264.0;1725.0;2115.0;2115.0;2636.0;3113.0;3696.0;5506.0;6734.0;7819.0;8264.7;8801.9;10667.9;11414.6
"Dak Lak";1695.0;1877.0;1880.0;1990.0;2034.0;2378.0;2910.0;3728.6;4507.0;4988.0;6925.0;8885.2;10004.9;11225.5;11758.6
"Dak Nong";..;..;..;367.0;373.0;399.0;431.0;461.0;530.2;609.7;652.4;774.4;800.7;860.0;885.8
"Lam Dong";1477.0;1684.0;1684.0;1737.0;1950.8;2375.5;2962.1;3339.6;3852.0;4347.0;5176.4;6060.4;6628.9;7844.6;8184.7
"South East";38287.8;42768.8;46761.0;60780.0;69338.0;71007.0;83130.4;103796.9;113913.7;120357.3;135348.5;150399.3;167603.2;175193.9;190255.7
"Binh Phuoc";489.0;511.0;560.0;624.0;844.0;913.0;1006.8;1127.0;1165.0;1279.0;1368.8;1576.2;1625.6;1756.4;1870.8
"Tay Ninh";3980.0;4528.0;4818.0;5904.0;7356.0;5670.0;6327.0;6451.7;7520.0;7697.0;7901.3;9299.1;9634.9;10155.8;11510.0
"Binh  Duong";2402.0;2648.0;3192.0;3629.0;5175.0;6680.0;11656.0;15598.0;17996.1;20840.8;21934.5;25645.2;30945.2;34770.1;36747.1
"Dong Nai";9401.0;10770.0;12397.0;14233.0;17198.0;18482.0;22198.6;25261.8;26406.0;28643.0;30687.7;33245.4;37806.8;40301.0;42854.5
"Ba Ria - Vung Tau";2610.0;2820.0;3257.0;3617.0;4538.0;5426.0;5667.0;6017.0;7128.6;4460.5;4673.6;4733.7;4993.4;5470.6;5759.5
"Ho Chi Minh city";19405.8;21491.8;22537.0;32773.0;34227.0;33836.0;36275.0;49341.4;53698.0;57437.0;68782.6;75899.7;82597.3;82740.0;91513.8
"Mekong River Delta";28997.7;31803.3;39092.3;42410.2;46817.0;59328.2;64314.8;64751.2;72971.7;79734.1;86921.7;88158.2;97418.7;102924.4;105913.5
"Long An";6982.0;7087.0;7926.0;8132.0;7475.0;7293.0;7880.0;11537.2;12972.0;15097.0;15301.5;15060.7;14769.5;15193.5;15270.7
"Tien Giang";3129.0;3270.0;3420.0;3673.0;4873.0;5443.0;5690.0;6332.8;7394.0;8809.0;9785.3;10939.8;12170.7;12849.6;13374.3
"Ben Tre";1484.0;1659.0;1951.0;2063.0;2191.0;2640.0;2746.0;3005.2;3049.7;3081.8;3216.6;3480.8;5224.6;5316.7;5644.1
"Tra Vinh";902.0;1190.0;1733.0;2325.0;4288.0;5298.2;5776.8;5589.4;4770.0;3244.1;3429.3;3754.0;4328.0;4946.5;5144.5
"Vinh Long";2190.0;2348.0;2558.0;2662.0;2718.0;3022.0;3310.0;3520.0;3956.0;4712.0;4926.2;5461.4;5132.8;5171.3;5321.8
"Dong Thap";1924.0;1945.0;1987.0;2031.0;2233.0;2428.0;2576.0;3341.0;2836.0;2944.0;3019.9;3278.7;3358.8;4241.0;4143.3
"An Giang";3018.0;3325.0;4103.5;5258.2;5961.0;14845.0;15729.6;9509.0;15503.0;16154.0;19801.4;17926.0;22047.0;23293.0;23943.9
"Kien  Giang";1770.0;1912.0;2182.8;2770.0;3298.0;3664.0;4127.2;4127.2;4730.0;5233.0;5789.0;6188.0;7149.0;7998.0;8287.2
"Can Tho";4029.0;5158.0;8904.0;5481.0;5156.0;5995.0;6780.0;8268.0;7938.0;8774.0;8739.3;7463.3;6939.0;6044.1;6373.6
"Hau Giang";..;..;..;3450.0;3616.0;3684.0;3933.0;4292.3;4594.0;5042.0;5556.2;6201.9;6734.2;7589.6;8099.8
"Soc Trang";2210.0;2255.0;2351.0;2456.0;2605.0;2708.0;2844.0;2227.1;3130.9;2416.1;2617.2;3321.6;3907.6;4683.7;4784.0
"Bac Lieu";788.7;1018.3;1188.0;1295.0;1485.0;1624.0;2181.0;2429.1;1551.0;3478.6;3947.2;4335.8;4926.1;4824.2;4816.5
"Ca Mau";571.0;636.0;788.0;814.0;918.0;684.0;741.2;572.9;547.1;748.5;792.6;746.2;731.4;773.3;709.8
