"Number of passengers traffic by the road by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Binh Thuan";296.6;301.1;301.5;323.5;352.2;389.2;431.1;438.0;457.2;475.3;542.3;562.4;608.7;642.9;669.7
"Central Highlands";1434.3;1627.7;1678.6;1918.5;2112.8;2331.0;2583.9;2978.6;3152.7;4389.6;4893.4;5300.9;5613.5;5798.8;5965.8
"Kon Tum";141.9;139.1;137.8;147.4;165.0;167.0;181.0;204.2;156.8;162.0;193.9;201.5;209.5;222.6;239.9
"Gia Lai";305.9;312.5;328.0;358.2;377.8;395.0;441.1;531.0;679.1;841.4;854.3;875.5;899.2;919.5;969.5
"Dak Lak";597.0;594.0;597.8;669.9;751.7;840.0;871.9;918.4;913.9;1334.1;1572.6;1698.2;1786.9;1848.8;1969.9
"Dak Nong";..;..;..;65.8;79.9;98.8;117.6;204.8;225.6;257.0;267.9;291.8;305.3;315.4;329.5
"Lam Dong";389.5;582.1;615.0;677.2;738.4;830.2;972.3;1120.2;1177.3;1795.1;2004.7;2233.9;2412.6;2492.5;2457.0
"South East";5760.9;5994.8;6883.7;7216.3;8027.4;8735.9;9911.8;12058.5;13037.6;15421.8;17859.2;20666.2;22838.3;24842.7;27516.3
"Binh Phuoc";375.6;380.1;389.3;397.5;462.3;514.7;572.3;619.6;656.5;730.9;811.3;904.5;978.1;1053.6;1099.9
"Tay Ninh";393.9;418.2;451.1;536.9;632.4;654.3;728.5;801.9;872.5;932.4;961.3;996.1;1067.2;1135.1;1144.9
"Binh  Duong";114.0;119.3;152.5;179.7;317.4;467.6;654.3;872.1;1214.7;1525.2;1804.3;1941.0;2111.0;2257.9;2420.2
"Dong Nai";417.2;558.0;1038.9;1090.4;1317.4;1410.3;1621.2;1738.9;1901.1;3315.7;3635.0;4085.2;4489.2;4858.4;5209.3
"Ba Ria - Vung Tau";801.7;876.5;831.6;891.3;1175.5;1385.8;1561.0;1707.0;1861.5;1978.7;2008.4;2048.6;2273.2;2399.8;2522.6
"Ho Chi Minh city";3658.5;3642.7;4020.3;4120.5;4122.4;4303.2;4774.5;6319.0;6531.3;6938.9;8638.9;10690.8;11919.6;13137.9;15119.4
"Mekong River Delta";5974.6;6159.9;6597.0;8129.7;8754.9;10107.9;11318.7;11609.4;12459.5;12576.2;13969.0;15227.2;16494.8;17455.0;18027.1
"Long An";389.2;386.5;409.9;429.2;468.7;523.6;629.5;814.3;1148.2;946.0;1004.5;1098.0;1198.8;1280.5;1322.9
"Tien Giang";815.2;869.5;762.8;821.1;944.3;950.1;1072.5;987.4;924.0;939.8;986.8;1035.4;1099.5;1212.6;1289.9
"Ben Tre";364.2;394.7;408.1;456.3;486.6;583.2;605.3;711.4;711.2;787.8;902.6;1068.5;1135.9;1235.9;1192.9
"Tra Vinh";391.4;350.9;472.0;365.9;354.8;383.8;511.5;551.3;562.3;408.0;419.1;340.3;362.7;379.2;392.9
"Vinh Long";259.2;291.1;314.9;345.8;418.8;472.1;550.3;598.4;716.1;803.1;866.9;817.8;866.7;899.2;922.7
"Dong Thap";208.6;209.8;214.0;221.0;253.2;253.8;315.2;320.2;503.1;620.0;709.7;626.9;659.3;689.5;721.9
"An Giang";494.3;494.6;472.4;1132.1;1234.1;1495.5;1676.3;1517.7;1692.5;1637.1;1792.6;1824.2;1935.4;1996.6;2086.0
"Kien  Giang";540.3;559.8;584.0;673.3;813.1;854.6;1040.7;1129.9;1094.2;1148.9;1266.1;1777.6;2092.4;2140.9;2326.4
"Can Tho";1786.0;1836.8;2097.8;2473.6;2484.2;2992.7;3186.2;3199.4;3302.8;3338.7;3989.7;4502.6;4859.4;5261.8;5302.9
"Hau Giang";..;..;..;199.3;215.1;256.2;235.2;291.7;254.2;287.3;305.4;334.4;362.9;388.5;429.6
"Soc Trang";229.8;237.9;242.8;210.8;244.0;277.0;310.6;301.1;355.6;427.3;486.0;492.3;517.1;532.2;552.1
"Bac Lieu";218.1;235.9;249.5;358.5;408.7;513.6;578.5;618.2;770.1;835.4;839.6;862.2;912.4;934.2;965.6
"Ca Mau";278.3;292.4;368.8;442.8;429.3;551.7;606.9;568.4;425.2;396.8;400.0;447.0;492.3;503.9;521.3
