"Volume of freight by the waterway by province (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Ben Tre";876.0;992.0;1194.0;1095.0;1163.0;1531.0;1593.0;1758.9;1785.4;1778.0;1770.6;1735.2;3354.6;3046.7;3344.4
"Tra Vinh";407.0;625.0;998.0;1249.0;2711.0;3453.9;3556.4;3256.7;2344.0;1384.3;1517.9;1718.9;1709.0;1881.9;1991.1
"Vinh Long";1715.0;1759.0;1800.0;1879.0;2088.0;2342.8;2636.0;2730.0;3031.0;3622.0;3799.6;4298.2;4309.8;4257.0;4353.4
"Dong Thap";1509.0;1526.0;1556.0;1576.0;1695.0;1408.0;1440.0;1995.0;1745.0;2015.0;1910.0;2088.2;2149.8;2647.4;2649.6
"An Giang";2217.0;2384.0;2842.0;3492.0;3665.0;11734.0;12791.0;5953.0;12550.1;13745.0;14466.5;14035.0;18167.0;18985.0;19497.6
"Kien  Giang";1201.0;1334.0;1520.8;2100.0;2464.0;2599.0;2966.0;2965.5;3388.0;3706.5;4091.0;4334.0;5009.0;5583.0;5689.2
"Can Tho";1612.0;1655.0;4624.0;1843.0;2272.0;4045.0;4783.0;4918.0;4298.0;5043.0;4576.5;4228.7;4044.0;3506.0;3689.2
"Hau Giang";..;..;..;2812.0;2928.0;2978.0;3218.0;3477.9;3676.0;4048.0;4466.4;5013.0;5427.6;6091.0;6514.8
"Soc Trang";1635.0;1664.0;1738.0;1823.0;1909.0;2010.0;2119.0;1500.0;2222.0;1280.0;1401.6;1544.6;1876.6;2144.6;2189.0
"Bac Lieu";386.7;464.0;651.0;785.0;928.0;950.0;1262.0;1388.0;351.0;1893.0;2122.1;2392.0;2786.0;3116.4;3128.0
"Ca Mau";453.0;461.0;610.0;586.0;737.0;481.0;567.0;391.8;339.0;495.1;485.0;422.8;443.2;460.0;410.3
