"Volume of freight traffic by the waterway by province (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Dong Nai";39.3;40.6;62.2;153.4;122.1;106.5;210.4;109.9;46.7;46.3;42.2;50.4;51.3;51.6;52.6
"Ba Ria - Vung Tau";137.8;157.2;196.4;233.7;321.6;383.6;362.0;389.5;538.1;66.8;47.8;47.5;47.5;52.3;53.5
"Ho Chi Minh city";3432.0;2767.7;2214.2;6790.4;6568.4;7093.4;8058.0;7620.0;8392.1;9334.2;9810.3;12372.3;13003.3;13050.8;13899.1
"Mekong River Delta";2123.4;2294.6;2559.9;2404.7;3157.4;3331.1;3504.7;3967.1;4303.8;5291.6;5554.7;5286.8;5549.2;5689.3;5834.4
"Long An";331.8;345.7;378.1;404.3;378.7;306.3;281.0;401.8;431.3;607.0;676.8;712.0;688.6;696.1;702.3
"Tien Giang";158.1;141.5;167.5;208.1;667.1;341.1;371.7;434.6;504.3;619.3;673.1;760.8;797.2;837.1;849.5
"Ben Tre";105.0;122.6;130.4;107.0;94.7;140.6;156.6;149.6;156.2;174.4;188.2;194.8;341.9;312.1;299.6
"Tra Vinh";59.1;107.4;56.5;174.2;177.7;309.6;215.7;164.6;239.1;253.9;267.8;306.9;341.8;268.5;271.3
"Vinh Long";150.1;154.3;156.5;158.7;174.5;106.8;121.5;121.7;141.3;192.5;206.2;217.9;295.1;301.2;316.3
"Dong Thap";151.8;153.7;158.7;158.2;180.9;179.8;189.0;254.9;203.0;230.2;231.7;233.2;299.7;347.0;364.0
"An Giang";242.0;379.8;481.5;475.8;684.4;868.8;906.4;1062.6;1623.9;1882.5;2003.6;1498.0;1323.3;1377.6;1414.7
"Kien  Giang";190.4;215.5;223.3;226.7;269.6;343.8;391.5;391.5;340.0;484.8;529.0;605.6;669.5;744.8;788.7
"Can Tho";574.0;485.0;597.7;120.7;148.8;347.0;356.0;587.0;361.3;531.0;443.2;383.4;374.3;351.8;358.8
"Hau Giang";..;..;..;114.8;121.3;124.3;179.3;113.7;117.0;127.4;136.3;150.0;159.1;177.1;184.7
"Soc Trang";96.7;97.3;104.9;109.9;118.5;124.1;131.4;92.2;128.0;78.2;86.1;115.6;147.4;153.3;159.4
"Bac Lieu";20.2;48.0;58.2;66.0;86.6;86.8;115.5;121.3;6.4;34.4;38.3;37.2;37.1;46.6;47.0
"Ca Mau";44.2;43.7;46.6;80.3;54.6;52.1;89.1;71.6;52.0;76.0;74.4;71.4;74.3;76.1;78.1
