"Number of passengers traffic by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Binh Thuan";296.6;301.1;301.5;323.5;352.2;389.2;431.1;438.0;457.2;479.5;546.2;568.3;609.1;646.0;673.1
"Central Highlands";1438.4;1628.4;1683.7;1923.9;2119.4;2337.4;2590.0;2983.9;3155.8;4359.1;4991.4;5301.2;5614.1;5801.1;5966.4
"Kon Tum";141.9;139.1;137.8;147.4;165.0;167.0;181.0;204.2;156.8;162.0;193.9;201.5;209.5;222.6;239.9
"Gia Lai";305.9;312.5;328.0;358.2;377.8;395.1;441.1;531.0;679.1;841.4;854.3;875.5;899.2;919.5;969.5
"Dak Lak";597.0;594.0;597.8;669.9;751.7;840.0;871.9;918.8;914.2;1334.5;1573.0;1698.2;1787.5;1849.5;1970.5
"Dak Nong";..;..;..;65.8;79.9;98.8;117.6;204.8;225.9;225.9;267.9;292.1;305.3;315.4;329.5
"Lam Dong";393.6;582.8;620.1;682.6;745.0;836.5;978.4;1125.1;1179.8;1795.3;2102.3;2233.9;2412.6;2494.1;2457.0
"South East";5827.8;6071.5;6987.3;7314.3;8130.6;8839.0;10021.1;12173.5;13122.3;15497.7;18235.3;22288.6;23244.9;25259.4;27774.5
"Binh Phuoc";375.6;380.1;389.3;397.5;462.3;514.7;572.3;619.6;656.5;730.9;811.3;904.5;978.1;1053.6;1099.9
"Tay Ninh";397.5;422.1;455.0;550.1;642.4;654.3;728.5;802.4;873.0;932.9;961.8;996.6;1067.5;1135.6;1145.4
"Binh  Duong";114.5;119.9;153.3;180.4;318.4;468.7;655.8;873.7;1216.6;1527.4;1822.2;1959.2;2113.0;2259.9;2422.6
"Dong Nai";426.6;569.6;1050.6;1102.4;1330.3;1424.5;1643.6;1758.2;1907.1;3317.8;3641.0;4090.1;4493.1;4862.7;5211.4
"Ba Ria - Vung Tau";832.0;910.8;900.2;943.1;1230.4;1446.4;1625.7;1773.7;1886.6;1994.0;2163.5;2194.8;2432.1;2560.0;2522.6
"Ho Chi Minh city";3681.6;3669.0;4038.9;4140.8;4146.8;4330.4;4795.2;6345.9;6582.5;6994.7;8835.5;12143.4;12161.1;13387.6;15372.6
"Mekong River Delta";8150.2;8486.8;9119.1;10303.4;11307.4;12559.2;13716.6;13938.7;14887.1;14738.5;16065.3;17287.9;18621.3;19719.0;20035.3
"Long An";460.0;456.9;493.3;504.4;557.7;591.8;667.3;849.0;1176.8;959.4;1017.8;1110.4;1211.7;1294.0;1337.0
"Tien Giang";881.4;917.1;790.0;840.5;955.9;962.9;1086.3;1001.4;940.9;957.1;998.3;1053.5;1120.4;1231.1;1289.9
"Ben Tre";499.8;534.7;622.2;690.5;718.2;831.1;864.7;957.8;968.4;963.0;1109.1;1274.1;1348.8;1462.5;1439.3
"Tra Vinh";564.1;508.6;609.0;404.9;453.8;413.1;573.0;610.3;575.7;419.2;430.8;352.3;375.7;393.1;408.8
"Vinh Long";302.8;336.1;361.4;393.9;461.4;502.0;571.4;617.8;752.2;838.9;896.9;846.4;895.2;928.4;934.2
"Dong Thap";297.6;299.4;305.0;315.0;355.4;351.7;331.2;342.6;527.9;648.4;719.5;635.4;668.2;698.8;729.6
"An Giang";864.8;1013.9;1054.5;1388.7;1445.7;1654.5;1780.9;1600.6;1783.7;1687.7;2112.4;2147.4;2267.9;2335.9;2500.0
"Kien  Giang";744.1;770.0;813.6;956.2;1138.8;1200.7;1415.8;1530.0;1538.7;1503.1;1810.0;2289.8;2619.0;2744.6;3021.0
"Can Tho";2270.0;2320.8;2581.6;2957.3;3244.8;3874.1;4164.1;4199.7;4301.8;4341.1;4395.0;4919.0;5290.8;5701.0;5302.9
"Hau Giang";..;..;..;262.6;283.5;301.8;275.3;332.1;332.3;369.2;394.0;429.0;464.0;498.8;544.5
"Soc Trang";297.1;307.4;314.3;262.1;288.2;317.8;353.0;346.8;401.4;453.9;515.2;522.2;550.8;568.6;586.4
"Bac Lieu";320.6;341.4;367.6;431.6;491.0;572.4;654.5;697.6;871.9;955.3;957.2;983.4;1044.6;1073.7;1120.5
"Ca Mau";647.8;680.5;806.6;895.7;913.0;985.3;979.1;853.0;715.4;642.2;709.1;725.0;764.2;788.5;821.2
