"Percentage of employed workers at 15 years of age and above among population by province by Cities, provincies and Year"

"Cities, provincies";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ba Ria - Vung Tau";45.2;48.8;49.9;48.8;50.6;52.6;53.6;53.8;49.8;51.5
"Ho Chi Minh city";45.2;49.7;51.6;51.2;50.1;50.9;51.5;51.0;50.9;50.7
"Mekong River Delta";52.8;54.8;55.5;56.2;56.7;57.6;58.4;57.8;57.7;57.3
"Long An";54.3;60.5;55.7;57.0;57.0;56.7;60.3;60.4;59.3;58.5
"Tien Giang";52.5;57.3;54.8;58.6;58.6;57.2;60.2;61.9;60.3;61.4
"Ben Tre";53.5;55.8;58.8;59.6;61.1;60.8;60.4;60.6;63.6;62.8
"Tra Vinh";54.7;54.7;53.7;57.9;56.2;58.9;58.1;58.0;58.5;57.9
"Vinh Long";53.7;57.7;59.8;58.2;57.0;58.6;58.6;58.5;59.1;57.8
"Dong Thap";52.4;55.3;57.9;56.9;56.9;58.2;57.7;57.2;59.1;58.9
"An Giang";55.1;54.7;56.0;55.5;56.2;59.2;59.4;57.8;55.3;55.3
"Kien  Giang";50.8;50.9;52.6;54.5;55.2;57.3;58.9;55.7;56.8;55.3
"Can Tho";52.0;54.6;56.1;52.3;55.1;55.4;56.0;55.5;55.1;53.6
"Hau Giang";54.2;56.0;56.7;58.0;58.2;57.6;58.0;59.1;58.3;58.9
"Soc Trang";54.5;53.4;53.9;56.0;56.7;55.8;55.9;54.1;52.4;52.2
"Bac Lieu";51.5;50.6;54.4;53.7;54.3;56.7;57.2;55.7;56.0;55.6
"Ca Mau";46.8;49.3;51.9;53.2;54.1;55.0;56.6;55.6;56.4;56.5
