"Population growth rate by province by Cities, provincies and Year"

"Cities, provincies";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ba Ria - Vung Tau";2.16;1.51;1.39;1.52;1.28;1.10;1.03;1.31;1.24;1.23
"Ho Chi Minh city";3.71;3.75;3.27;3.61;2.09;2.07;2.16;2.08;2.07;2.06
"Mekong River Delta";0.63;0.56;0.51;0.41;0.30;0.32;0.42;0.40;0.39;0.42
"Long An";0.81;0.91;0.73;0.56;0.46;0.49;0.72;0.65;0.51;0.50
"Tien Giang";0.45;0.38;0.39;0.29;0.31;0.27;0.59;0.65;0.75;0.73
"Ben Tre";-0.34;-0.36;-0.41;-0.28;0.04;0.06;0.12;0.13;0.13;0.12
"Tra Vinh";0.39;0.35;0.36;0.24;0.48;0.50;0.52;0.54;0.53;0.52
"Vinh Long";0.14;0.13;0.12;0.10;0.14;0.25;0.53;0.32;0.36;0.34
"Dong Thap";0.79;0.47;0.48;0.25;0.18;0.12;0.20;0.20;0.17;0.17
"An Giang";0.51;0.40;0.39;0.24;0.03;0.03;0.10;0.10;0.11;0.12
"Kien  Giang";1.30;1.04;1.05;0.96;0.60;0.72;0.76;0.61;0.64;0.89
"Can Tho";0.95;0.99;0.76;0.65;0.78;0.84;0.85;0.83;0.80;0.79
"Hau Giang";0.21;0.25;0.22;0.22;0.24;0.25;0.28;0.31;0.28;0.27
"Soc Trang";0.70;0.84;0.69;0.63;0.19;0.21;0.24;0.24;0.24;0.23
"Bac Lieu";1.44;1.45;1.41;1.10;0.49;0.46;0.50;0.50;0.48;0.47
"Ca Mau";0.72;0.54;0.55;0.45;0.11;0.13;0.17;0.18;0.18;0.21
