"Monthly average income per capita at current prices by income quintile and by province by Cities, provincies, Year and Income quintile"

"Cities, provincies";"2010 General average";"2010 Quintile 1";"2010 Quintile 2";"2010 Quintile 3";"2010 Quintile 4";"2010 Quintile 5";"2012 General average";"2012 Quintile 1";"2012 Quintile 2";"2012 Quintile 3";"2012 Quintile 4";"2012 Quintile 5";"2014 General average";"2014 Quintile 1";"2014 Quintile 2";"2014 Quintile 3";"2014 Quintile 4";"2014 Quintile 5"
"Binh Duong";2698;980;1295;1755;2441;7014;3568;1138;2095;2853;3808;7905;3769;1282;2102;2774;3671;8945
"Dong Nai";1763;576;1022;1450;1941;3823;2577;895;1572;2125;2803;5475;3504;1273;2101;2753;3599;7775
"Ba Ria - Vung Tau";1695;486;889;1216;1696;4173;2904;896;1431;1942;2766;7456;3752;1180;1840;2486;3380;9851
"Ho Chi Minh city";2737;965;1542;2018;2727;6429;3653;1302;2076;2752;3664;8447;4840;1838;2702;3383;4371;11895
"Mekong River Delta";1247;395;661;937;1336;2908;1797;545;944;1349;1933;4214;2327;728;1264;1767;2454;5420
"Long An";1289;435;717;1006;1414;2873;1956;620;1220;1652;2197;4087;2430;794;1441;1987;2666;5246
"Tien Giang";1313;432;719;1003;1430;2979;1941;622;1099;1541;2152;4277;2596;849;1533;2034;2760;5801
"Ben Tre";1200;421;640;859;1208;2870;1580;503;845;1213;1765;3551;2162;702;1192;1681;2284;4954
"Tra Vinh";1089;336;549;778;1199;2571;1398;401;717;1035;1490;3325;2098;577;1091;1640;2362;4805
"Vinh Long";1239;455;719;983;1318;2717;1744;599;1056;1454;1970;3624;2204;793;1244;1746;2445;4773
"Dong Thap";1138;335;635;869;1195;2650;1666;518;834;1161;1676;4129;2134;665;1104;1539;2266;5092
"An Giang";1319;425;713;991;1413;3051;1871;615;985;1322;1845;4578;2472;826;1254;1720;2409;6125
"Kien  Giang";1316;390;641;940;1349;3245;1963;575;929;1356;2030;4911;2642;788;1295;1828;2522;6763
"Can Tho";1540;516;894;1220;1624;3437;2325;767;1298;1793;2481;5264;2673;924;1557;2109;2825;5939
"Hau Giang";1098;358;583;815;1184;2539;1527;467;822;1196;1695;3453;2088;652;1176;1558;2220;4817
"Soc Trang";1029;342;538;711;1044;2507;1324;406;704;994;1447;3064;1913;567;1177;1500;1996;4316
"Bac Lieu";1273;396;705;985;1382;2893;2035;586;1251;1795;2392;4141;2214;678;1317;1839;2431;4781
"Ca Mau";1250;363;675;947;1375;2886;1779;578;887;1192;1646;4565;2154;648;1118;1576;2277;5130
