"Number of health establishments under provincial departments of health by province(*) by Cities, provincies, Year and Health establishments"

"Cities, provincies";"2005 Total";"2005 Hospital";"2005 Regional polyclinic";"2005 Sanatorium and rehabilitation hospital";"2005 Medical service unit";"2006 Total";"2006 Hospital";"2006 Regional polyclinic";"2006 Sanatorium and rehabilitation hospital";"2006 Medical service unit";"2007 Total";"2007 Hospital";"2007 Regional polyclinic";"2007 Sanatorium and rehabilitation hospital";"2007 Medical service unit";"2008 Total";"2008 Hospital";"2008 Regional polyclinic";"2008 Sanatorium and rehabilitation hospital";"2008 Medical service unit";"2009 Total";"2009 Hospital";"2009 Regional polyclinic";"2009 Sanatorium and rehabilitation hospital";"2009 Medical service unit";"2010 Total";"2010 Hospital";"2010 Regional polyclinic";"2010 Sanatorium and rehabilitation hospital";"2010 Medical service unit";"2011 Total";"2011 Hospital";"2011 Regional polyclinic";"2011 Sanatorium and rehabilitation hospital";"2011 Medical service unit";"2012 Total";"2012 Hospital";"2012 Regional polyclinic";"2012 Sanatorium and rehabilitation hospital";"2012 Medical service unit";"2013 Total";"2013 Hospital";"2013 Regional polyclinic";"2013 Sanatorium and rehabilitation hospital";"2013 Medical service unit";"2014 Total";"2014 Hospital";"2014 Regional polyclinic";"2014 Sanatorium and rehabilitation hospital";"2014 Medical service unit";"2015 Total";"2015 Hospital";"2015 Regional polyclinic";"2015 Sanatorium and rehabilitation hospital";"2015 Medical service unit"
"Binh Thuan";128;10;13;..;104;132;11;10;..;110;140;13;10;..;116;141;13;10;..;117;140;13;10;..;117;150;13;10;..;127;150;13;10;..;127;150;13;10;..;127;150;13;10;..;127;150;12;10;..;127;151;13;10;..;127
"Central Highlands";737;58;41;3;629;767;62;45;3;651;809;64;48;3;689;823;67;48;3;701;841;68;49;3;717;844;72;45;2;721;848;71;49;2;722;836;71;50;3;708;846;74;52;2;714;859;75;52;2;726;860;77;51;2;726
"Kon Tum";114;8;9;1;95;115;8;9;1;96;116;9;9;1;96;116;9;9;1;96;120;9;12;1;97;120;9;12;1;97;121;9;13;1;97;122;10;13;1;97;123;11;14;1;97;129;12;14;1;102;129;12;14;1;102
"Gia Lai";204;16;15;1;172;212;17;16;1;178;243;17;16;1;209;243;17;16;1;209;254;17;14;1;222;252;20;10;..;222;256;20;14;..;222;242;19;14;1;208;249;21;14;..;214;257;21;14;..;222;258;22;14;..;222
"Dak Lak";182;15;..;..;165;195;17;1;..;175;195;17;1;..;175;202;20;1;..;180;202;20;1;..;180;207;21;1;..;184;205;20;..;..;184;206;20;1;..;184;206;20;1;..;184;206;20;1;..;184;206;21;..;..;184
"Dak Nong";59;7;..;..;52;64;7;..;..;57;71;7;..;..;64;78;7;..;..;71;78;8;..;..;70;78;8;..;..;70;79;8;..;..;71;79;8;..;..;71;80;8;..;..;71;80;8;..;..;71;80;8;..;..;71
"Lam Dong";178;12;17;1;145;181;13;19;1;145;184;14;22;1;145;184;14;22;1;145;187;14;22;1;148;187;14;22;1;148;187;14;22;1;148;187;14;22;1;148;188;14;23;1;148;187;14;23;1;147;187;14;23;1;147
"South East";995;87;62;3;835;999;87;61;2;837;1034;110;65;2;849;1043;110;65;3;859;1030;110;56;3;858;1031;114;43;3;868;1025;113;36;2;872;1022;108;35;3;872;1033;113;41;3;872;1031;112;40;3;872;1031;112;40;3;872
"Binh Phuoc";104;7;5;..;91;106;7;4;..;94;114;9;5;..;99;117;9;5;..;102;115;9;3;..;102;128;9;8;..;110;125;12;2;..;111;128;12;4;..;111;128;12;4;..;111;128;12;4;..;111;128;12;4;..;111
"Tay Ninh";109;12;4;1;92;108;12;4;..;92;108;12;4;..;92;112;12;4;1;95;109;12;4;1;92;109;12;4;1;92;110;12;2;1;95;110;12;2;1;95;110;12;2;1;95;110;12;2;1;95;110;12;2;1;95
"Binh Duong";105;9;5;1;89;104;8;5;1;89;107;8;8;1;89;107;8;8;1;89;105;8;6;1;89;112;10;9;1;91;112;10;10;..;91;112;8;11;1;91;119;9;17;1;91;118;8;17;1;91;118;8;17;1;91
"Dong Nai";201;16;13;..;172;203;15;13;..;171;201;17;13;..;171;201;17;13;..;171;201;17;13;..;171;201;17;13;..;171;201;17;13;..;171;197;16;9;..;171;197;16;9;..;171;196;16;8;..;171;196;16;8;..;171
"Ba Ria - Vung Tau";87;7;6;..;74;89;9;6;..;74;92;10;6;..;76;96;10;6;..;80;98;10;6;..;82;98;10;6;..;82;98;10;6;..;82;98;10;6;..;82;100;12;6;..;82;100;12;6;..;82;100;12;6;..;82
"Ho Chi Minh city";389;36;29;1;317;389;36;29;1;317;412;54;29;1;322;410;54;29;1;322;402;54;24;1;322;383;56;3;1;322;379;52;3;1;322;377;50;3;1;322;379;52;3;1;322;379;52;3;1;322;379;52;3;1;322
