"Percentage of household using electricity by residence and by region (*) by Residence and by region and Year"

"Residence and by region";"2002";"2004";"2006";"2008";"2010";"2012";"2014"
"WHOLE COUNTRY";86.5;93.4;96.0;97.6;97.2;97.6;98.3
"Urban";98.2;99.0;99.1;99.6;99.6;99.8;99.8
"Rural";82.7;91.6;94.9;96.8;96.2;96.6;97.6
"Red River Delta";..;..;..;99.7;99.7;99.9;99.9
"Northern midlands and mountain areas";..;..;..;91.1;91.1;90.7;93.0
"North Central area and Central coastal area";..;..;..;98.9;97.3;97.6;98.3
"Central Highlands";..;..;..;96.9;96.8;97.5;98.2
"South East";..;..;..;98.7;98.9;99.3;99.3
"Mekong River Delta";..;..;..;97.0;96.6;97.8;99.1
