"Spatial cost of living index among regions (Red River Delta  = 100) by Region and Year"

"Region";"2010";"2012";"2013";"2014";"2015"
"Red River Delta";100.00;100.00;100.00;100.00;100.00
"Northern midlands and mountain areas";101.73;102.32;103.02;102.99;104.77
"North Central and Central coastal areas";97.37;98.17;99.37;100.09;101.90
"Central Highlands";101.16;101.32;100.60;100.81;103.85
"South  East";103.91;103.35;103.05;103.96;104.31
"Mekong River Delta";97.32;96.39;95.62;95.73;96.29
