"Retail sales of goods and services at current prices by province (*) by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Hoa Binh";439.9;455.7;431.9;451.7;442.7;465.5;506.0;629.0;947.2;1182.2;1476.7;1668.0;2278.7;2783.6;3586.9;5459.7;6715.9;7225.9;7765.4;9201.3;9202.3
"Northern Central area and Central coastal area";20803.9;24337.0;27696.3;31109.5;33561.9;35433.5;40921.0;44666.0;53700.8;63516.3;76728.3;95477.0;119845.0;156810.4;194927.1;247026.1;306864.8;356184.2;409152.1;468675.2;468676.2
"Thanh Hoa";2668.0;2695.6;2961.6;3403.7;3566.1;3900.0;4130.0;4541.0;5089.1;6256.2;7479.5;8873.8;10638.3;14301.7;17780.0;23699.1;29968.5;37059.6;45715.9;52472.1;52473.1
"Nghe An";2441.1;3286.4;4046.3;4245.4;4898.1;5109.4;5499.0;5886.0;6365.1;7639.4;9053.2;9218.1;12491.1;16155.7;19914.1;23981.4;28426.3;32644.0;39702.1;44173.5;44174.5
"Ha Tinh";903.1;1001.9;904.0;1093.9;1004.8;1538.2;1546.0;1809.0;2296.7;2498.5;3376.8;4642.1;5755.8;8985.3;11471.9;14427.6;19000.8;21984.5;26751.8;32510.0;32511.0
"Quang Binh";596.2;706.3;807.9;970.0;1138.4;1317.2;1433.0;1589.0;1969.8;2382.3;2850.6;3566.9;4280.9;6024.6;7273.6;9306.4;11887.5;13255.5;15057.7;16717.8;16718.8
"Quang Tri";623.6;863.3;993.7;913.1;897.8;995.6;1456.0;1595.0;2010.6;2461.8;3087.2;3604.7;4568.8;5685.7;7311.1;9724.3;12446.8;15135.6;17209.5;19502.1;19503.1
"Thua Thien-Hue";1092.9;1344.2;1522.3;1713.4;1768.5;1997.6;2171.0;2448.0;2825.3;3408.6;4174.1;6750.3;7980.4;9275.0;10960.6;14611.0;17885.6;21505.9;24409.2;27852.5;27853.5
"Da Nang";3691.2;4518.6;5316.1;5660.4;6226.2;4678.0;5978.0;5415.0;7780.4;8374.6;9641.0;11029.9;14817.9;18435.2;26867.0;33544.3;41572.2;45351.6;48667.8;55527.8;55528.8
"Quang  Nam";1009.3;992.4;1214.1;1421.8;1502.7;1692.1;1796.0;2050.0;2370.0;2898.9;3679.5;4723.9;6208.5;8956.2;11154.6;14377.1;18631.1;20780.3;23781.2;28484.1;28485.1
