"Exports of goods by country group, country and territory by Country and territory and Year"

"Country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Poland";16.60;22.20;41.00;38.50;63.10;61.50;79.47;67.90;83.60;82.20;81.80;160.10;220.90;266.70;185.30;241.20;445.50;328.20;350.80;509.10;585.20
"Bulgaria";2.00;12.00;14.20;8.20;13.60;7.60;14.20;7.90;6.00;7.80;11.20;21.60;35.90;75.10;41.30;36.90;26.90;37.00;41.20;47.70;40.80
"Hungary";20.90;21.90;26.40;15.40;10.80;15.00;17.04;21.20;18.30;21.60;27.00;33.00;62.70;70.40;62.50;38.40;51.30;57.60;60.10;55.00;65.70
"Russian Federation";80.80;84.70;124.60;126.20;114.90;122.90;194.49;187.40;159.60;215.80;251.90;413.20;458.50;672.00;414.90;829.70;1287.30;1617.90;1921.20;1724.90;1438.40
"Romania";..;..;..;..;..;6.50;7.00;10.60;11.80;14.40;15.50;20.50;32.30;77.60;76.60;77.70;74.40;80.60;71.50;99.20;102.20
"Czech Rep.";3.90;13.20;24.80;24.50;34.00;35.30;38.90;39.60;39.00;42.60;49.00;70.10;102.00;133.00;119.90;134.90;183.30;180.10;180.40;218.60;170.90
"Slovakia";3.90;2.10;2.80;2.30;5.60;5.20;5.50;7.30;8.20;8.60;11.70;23.10;71.50;109.80;89.80;111.40;156.90;290.90;391.90;370.50;275.60
"Ukraine";6.50;7.60;13.30;14.80;17.10;23.30;26.05;30.40;26.40;33.40;39.20;64.60;116.40;256.60;129.20;115.70;194.50;220.90;256.50;229.40;160.00
"Denmark";3.50;18.48;32.20;43.33;43.70;58.40;49.70;63.30;71.10;80.20;88.20;109.50;138.00;171.70;165.60;195.00;271.50;276.10;267.10;315.60;289.40
"Ireland";..;..;..;..;..;12.10;20.80;19.20;17.10;28.30;25.10;38.10;54.90;54.30;39.50;46.10;63.70;81.00;73.80;102.20;115.00
"United Kingdom";74.60;125.10;265.20;335.80;421.20;479.40;511.58;571.60;754.80;1010.30;1015.80;1179.70;1431.30;1581.00;1329.20;1681.90;2398.20;3033.60;3696.30;3647.20;4645.50
"Norway";2.10;4.70;14.60;17.60;16.40;16.60;15.36;16.80;20.90;23.50;32.70;38.10;49.10;93.80;51.40;74.10;89.80;125.80;109.10;117.20;103.50
"Finland";..;..;..;..;..;22.40;19.90;24.30;28.80;41.90;57.20;68.90;92.50;134.40;79.50;68.40;87.00;99.70;80.70;104.50;117.60
