"Some main goods for importation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015 (*)"
"Auxiliary materials for footwear (Mill. USD)";..;..;..;..;..;504.20;553.40;641.50;768.70;809.30;843.30;827.50;928.30;1025.70;755.00;1937.20;1610.00;1298.10;1658.30;2196.80;5002.80
"Auxiliary materials for sewing (Mill. USD)";..;..;..;..;..;917.40;1036.20;1069.30;1264.90;1443.70;1438.70;1123.90;1224.00;1329.30;1176.90;5383.10;6791.10;1793.60;2109.90;2371.30;..
"Textile fabrics (Mill. USD)";108.60;221.65;414.28;592.52;710.60;761.30;880.20;1523.10;1805.40;2066.60;2474.20;2947.00;3990.50;4457.80;4212.30;5383.10;6791.10;7135.50;8397.00;9560.00;10154.40
"Auxiliary materials for cigarettes (Mill. USD)";97.00;100.20;79.90;111.30;88.30;107.60;125.60;145.40;143.40;152.30;163.50;124.30;200.50;246.20;260.00;239.50;311.70;331.40;293.00;288.70;335.10
"Vegetables oils and fats (Mill. USD)";..;..;..;..;..;89.00;86.20;145.00;166.30;244.20;192.30;256.70;482.90;662.70;492.50;698.10;955.80;747.70;692.20;758.50;681.80
"Wheat flour (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.70;8.40;9.70;..
"Wheat (Mill. USD)";..;..;..;..;..;77.80;101.30;113.50;125.70;162.80;200.60;226.30;343.40;293.10;345.70;569.70;814.20;769.90;619.50;648.80;600.90
"Dairy produce (Mill. USD)";58.70;70.40;63.10;78.80;100.80;140.90;246.70;133.20;170.80;201.20;278.90;302.70;462.20;542.10;515.80;708.30;859.10;1016.00;1104.90;1131.20;899.50
"Medicament (Mill. USD)";69.10;206.50;340.40;312.30;262.50;325.00;328.60;349.70;399.70;427.90;507.60;570.40;714.20;834.10;1099.10;1238.80;1525.40;1792.90;1880.40;2036.30;2320.40
"Air-conditioners (Mill. USD)";..;..;..;..;..;16.60;30.50;39.50;48.10;78.00;85.50;111.70;153.60;190.40;237.90;345.30;369.90;304.00;438.60;495.00;..
"Motorcycles (including unassembled) (Mill. USD)";458.50;472.10;247.20;383.80;502.30;787.00;634.80;422.70;328.70;452.20;541.40;557.40;725.00;759.60;755.90;890.60;832.80;637.30;566.20;391.30;350.80
"Of which: Assembled (Mill. USD)";..;..;..;..;..;0.30;1.50;1.10;38.20;39.40;65.70;76.90;145.00;141.50;134.60;123.80;93.30;70.90;46.60;69.00;..
"Unassembled (Mill. USD)";..;..;..;..;..;786.70;633.30;421.60;290.50;412.80;475.70;480.50;580.00;618.10;621.30;766.80;739.50;566.30;519.60;322.40;..
"Petroleum oils, refined (Thous. Tons)";5003.20;5933.10;5960.00;6852.00;7425.40;8747.30;9083.00;9970.50;9936.40;11047.80;11477.80;11224.60;13195.00;12959.80;13000.00;9853.00;10678.00;9200.70;7364.00;8393.00;10045.10
"Of which";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Gasolines (Thous. Tons)";1043.50;1090.10;1081.30;1201.00;1325.00;1480.10;1731.70;2098.30;2180.30;2604.40;2630.10;2821.60;3298.60;3640.40;3678.00;1995.00;2915.00;2804.60;2323.00;2379.00;2681.10
"Diesel oil (Thous. Tons)";2271.00;2795.50;3101.80;3526.00;3478.30;4133.20;4079.70;4434.30;4650.30;5479.60;5876.70;5671.50;6460.90;6489.10;6493.00;4940.00;5311.00;4564.50;3157.00;4089.00;5213.00
"Mazout (Thous. Tons)";867.50;1072.50;1021.60;1321.00;1878.90;2367.60;2365.90;2582.30;2376.50;2117.90;2199.50;2012.40;2338.20;2090.70;1855.00;1766.00;1470.00;823.20;658.90;676.00;710.70
"Kerosene (Thous. Tons)";314.70;381.70;243.90;273.00;267.70;387.70;524.80;424.60;418.50;358.20;332.80;233.20;251.20;139.50;56.00;..;17.00;29.40;24.70;29.00;40.80
"Jet fuel (Thous. Tons)";..;..;..;..;..;225.40;259.70;335.10;310.90;425.80;438.60;458.10;515.80;586.50;656.00;833.00;964.00;979.00;1200.40;1219.90;1399.50
