"Some main goods for exportation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Frozen shrimps (Mill.USD)";290.900;324.700;367.700;431.700;415.500;631.400;846.200;715.700;943.600;1084.500;1265.700;1262.800;1387.600;1315.600;1293.300;1565.500;1693.700;1547.600;2018.200;2553.800;..
"Frozen fish (Mill.USD)";35.900;76.000;89.900;69.700;112.300;172.400;248.800;337.500;333.700;491.500;608.800;1083.400;1379.100;1968.700;1766.900;2018.400;2166.200;2130.000;2176.900;2661.700;..
"Frozen cuttle fish (Mill.USD)";68.400;92.500;89.600;60.800;107.300;76.800;139.700;83.700;136.300;62.500;73.900;92.500;60.800;64.800;82.700;97.700;107.900;27.600;24.300;20.800;..
"Crude oil (Thous.tons)";7652.000;8705.000;9638.000;12145.000;14881.900;15423.500;16731.600;16876.000;17142.500;19500.600;17966.600;16442.000;15062.000;13752.300;13373.000;8072.000;8240.400;9251.400;8398.500;9306.200;9181.200
"Coal (Thous.tons)";2821.000;3647.000;3454.000;3162.000;3259.000;3251.200;4291.600;6047.300;7261.900;11636.100;17987.800;29308.000;32072.000;19357.600;24992.000;19876.000;17162.700;15219.000;12802.800;7266.100;1747.700
"Tin (Thous.tons)";3.283;3.029;2.505;2.389;2.357;3.301;2.233;1.668;1.953;1.800;..;2.500;2.300;2.500;..;..;27.500;35.100;45.300;49.400;..
"Pepper (Thous.tons)";18.000;25.300;24.700;15.100;34.800;36.400;57.000;78.400;73.900;110.500;109.900;114.800;83.000;90.300;134.000;117.000;124.000;116.800;132.800;155.000;131.500
"Coffee (Thous.tons)";248.100;283.700;391.600;382.000;482.000;733.900;931.100;722.200;749.400;976.200;912.700;980.900;1232.100;1060.900;1183.000;1218.000;1260.000;1735.500;1301.200;1691.100;1341.200
"Rubber (Thous.tons)";138.100;194.500;194.200;191.000;263.000;273.400;308.100;454.800;432.300;513.400;554.100;703.600;715.600;658.700;731.000;779.000;817.500;1023.500;1074.600;1071.700;1137.400
"Rice (Thous.tons)";1988.000;3003.000;3575.000;3730.000;4508.300;3476.700;3720.700;3236.200;3810.000;4063.100;5254.800;4642.000;4580.000;4744.900;5969.000;6893.000;7116.300;8017.100;6587.100;6331.400;6575.200
"Shelled cashew nut (Thous.tons)";19.800;16.500;33.300;25.700;18.400;34.200;43.600;61.900;82.200;104.600;109.000;127.700;154.700;160.800;176.000;190.000;178.000;221.800;262.100;302.600;328.200
"Tea (Thous.tons)";18.800;20.800;32.900;33.000;36.000;55.700;67.900;77.000;58.600;104.300;91.700;105.400;115.700;104.700;135.000;137.000;135.000;146.900;141.200;132.400;124.600
"Shelled ground nut (Thous.tons)";115.100;127.000;86.400;86.800;56.000;76.100;78.200;106.100;82.400;46.000;54.700;14.000;37.000;14.300;..;..;..;..;..;..;..
"Cinamon (Thous.tons)";6.400;2.830;3.399;0.804;3.166;3.500;3.800;5.100;4.900;8.300;8.300;14.300;14.000;14.400;..;..;..;..;..;..;..
