"Monthly consumer price index, gold and USD price index as compared to base preriod 2009 by Year, Commondity group and Month"

"Year";"Commondity group";"Jan.";"Feb.";"Mar.";"Apr.";"May";"Jun.";"Jul.";"Aug.";"Sep.";"Oct.";"Nov.";"Dec."
"2013";"Household equipment & goods";126.90;127.66;127.96;128.44;128.91;129.33;129.67;129.95;130.25;130.57;130.88;131.21
"2013";"Medicaments, health";172.85;173.86;173.98;180.28;183.13;183.29;183.38;190.92;191.00;191.19;191.32;191.47
"2013";"Transport";145.18;146.35;145.99;147.74;146.90;146.77;148.73;150.38;150.02;149.77;149.26;148.91
"2013";"Post and Communication";87.84;87.81;87.77;87.64;87.58;87.46;87.46;87.44;87.44;87.41;87.39;87.38
"2013";"Education";175.09;175.14;175.21;175.30;175.34;175.39;175.55;177.13;193.74;194.77;194.96;195.00
"2013";"Culture, sport, entertainments";122.04;122.53;122.84;123.24;123.52;124.02;124.40;124.74;124.85;125.03;125.15;125.31
"2013";"Other consumer goods & services";146.46;148.03;148.26;148.75;148.87;149.09;149.30;149.83;151.82;152.17;152.44;152.69
"2013";" Gold price index";226.97;226.22;220.05;214.41;204.51;196.10;183.79;184.38;188.01;182.61;180.71;174.69
"2013";" USD price index";120.44;120.48;120.97;120.98;121.20;121.55;122.38;122.45;122.13;121.92;121.79;121.85
"2013";"Commondity group";..;..;..;..;..;..;..;..;..;..;..;..
"2012";" Consumer price index";207.44;210.28;210.62;210.72;211.10;210.55;209.94;211.27;215.91;217.75;218.77;219.36
"2012";"Food and foodstuffs";266.14;271.76;269.50;267.34;266.97;266.36;265.10;264.63;264.84;265.61;265.39;266.14
"2012";"     Food";288.05;286.87;283.40;278.61;277.10;274.94;270.85;269.68;270.63;271.63;271.76;272.12
"2012";"     Foodstuffs";257.61;264.64;261.33;259.06;258.39;257.58;256.43;255.73;255.55;256.27;255.73;256.45
"2012";"Beverage  and  cigarette";172.31;173.79;174.07;174.42;175.17;175.75;176.33;176.75;177.00;177.30;177.71;178.28
"2012";"Garment, footwear, hat";169.92;170.86;171.56;172.52;173.52;174.59;175.40;176.40;177.21;178.18;179.66;181.76
"2012";"Housing & material construction";214.30;219.60;224.67;223.68;221.51;218.83;216.79;221.20;226.02;228.48;229.69;230.04
"2012";"Household equipment & goods";158.09;158.74;159.62;160.46;161.38;162.12;162.77;163.34;163.84;164.33;165.26;166.23
"2012";"Medicaments, health";141.21;141.62;142.30;142.66;143.13;143.79;148.62;156.70;183.38;194.27;204.29;204.58
"2012";"Transport";192.31;192.76;194.84;200.04;202.68;199.36;193.95;196.03;203.54;204.78;204.84;203.96
"2012";"Post and Communication";68.33;68.22;68.21;68.20;68.20;68.19;68.14;68.13;68.14;68.12;68.11;68.10
"2012";"Education";175.89;176.01;177.96;180.86;180.99;181.17;181.37;182.24;201.45;205.24;205.50;205.69
"2012";"Culture, sport, entertainments";136.94;137.65;138.14;138.52;139.39;139.01;139.32;140.64;141.11;141.45;141.94;142.42
"2012";"Other consumer goods & services";189.52;191.20;192.04;192.77;198.73;199.43;200.22;201.07;202.29;203.73;204.58;206.04
"2012";" Gold price index";501.50;517.90;515.62;502.11;491.22;481.25;479.75;481.72;507.01;530.54;520.03;522.42
"2012";" USD price index";133.94;133.40;132.56;132.46;132.54;132.81;132.74;132.54;132.62;132.70;132.55;132.59
"2012";"Commondity group";..;..;..;..;..;..;..;..;..;..;..;..
"2011";" Consumer price index";176.89;180.59;184.51;190.64;194.85;196.97;199.28;201.13;202.78;203.51;204.30;205.39
"2011";"Food and foodstuffs";216.34;224.24;228.68;238.97;246.16;250.57;255.88;259.33;260.06;260.22;261.67;263.48
"2011";"     Food";247.97;251.71;257.20;263.55;268.22;269.10;266.74;267.96;272.06;275.52;284.47;288.45
"2011";"     Foodstuffs";204.88;214.16;217.53;229.73;237.84;243.71;251.51;255.41;254.69;253.45;252.79;254.03
"2011";"Beverage  and  cigarette";156.19;159.53;160.93;162.56;164.05;165.30;166.34;167.26;168.24;169.07;169.49;170.32
"2011";"Garment, footwear, hat";150.28;152.35;153.87;156.38;158.21;159.19;160.37;161.64;163.12;164.15;165.22;166.64
"2011";"Housing & material construction";182.02;183.53;190.27;198.60;204.94;206.09;206.83;208.67;209.44;209.38;209.63;210.70
"2011";"Household equipment & goods";143.77;144.69;146.46;148.48;149.92;151.00;151.92;152.69;153.47;154.59;155.53;156.59
"2011";"Medicaments, health";133.60;134.00;134.95;136.34;137.98;138.33;138.88;139.23;139.62;140.24;140.52;140.86
"2011";"Transport";161.80;163.43;174.37;184.90;189.84;190.58;191.07;191.47;191.01;190.77;190.75;191.05
"2011";"Post and Communication";69.79;69.78;69.79;69.81;68.63;68.63;68.61;68.57;68.53;68.41;68.40;68.34
"2011";"Education";150.27;151.60;152.97;153.41;153.80;154.52;154.92;156.67;170.18;175.62;175.76;175.85
"2011";"Culture, sport, entertainments";126.28;127.84;129.10;130.79;131.94;132.95;133.54;133.99;134.82;135.23;135.20;135.68
"2011";"Other consumer goods & services";168.26;170.55;172.92;174.68;178.28;179.81;180.69;182.52;185.02;185.39;186.52;187.64
"2011";" Gold price index";419.10;417.63;438.51;433.25;439.45;441.03;444.86;483.57;547.11;524.02;525.44;520.34
"2011";" USD price index";130.53;131.76;135.79;133.60;132.29;131.26;131.03;131.37;132.42;132.93;133.85;133.88
"2011";"Commondity group";..;..;..;..;..;..;..;..;..;..;..;..
"2010";" Consumer price index";157.71;160.80;162.00;162.23;162.67;163.03;163.12;163.50;165.64;167.38;170.49;173.87
"2010";"Food and foodstuffs";185.55;191.29;193.26;192.04;191.81;192.52;192.92;193.45;194.97;197.55;204.36;211.13
"2010";"     Food";214.59;220.90;218.91;214.73;211.96;210.20;208.16;209.56;214.42;218.47;231.62;242.44
"2010";"     Foodstuffs";173.71;179.72;182.42;181.45;181.61;182.90;183.82;184.00;184.72;186.97;193.08;199.42
"2010";"Beverage  and  cigarette";141.81;145.03;145.26;145.79;146.26;147.17;147.77;148.24;148.90;150.24;151.65;153.62
"2010";"Garment, footwear, hat";137.88;139.80;140.01;140.50;140.95;141.41;141.91;142.63;143.11;143.69;144.98;147.60
"2010";"Housing & material construction";157.78;160.54;162.75;166.84;169.27;169.29;168.49;168.61;170.43;172.21;175.20;179.63
"2010";"Household equipment & goods";134.61;135.87;136.40;137.01;137.54;138.21;138.74;139.27;139.74;140.42;141.45;142.67
"2010";"Medicaments, health";128.16;128.69;129.13;129.54;129.89;130.17;130.45;130.99;131.45;131.80;132.58;133.12
"2010";"Transport";155.52;157.78;159.23;159.42;159.61;158.48;156.99;157.57;159.00;159.32;159.78;160.50
"2010";"Post and Communication";74.13;73.22;73.07;73.03;72.99;73.35;73.30;69.96;69.91;69.86;69.84;69.83
"2010";"Education";122.66;122.81;123.03;123.18;123.27;123.38;123.51;125.11;140.14;145.61;145.94;146.05
"2010";"Culture, sport, entertainments";119.68;121.14;121.75;122.05;122.51;122.95;123.25;123.43;124.02;124.22;124.91;125.55
"2010";"Other consumer goods & services";152.25;156.09;156.96;157.48;159.59;160.33;160.81;161.11;162.03;163.17;164.78;166.53
"2010";" Gold price index";313.05;306.70;310.41;307.93;313.81;323.51;330.46;327.55;339.28;365.98;397.71;419.31
"2010";" USD price index";119.26;119.66;121.19;120.85;120.09;119.88;120.34;120.92;122.86;123.60;127.31;130.95
"2010";"Commondity group";..;..;..;..;..;..;..;..;..;..;..;..
