"Imports of goods by group country, country and territory (*) by Group country, country and territory and Year"

"Group country, country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Qatar";0.30;2.70;1.20;8.40;11.70;10.30;39.60;31.30;26.50;25.60;29.00;19.70;67.30;71.50;114.40;83.30;178.40;233.50;253.20;220.30;..
"Cyprus";6.20;1.70;1.40;0.70;0.60;4.60;10.50;3.20;4.20;8.60;10.70;6.90;8.10;15.80;12.40;10.70;10.80;11.20;11.10;17.70;25.30
"Turkey";5.80;16.50;36.70;3.00;4.80;2.00;8.00;15.60;24.80;31.40;43.00;28.30;41.60;111.00;141.00;107.70;80.20;90.10;96.10;129.00;147.40
"Jordan";..;..;..;0.60;1.80;0.30;3.90;3.20;13.30;4.50;6.10;20.30;6.40;7.50;2.70;3.20;4.50;3.90;9.70;20.40;..
"Poland";22.00;24.48;17.65;11.62;13.70;18.40;18.20;14.20;38.00;38.90;42.90;57.80;109.60;116.00;74.40;105.60;124.30;163.70;150.60;150.60;175.60
"Belarus";2.30;2.70;3.70;6.70;5.60;15.80;6.10;11.10;6.20;11.20;23.00;22.70;65.10;96.50;63.10;85.70;199.30;167.20;138.20;93.10;120.10
"Bulgaria";4.00;1.45;1.14;0.91;1.90;4.50;2.80;2.30;7.20;2.70;5.70;7.40;10.30;16.00;27.30;49.20;42.20;21.70;26.30;39.40;61.60
"Hungary";19.30;10.81;19.02;22.20;13.90;15.20;14.70;14.00;19.00;16.40;18.50;25.60;28.90;43.00;66.70;106.30;117.00;63.40;87.60;120.50;129.60
"Russian Federation";144.80;186.51;158.01;216.30;245.60;240.50;376.40;500.60;491.80;671.50;766.60;455.80;552.20;969.60;1288.10;999.10;694.00;829.40;855.10;826.70;742.00
"Romania";..;0.20;1.00;1.10;0.70;2.00;3.10;1.80;22.70;12.10;10.40;7.30;9.00;12.70;14.20;32.10;29.00;21.90;46.70;51.30;73.40
"Czech Rep.";4.00;6.79;7.68;6.92;6.50;6.30;7.60;8.80;14.20;14.40;15.90;22.00;23.10;23.00;24.60;70.30;36.50;62.10;57.30;74.90;75.70
"Slovakia";3.10;3.38;1.66;1.52;6.90;2.90;1.80;1.70;1.40;3.10;2.10;2.60;2.30;4.40;3.80;15.70;13.50;16.50;15.40;28.30;18.10
"Ukraine";5.90;6.31;30.78;24.39;45.50;85.90;94.80;239.00;224.10;240.60;191.50;118.10;38.50;289.60;309.40;140.00;105.20;92.40;146.00;116.40;74.50
"Denmark";..;32.40;21.80;38.40;26.50;27.80;65.50;75.30;72.00;77.20;70.20;111.20;170.60;146.40;106.10;116.40;149.60;191.90;186.90;176.60;244.10
"Ireland";..;2.40;5.90;5.70;11.90;8.90;5.30;12.20;15.70;14.90;22.20;22.10;40.90;43.60;50.30;110.50;267.30;647.00;958.30;211.60;286.30
"Iceland";..;0.20;1.80;1.90;0.30;5.10;7.90;1.20;2.90;3.00;2.00;5.70;6.40;8.50;12.50;10.30;..;..;..;..;..
"United Kingdom";50.70;83.68;103.93;96.37;109.20;149.90;171.60;166.50;219.80;227.70;182.40;202.10;237.00;386.30;342.50;511.10;646.10;542.10;570.50;644.50;729.60
"Norway";1.10;7.34;2.54;5.37;1.70;7.50;5.37;5.60;6.70;18.40;15.80;23.50;24.60;76.80;72.40;129.50;166.00;131.30;131.10;189.90;202.70
"Finland";11.70;17.28;25.96;24.10;19.10;14.00;19.50;35.40;33.50;53.60;42.70;82.30;78.50;105.20;126.60;122.30;124.00;204.30;149.50;159.50;204.50
"Sweden";22.60;60.49;65.06;77.80;58.10;43.70;73.60;62.50;114.20;125.10;139.30;164.20;209.90;230.10;375.10;317.00;258.20;241.20;225.60;255.90;240.30
"Portugal";..;0.40;1.10;2.50;3.40;2.90;7.00;3.50;3.20;4.20;11.90;10.80;10.20;15.10;12.40;13.40;17.20;12.40;32.80;73.40;68.20
"Greece";..;0.20;0.50;0.30;1.10;2.50;0.90;2.80;1.10;2.00;4.90;1.90;6.90;28.10;7.30;5.80;11.90;22.50;17.80;22.10;28.50
"Italy";53.60;111.27;102.17;87.09;95.70;170.30;196.80;276.80;373.90;309.70;288.10;335.30;686.10;668.30;618.20;822.50;998.80;972.10;1172.70;1332.40;1453.10
"Spain";..;8.10;28.10;23.90;31.00;59.00;46.90;67.20;78.70;94.10;76.70;96.80;139.40;199.80;141.40;230.60;262.20;283.70;311.50;352.30;403.90
"Austria";15.30;13.34;15.05;21.53;27.30;31.60;34.70;71.60;43.80;57.10;51.00;56.20;63.80;92.60;110.40;123.40;165.40;157.50;196.60;225.30;412.50
"Germany";175.50;288.20;280.81;359.95;268.70;295.20;396.70;558.10;614.60;694.30;661.90;914.50;1308.50;1479.90;1421.50;1742.40;2198.60;2377.30;2954.00;2606.60;3213.30
"Belgium";21.70;59.95;79.96;69.50;85.20;92.00;72.20;94.70;167.80;137.60;171.20;225.40;312.20;348.30;300.90;320.20;346.90;411.50;500.80;519.50;495.30
"Netherlands";36.30;51.38;51.50;53.96;48.50;84.60;114.60;114.30;324.90;179.40;312.10;360.80;510.30;710.50;701.40;527.80;669.40;704.10;675.20;549.90;691.60
"Liechtenstein";..;..;..;..;..;13.50;19.80;8.60;3.50;0.30;0.30;0.10;0.20;..;..;...;669.40;704.10;..;..;..
"France";276.60;416.78;550.75;379.83;309.30;334.20;300.40;299.20;411.00;617.40;447.70;421.10;1155.40;816.50;753.90;969.00;1205.00;1589.10;992.80;1111.40;1260.40
"Switzerland";74.60;141.29;144.62;93.74;101.80;103.90;94.70;129.90;292.30;686.80;893.40;1357.10;1016.20;1898.60;436.10;1006.60;1771.00;398.10;409.70;367.30;437.30
"Canada";24.90;35.06;36.88;41.26;49.50;37.60;56.80;63.70;76.60;96.80;173.60;178.60;287.20;297.80;235.80;349.30;342.10;455.70;406.40;385.20;448.60
"United States";130.40;245.79;251.51;324.91;322.70;363.40;410.80;458.30;1143.30;1133.90;862.90;987.00;1700.50;2646.60;2710.50;3766.90;4529.20;4826.40;5223.80;6287.00;7792.60
"Argentina";2.30;0.91;3.30;4.74;26.40;29.40;58.70;90.00;165.40;172.20;271.20;240.80;409.40;379.10;580.20;826.30;858.90;915.50;1241.60;1715.30;2163.20
"Brazil";9.80;4.76;3.19;8.92;8.20;10.70;12.60;29.10;33.40;46.60;75.60;146.60;230.70;373.90;346.80;543.60;938.30;1019.30;1294.50;1849.30;2437.10
"Chile";..;..;..;..;..;3.60;3.10;9.10;19.90;43.50;77.50;104.70;110.10;104.40;105.40;291.20;335.70;370.10;314.80;367.50;290.50
"Mexico";0.20;2.67;1.49;3.29;6.40;2.50;5.70;6.50;11.20;13.00;7.90;18.60;58.70;61.60;111.20;89.10;91.30;111.80;114.30;262.70;477.20
"Panama";..;..;..;..;..;3.30;6.60;6.00;4.60;22.60;0.20;54.30;148.40;66.00;30.60;12.00;19.40;6.80;21.90;17.50;..
