"Main industrial products by Main industrial products and Year"

"Main industrial products";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel.2015"
"Cigarettes(Mill. packets)";2147.0;2160.0;2123.0;2195.0;2147.1;2835.8;3075.2;3375.2;3870.6;4192.3;4484.7;3941.3;4549.1;4355.0;4833.7;5073.9;5316.4;5463.0;5701.1;4909.0;5096.5
"Textile fibres(Thous. tons)";59.2;65.4;67.5;69.1;79.2;129.9;162.4;226.8;234.6;240.8;259.2;268.6;384.9;392.9;538.3;810.2;967.1;1152.8;1321.9;1560.0;1685.8
"Fabrics of all kinds(Mill. m2)";263.0;285.0;298.6;315.0;322.2;356.4;410.1;469.6;496.4;501.7;560.8;570.3;700.4;1076.4;1187.3;1176.9;1238.3;1251.7;1239.4;1346.5;1392.3
"Clothes(Mill. pieces)";..;..;..;..;..;..;..;..;..;..;1156.4;..;..;2175.1;2776.5;2604.5;2975.3;3144.1;3424.0;3706.5;3903.0
"Footwear(Mill. pairs)";46.4;61.8;79.3;77.0;87.0;107.9;102.3;113.1;133.6;155.1;218.0;234.2;213.2;169.2;187.7;192.2;200.4;222.1;227.8;246.5;278.4
"Fabric shoes(Mill. pairs)";22.2;28.2;32.4;33.4;37.3;32.4;40.8;34.9;35.3;36.9;34.2;41.3;51.7;51.0;45.4;50.3;49.6;51.1;53.1;55.1;56.9
"Sports shoes(Mill. pairs)";..;..;..;..;..;109.2;..;..;189.8;215.9;240.8;271.8;286.9;293.2;292.5;347.0;380.1;400.9;480.7;567.3;665.4
"Sawn wood(Thous. m3)";1606.0;1398.0;1184.0;2705.0;1465.9;1744.0;2036.0;2667.0;3291.0;3009.0;3232.0;4322.0;4441.0;5243.6;5672.2;5236.7;5179.3;4732.0;4520.4;3869.9;3489.1
"Paper, cover(Thous. tons)";216.0;220.0;263.0;311.0;349.0;408.5;445.3;489.6;687.4;809.3;901.2;1030.6;1727.0;1899.7;1752.3;1536.8;1568.8;1492.3;1445.0;1349.4;1366.5
"Printed newspapers and other printed products(Bill. pages)";96.7;151.6;157.2;167.3;182.8;184.7;206.8;257.2;300.9;343.6;450.3;588.2;671.8;739.6;764.3;716.2;675.8;702.5;724.5;712.6;728.9
"Yellow phosphorus(Thous. tons)";..;..;..;..;..;..;..;..;..;..;3961.0;..;..;9420.0;13012.0;24514.0;31339.0;41893.0;42057.0;68484.0;70255.0
"Chemical fertilizer(Thous. tons)";931.0;965.0;982.4;978.0;1143.1;1209.5;1270.4;1158.4;1294.3;1714.4;2189.5;2182.6;2499.4;2459.4;2360.0;2411.3;2602.0;3205.0;3730.8;3829.4;3762.4
"NPK fertilizers (Thous. tons)";..;..;..;..;..;..;..;..;..;..;2083.5;..;..;2301.8;2527.0;2645.4;3118.0;3295.2;3372.3;3885.9;3825.3
"Insecticide( Ton)";15566.0;20007.0;19078.0;20223.0;21961.0;20948.0;23921.0;33617.0;40949.0;54523.0;45877.0;53113.0;59485.0;65410.0;75381.0;73633.0;79787.0;84264.0;89830.0;92307.0;90092.0
"Pesticide( Ton)";..;..;..;..;..;..;..;..;..;..;21120.0;..;..;19381.0;26825.0;24218.0;30302.0;39769.0;36605.0;38220.0;37761.0
"Shampoo, conditioner( Ton)";..;..;..;..;..;..;..;..;..;..;55536.0;..;..;53220.0;51401.0;49280.0;50197.0;57451.0;61456.0;63662.0;65082.0
"Toothpastes( Ton)";..;..;..;..;..;..;..;..;..;..;30907.0;..;..;29960.0;31434.0;30307.0;37161.0;37432.0;34390.0;39626.0;40320.0
"Shower creame, cleansing foam( Ton)";..;..;..;..;..;..;..;..;..;..;6099.0;..;..;8183.0;10483.0;14328.0;17436.0;20055.0;24183.0;29499.0;35511.0
"Soap(Thous. tons)";..;..;..;..;..;..;..;..;..;..;573.0;..;..;639.5;845.4;815.6;791.8;867.2;902.7;938.8;991.0
