"Yield of winter paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Thanh Hoa";30.0;18.2;30.6;32.3;36.5;33.5;38.5;41.9;43.0;45.3;39.3;48.9;50.3;50.3;52.8;50.6;48.8;51.8;50.2;53.2;52.1
"Nghe An";19.0;17.7;20.4;18.1;18.3;22.8;23.1;23.2;24.4;27.7;26.6;28.7;27.1;27.1;21.8;22.9;30.3;32.7;32.5;35.2;35.1
"Ha Tinh";19.6;14.3;19.7;15.9;14.5;17.0;19.1;13.5;21.8;26.7;25.3;24.6;16.0;16.0;18.4;7.8;16.8;20.8;18.0;24.7;27.2
"Quang Binh";8.8;10.3;10.2;4.8;7.1;10.0;14.3;14.8;15.3;21.4;20.0;25.6;19.0;19.0;15.7;3.3;13.3;16.0;6.0;16.0;16.0
"Quang Tri";7.3;7.9;8.0;7.1;6.3;12.5;13.4;14.5;14.6;15.6;16.5;15.9;15.1;15.1;7.7;7.7;9.2;9.6;9.2;9.1;9.5
"Thua Thien-Hue";10.0;9.0;9.1;6.7;5.0;10.0;10.0;12.9;15.0;14.3;11.7;15.0;15.0;15.0;15.7;16.7;18.3;15.0;15.7;16.7;16.7
"Da Nang";40.2;41.6;38.0;38.4;40.0;45.8;48.7;44.4;50.5;54.7;55.0;56.8;55.5;55.9;47.4;54.8;54.0;57.8;53.6;60.0;58.0
"Quang  Nam";26.5;27.4;26.1;28.6;30.0;33.6;35.8;33.8;40.4;43.7;42.1;43.2;44.0;46.1;39.8;46.2;48.2;46.5;45.1;50.0;49.1
"Quang  Ngai";22.4;27.0;20.4;29.7;31.1;25.6;28.5;28.9;29.0;29.4;28.9;30.9;30.6;27.5;18.8;25.8;27.8;26.3;23.0;25.7;28.8
"Binh Dinh";24.8;27.9;25.3;30.9;30.7;33.2;35.1;33.1;35.5;41.2;35.3;40.9;41.7;43.4;35.1;42.9;44.6;46.0;46.2;46.6;47.2
"Phu Yen";22.8;20.6;21.3;22.0;21.0;20.3;14.9;23.8;24.8;25.2;22.8;29.9;23.1;27.6;16.7;27.1;30.5;33.3;33.2;32.6;32.4
"Khanh  Hoa";26.8;23.1;24.3;25.5;17.7;22.9;22.7;29.1;28.9;19.7;21.8;28.1;32.9;20.0;27.0;33.4;35.9;35.7;36.5;39.0;39.6
"Ninh  Thuan";36.2;37.3;38.3;36.0;30.9;26.5;31.2;42.1;30.1;36.9;41.5;38.1;42.6;43.2;44.4;35.6;47.5;50.9;50.9;53.7;54.4
"Binh Thuan";27.2;29.2;30.4;32.6;29.2;29.4;32.3;36.4;34.6;31.5;35.3;32.0;40.9;42.1;46.3;45.3;46.7;50.3;52.1;52.5;54.2
"Central Highlands";22.2;24.1;24.2;24.0;26.8;28.2;30.5;28.4;34.9;34.9;35.6;36.7;36.6;40.3;41.0;43.1;45.2;44.8;45.9;47.3;47.6
"Kon Tum";17.7;16.9;19.0;18.0;20.0;21.0;22.3;24.4;25.5;26.4;25.1;26.5;27.9;29.1;27.7;29.8;31.0;32.0;32.0;32.1;32.9
"Gia Lai";17.1;18.3;16.9;18.5;20.6;22.9;26.7;25.5;29.1;27.4;30.8;34.2;34.5;36.2;34.1;37.7;39.2;38.8;39.8;40.5;40.8
"Dak Lak";26.2;29.7;30.6;27.8;32.9;35.8;35.0;30.6;41.5;44.2;42.7;48.0;39.7;46.9;49.7;51.8;53.8;51.7;53.8;55.9;56.2
"Dak Nong";..;..;..;..;..;..;..;..;..;34.8;36.8;39.0;38.1;39.6;47.9;53.7;51.3;54.0;52.9;56.1;55.8
"Lam Dong";25.9;31.0;31.8;32.3;32.7;28.9;36.1;33.2;39.1;38.8;40.7;23.5;41.3;43.7;44.9;40.4;45.2;48.1;46.9;48.4;48.7
"South East";23.5;21.4;26.0;26.7;25.3;26.2;29.2;30.1;32.5;32.0;34.7;33.6;38.1;39.0;40.6;42.8;43.0;44.3;44.8;46.4;46.8
"Binh Phuoc";14.8;15.0;16.4;16.3;17.2;17.3;22.6;23.3;24.7;25.5;28.4;22.8;30.7;27.9;30.3;30.9;31.3;31.8;32.4;32.6;33.0
"Tay Ninh";20.3;19.9;24.7;25.0;25.3;24.9;29.2;30.8;34.6;35.9;36.5;40.2;43.5;43.6;44.0;48.3;46.6;48.4;49.0;50.1;50.1
"Binh  Duong";22.2;22.8;23.7;23.7;24.5;23.1;23.6;24.6;25.1;25.0;27.5;23.7;27.8;30.6;33.6;36.0;35.7;36.3;36.2;37.3;38.3
"Dong Nai";29.6;27.4;31.9;32.1;28.6;29.9;33.9;35.4;37.2;32.1;38.7;37.0;39.5;41.2;44.1;45.2;46.7;47.8;47.5;49.8;50.0
"Ba Ria - Vung Tau";24.1;27.6;23.7;30.8;23.5;27.3;27.9;27.5;28.8;27.3;31.9;28.2;33.3;33.4;37.2;34.7;36.5;36.6;38.6;42.1;44.0
"Ho Chi Minh city";28.5;20.6;29.2;28.8;26.4;28.5;29.1;28.5;29.8;30.8;31.3;22.8;30.9;33.0;33.0;33.4;35.2;37.5;38.7;39.5;39.6
"Mekong River Delta";28.9;33.3;26.7;29.8;30.9;31.2;33.9;34.1;36.4;35.5;38.3;38.3;34.9;40.3;39.2;42.5;43.4;46.2;46.9;47.7;47.6
"Long An";15.4;19.0;18.5;25.1;15.6;14.3;21.8;22.3;25.1;27.3;29.6;25.1;17.3;30.6;18.9;32.0;33.2;36.0;35.0;36.6;35.3
"Tien Giang";36.7;20.2;30.1;30.0;26.1;31.1;33.0;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Ben Tre";30.5;32.4;25.8;27.4;27.7;26.5;33.1;36.1;37.0;36.3;41.0;39.7;27.3;40.9;39.7;43.1;44.3;45.9;44.5;45.0;42.8
"Tra Vinh";30.5;49.6;30.2;30.2;29.7;32.9;36.5;39.3;41.5;40.6;41.3;43.0;33.8;43.8;41.0;46.9;47.7;51.8;51.7;53.1;53.4
"Vinh Long";37.6;36.2;40.7;44.6;40.5;38.4;41.2;41.7;46.3;46.1;..;..;..;..;..;..;..;..;..;..;..
"Dong Thap";31.0;34.0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"An Giang";11.7;19.4;15.2;15.2;18.0;23.0;28.0;20.0;26.3;27.2;30.5;32.2;23.6;38.3;37.5;43.1;43.1;50.3;50.7;47.6;36.2
"Kien  Giang";25.6;31.2;24.4;23.6;28.3;23.8;26.7;24.8;29.3;35.1;35.2;30.1;34.0;39.3;38.2;38.1;37.1;42.7;42.9;44.9;45.0
"Can Tho";34.4;27.6;27.6;26.6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Hau Giang";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Soc Trang";32.2;35.0;30.5;28.7;36.4;35.8;39.9;37.5;36.1;36.6;37.7;38.9;38.3;42.7;43.3;45.5;43.9;47.9;50.3;50.1;50.5
"Bac Lieu";38.7;42.6;33.1;41.8;36.9;39.2;39.2;36.8;39.8;41.9;45.2;44.9;46.5;45.1;46.2;47.6;48.2;50.0;50.4;50.3;50.4
"Ca Mau";26.2;28.8;21.9;29.8;32.4;29.5;29.8;30.7;32.1;27.7;32.2;34.2;34.1;35.4;35.2;38.3;40.1;41.2;43.0;43.4;42.9
