"Number of cattles as of annual 1st  by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ha Tinh";164.4;168.4;172.1;169.4;169.6;173.1;148.0;146.5;157.0;167.7;189.3;210.8;210.1;191.4;178.0;166.3;159.5;157.9;161.9;165.3;172.7
"Quang Binh";126.2;126.1;128.0;128.2;130.1;130.9;105.1;104.4;105.4;107.0;109.5;123.1;130.0;132.7;132.3;110.2;100.6;95.0;87.0;89.2;91.1
"Quang Tri";67.2;72.5;73.4;65.7;59.2;62.7;57.8;55.1;57.7;61.8;66.0;65.9;77.5;69.1;67.9;62.8;53.2;49.9;50.6;50.9;52.4
"Thua Thien-Hue";26.2;27.7;27.0;30.0;23.3;22.2;18.0;19.0;20.4;21.5;23.0;28.2;28.0;26.9;25.9;23.9;22.6;21.3;21.0;21.4;22.1
"Da Nang";14.5;15.8;19.5;18.0;18.2;20.1;16.6;16.2;15.9;15.9;15.5;14.9;16.1;15.8;16.4;17.6;12.2;13.3;13.8;14.6;15.4
"Quang  Nam";191.8;195.4;205.8;211.4;212.0;212.5;195.5;181.1;176.9;177.6;188.2;233.7;239.7;228.3;210.3;157.1;149.8;148.2;143.4;145.2;151.4
"Quang  Ngai";185.5;199.6;202.2;203.5;217.3;224.2;184.2;181.7;194.2;219.6;243.7;284.6;287.8;277.4;274.6;278.3;269.6;273.1;273.9;274.3;278.9
"Binh Dinh";230.3;242.1;231.7;242.8;239.4;238.8;192.5;221.3;234.6;255.8;289.2;340.0;335.6;307.5;288.4;276.5;251.8;246.2;246.7;252.4;266.0
"Phu Yen";163.8;172.8;174.7;176.6;178.1;179.0;136.8;143.0;164.6;188.3;201.6;228.6;233.6;191.8;191.4;189.6;177.9;176.4;178.9;176.9;175.9
"Khanh  Hoa";69.6;73.3;71.2;72.7;70.8;62.6;46.8;50.2;55.9;60.7;69.1;97.8;106.1;84.8;81.6;76.1;73.3;71.2;71.8;73.3;73.2
"Ninh  Thuan";68.6;69.4;92.3;78.8;82.4;80.3;78.7;81.3;99.2;106.6;108.0;108.1;110.1;112.4;113.7;114.1;105.3;94.2;89.2;84.5;86.2
"Binh Thuan";101.9;103.8;111.6;117.0;109.0;115.1;120.8;133.8;142.7;161.5;178.0;186.2;215.6;220.7;224.1;223.6;156.9;167.2;160.2;164.3;163.5
"Central Highlands";436.9;491.3;498.7;521.6;533.7;524.9;439.4;432.5;476.0;547.1;616.9;747.9;756.3;721.3;716.9;694.9;689.0;657.2;662.8;673.7;685.6
"Kon Tum";45.7;62.4;65.8;69.7;70.4;61.6;61.7;51.9;56.6;62.6;67.4;77.6;82.2;80.7;74.4;74.1;68.8;63.4;62.2;60.0;62.3
"Gia Lai";226.9;253.5;255.2;273.1;280.8;286.4;248.4;244.2;249.9;261.2;278.8;313.9;321.4;327.6;336.4;333.0;344.1;347.6;351.1;355.1;357.9
"Dak Lak";113.2;115.6;116.1;116.0;117.4;119.5;87.8;94.8;114.7;140.4;162.2;225.0;221.7;212.5;206.2;191.1;181.0;158.5;165.7;167.8;170.7
"Dak Nong";..;..;..;..;..;..;..;..;..;12.5;15.5;23.6;23.5;25.6;24.3;23.0;23.0;16.4;15.8;18.1;18.2
"Lam Dong";51.1;59.8;61.6;62.8;65.1;57.4;41.5;41.6;54.8;70.4;93.0;107.8;107.5;74.9;75.6;73.7;72.1;71.3;68.0;72.7;76.5
"South East";205.5;214.4;218.9;225.7;227.1;228.6;238.3;259.7;292.7;331.5;396.1;493.0;541.6;495.1;473.4;440.0;408.9;382.5;364.0;361.3;367.1
"Binh Phuoc";15.1;19.6;20.0;22.9;24.3;26.2;27.0;35.5;37.5;44.1;53.1;72.1;74.2;72.2;70.0;64.0;44.5;32.7;29.1;28.5;28.0
"Tay Ninh";45.3;47.0;52.6;54.4;56.5;56.8;56.2;59.7;68.5;79.5;92.3;125.7;145.5;133.1;131.0;128.1;125.9;110.7;99.9;87.5;86.1
"Binh  Duong";35.5;31.4;28.9;29.0;29.0;27.1;27.1;28.8;29.9;31.9;35.7;44.5;47.3;40.9;36.4;29.9;27.3;25.1;22.6;21.9;22.4
"Dong Nai";45.3;48.8;52.1;53.7;51.8;53.2;55.6;56.1;61.3;72.1;86.6;98.5;107.4;90.2;85.8;80.7;75.1;68.3;64.8;65.8;68.4
"Ba Ria - Vung Tau";24.4;26.1;26.1;26.2;25.6;25.6;26.5;26.4;33.3;34.9;48.1;53.8;67.8;52.7;42.8;37.9;33.8;37.0;35.6;36.0;36.6
"Ho Chi Minh city";39.9;41.5;39.2;39.5;39.9;39.7;45.9;53.2;62.2;69.0;80.3;98.4;99.4;106.0;107.4;99.4;102.3;108.7;112.0;121.6;125.6
"Mekong River Delta";149.8;151.4;160.2;164.3;184.0;197.2;220.0;278.2;329.1;419.8;537.9;679.8;689.6;713.5;696.6;691.1;665.7;629.1;643.9;677.9;689.1
"Long An";18.2;18.2;17.9;18.9;18.4;22.5;25.6;32.1;37.9;49.1;72.8;91.1;87.6;90.9;85.5;81.7;78.8;79.0;80.3;84.3;86.0
"Tien Giang";8.5;8.0;8.0;8.2;11.0;11.0;15.7;16.9;22.6;30.9;40.8;63.5;65.1;67.4;65.7;72.7;72.4;71.1;76.5;78.4;80.3
"Ben Tre";29.2;30.3;36.6;37.1;43.4;43.7;52.0;64.5;73.3;96.1;124.3;162.7;157.6;170.6;172.0;166.5;157.4;152.0;152.4;158.8;155.6
