"Production of cassava by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Binh Phuoc";65.5;29.1;15.6;2.7;11.1;13.9;370.6;542.4;534.9;528.0;493.8;505.9;553.9;564.5;43.8;464.2;491.3;470.0;440.0;431.7;410.9
"Tay Ninh";230.9;154.0;307.3;43.0;7.9;9.6;538.7;682.3;800.1;898.7;1071.8;1120.7;1125.9;1248.6;469.4;1150.7;1325.9;1317.3;1347.0;1603.4;1868.3
"Binh Duong";44.0;19.6;51.4;12.6;10.7;12.1;105.7;121.9;128.5;133.5;117.8;124.7;120.0;119.9;1236.1;117.7;114.4;112.3;74.7;82.6;86.7
"Dong Nai";125.3;119.4;82.2;63.0;61.5;63.8;312.5;306.3;341.7;382.7;442.2;425.0;481.0;563.7;118.5;361.6;388.9;366.8;373.6;385.2;399.2
"Ba Ria - Vung Tau";90.1;39.3;81.1;71.7;53.8;53.0;111.8;83.5;137.2;135.7;144.0;150.2;152.9;187.2;382.0;212.5;231.6;212.0;205.6;208.5;217.5
"Long An";14.4;9.7;6.7;6.0;6.0;8.1;4.4;3.7;11.0;5.6;7.1;6.1;8.6;23.1;194.9;8.7;15.4;20.9;23.2;21.6;17.9
"Ben Tre";8.5;8.5;5.1;5.5;5.0;5.2;4.7;4.9;4.4;3.7;3.7;2.1;2.5;2.2;15.0;..;..;..;..;..;..
"Vinh Long";5.2;3.5;2.8;1.8;3.3;3.1;3.5;2.8;2.1;1.8;2.4;3.0;3.0;2.8;3.1;3.1;3.2;3.2;2.7;2.9;3.0
"An Giang";11.6;18.4;14.9;9.0;23.5;8.1;72.7;65.6;88.1;2.8;14.5;18.2;16.1;23.9;13.0;21.6;25.2;27.3;18.0;19.4;15.4
"Kien Giang";1.3;1.5;3.0;3.5;7.7;5.3;3.8;14.6;9.1;8.6;8.5;6.5;11.3;19.4;18.9;15.4;3.2;12.3;15.6;20.7;25.8
