"Planted area of cereals by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ha Tinh";110.0;111.3;112.0;104.6;109.5;109.9;110.7;110.5;109.4;111.3;109.6;109.6;109.5;110.3;107.0;107.2;107.8;105.7;106.4;109.4;110.4
"Quang Binh";48.3;49.9;49.5;47.2;50.3;49.6;51.1;51.1;50.5;52.3;52.4;54.0;54.9;55.4;55.5;56.7;57.5;58.1;58.1;58.8;58.9
"Quang Tri";43.9;44.9;45.5;44.2;46.8;47.8;48.8;49.2;49.7;49.2;47.8;48.9;49.5;50.9;51.4;51.7;52.1;52.8;53.7;54.0;51.6
"Thua Thien-Hue";49.2;50.3;51.0;50.7;51.9;52.5;53.1;53.3;53.0;52.7;52.3;52.2;52.0;52.5;54.7;55.3;55.2;55.5;55.3;55.3;56.0
"Da Nang";13.5;13.5;13.6;12.6;12.3;11.3;11.5;11.0;10.3;9.8;8.8;8.9;8.8;8.9;8.7;8.1;7.3;6.5;5.9;5.9;5.8
"Quang  Nam";111.9;111.9;112.6;108.5;110.2;103.4;98.7;97.8;97.9;97.1;94.9;95.2;95.8;98.2;99.1;98.4;100.8;102.0;100.6;100.8;101.6
"Quang  Ngai";92.0;94.4;95.4;93.8;95.5;94.2;87.8;89.6;88.8;84.7;84.1;85.3;84.6;84.4;83.3;83.0;82.7;84.1;85.4;84.3;85.9
"Binh Dinh";119.5;125.3;123.7;121.6;128.0;129.7;132.5;124.4;132.6;132.6;119.3;128.8;119.8;123.3;121.9;120.9;120.4;119.5;110.9;114.6;114.4
"Phu Yen";61.8;62.2;60.5;64.4;63.2;61.7;64.4;63.6;64.7;65.3;64.5;64.8;62.4;63.1;63.3;63.4;64.0;63.1;64.1;63.2;63.1
"Khanh  Hoa";43.2;47.4;46.2;45.4;49.8;50.7;51.4;48.3;51.4;50.6;40.0;52.6;47.0;51.4;51.9;50.2;51.5;53.7;53.3;52.3;40.3
"Ninh  Thuan";37.0;36.8;39.6;38.0;44.2;45.1;42.9;41.0;43.5;46.4;30.7;48.3;47.9;52.9;54.5;52.4;54.8;57.5;59.2;57.0;49.2
"Binh Thuan";72.2;79.4;84.3;87.6;98.0;105.1;104.5;102.9;103.0;107.3;104.1;162.1;116.2;119.4;122.5;125.9;128.8;132.9;135.1;139.6;134.6
"Central Highlands";221.9;213.1;239.5;234.2;239.9;263.6;283.9;335.8;377.9;407.1;428.8;434.1;440.8;445.2;459.4;454.6;456.8;476.7;484.2;487.5;479.0
"Kon Tum";22.0;22.1;22.5;22.5;23.4;25.3;27.2;28.0;29.1;31.1;33.0;32.4;31.9;31.4;32.0;30.4;29.9;30.5;30.7;30.3;30.8
"Gia Lai";69.2;71.3;76.3;73.2;76.5;82.7;88.3;98.9;109.7;116.1;120.4;123.0;125.2;123.8;127.1;127.3;121.2;126.7;126.6;127.8;126.8
"Dak Lak";88.5;83.9;94.3;91.6;94.5;110.5;122.7;159.4;187.9;178.1;183.9;187.0;188.6;193.7;198.7;195.8;200.5;207.0;213.3;216.7;211.8
"Dak Nong";..;..;..;..;..;..;..;..;..;30.3;39.4;39.6;42.4;45.4;50.3;51.1;54.1;61.5;64.7;65.3;64.0
"Lam Dong";42.2;35.8;46.4;46.9;45.5;45.1;45.7;49.5;51.2;51.5;52.1;52.1;52.7;50.9;51.3;50.0;51.1;51.0;48.9;47.4;45.6
"South East";433.1;453.5;456.8;446.3;488.2;499.5;480.7;469.7;467.4;453.1;414.7;397.8;393.0;396.5;394.4;374.9;371.8;373.7;360.1;353.2;352.7
"Binh Phuoc";28.1;25.9;29.9;25.0;24.7;21.9;21.1;22.3;23.6;22.8;22.2;21.5;19.9;19.9;22.2;21.3;18.7;20.1;18.9;17.9;17.9
"Tay Ninh";127.9;147.2;146.3;147.5;174.9;181.1;174.7;172.4;176.4;169.5;152.5;145.7;149.6;158.5;161.7;160.1;160.7;160.5;151.4;147.4;149.5
