"Planted area of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Bac Giang";7.8;10.5;13.6;13.7;12.5;11.4;8.9;6.9;10.3;13.8;13.3;13.8;14.2;15.6;12.0;12.3;10.8;8.6;9.3;10.1;10.7
"Phu Tho";9.6;11.5;13.1;12.8;16.1;16.2;14.9;16.2;19.3;20.1;20.3;18.0;21.6;23.1;16.4;20.7;21.4;17.4;18.6;18.7;19.2
"Dien Bien";..;..;..;..;..;..;..;..;..;24.6;25.5;26.4;27.3;28.9;29.5;29.1;29.8;29.2;29.3;29.9;29.7
"Lai Chau";27.2;29.1;29.0;29.7;30.1;31.1;32.1;33.8;36.9;15.0;16.0;17.0;17.8;18.2;18.7;19.4;20.0;21.4;21.2;22.1;22.7
"Son La";25.2;24.4;29.3;35.4;42.5;51.6;55.2;64.9;64.6;68.2;80.9;82.4;117.8;132.3;132.1;132.7;127.5;168.7;162.8;162.5;159.9
"Hoa Binh";14.7;15.6;18.7;18.7;19.4;21.5;21.8;23.8;27.9;30.3;33.8;32.2;34.0;35.9;34.0;35.9;36.8;36.2;36.9;37.6;38.9
"Northern Central area and Central coastal area";97.1;108.9;119.3;118.1;136.7;144.1;143.4;155.2;176.6;211.4;225.6;224.4;213.9;219.6;202.8;213.2;207.6;202.4;206.0;208.0;210.4
"Thanh Hoa";31.5;36.9;36.7;40.8;45.8;46.4;44.3;49.5;54.1;63.7;65.3;63.8;59.4;60.7;53.7;54.4;52.8;49.1;52.0;54.7;56.8
"Nghe An";24.7;27.0;35.0;31.1;37.7;37.5;33.9;35.5;45.1;60.3;64.4;67.1;59.6;61.4;54.0;62.9;57.9;55.8;56.2;55.7;58.9
"Ha Tinh";2.8;2.9;2.7;2.0;3.5;2.5;2.4;2.4;4.7;9.1;11.1;7.8;8.6;9.8;6.5;8.1;8.7;6.4;7.7;8.3;8.7
"Quang Binh";2.7;2.8;3.1;2.8;3.4;3.3;3.3;3.2;3.1;3.9;4.1;4.7;4.8;5.1;4.6;4.5;4.6;4.6;4.5;4.5;4.7
