"Planted area of winter paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ninh Binh";39.4;26.1;39.3;39.7;40.2;40.6;40.5;40.1;39.7;39.4;38.6;38.5;38.2;39.3;39.8;39.5;39.2;39.3;39.0;38.6;37.6
"Northern midlands and mountain areas";418.7;416.9;415.4;417.3;424.7;424.9;425.8;425.6;422.4;426.6;425.1;423.3;435.7;427.6;430.3;429.9;430.2;432.4;441.2;439.1;432.8
"Ha Giang";23.5;23.9;23.1;23.1;23.0;23.7;24.0;24.3;25.2;25.6;25.7;26.0;26.2;27.1;27.1;27.2;27.3;27.5;27.7;27.9;27.2
"Cao Bang";30.1;25.1;25.8;25.6;26.3;25.3;25.8;25.9;26.1;26.1;26.5;27.1;26.9;27.5;26.6;27.5;26.8;27.5;27.0;27.1;27.2
"Bac Kan";14.5;14.3;14.2;13.8;13.7;13.5;13.7;13.8;13.4;13.8;13.9;13.8;14.2;14.1;14.3;14.4;14.6;14.6;15.1;15.3;15.5
"Tuyen Quang";26.4;26.2;26.1;26.8;26.5;26.6;27.0;26.9;26.8;26.7;26.1;26.1;26.0;25.7;25.8;25.7;25.8;25.7;25.6;25.5;25.4
"Lao Cai";26.4;25.4;25.1;25.6;27.4;27.7;27.5;26.4;26.9;19.6;20.0;19.5;19.5;19.5;20.1;20.6;20.9;20.8;20.7;20.9;20.7
"Yen Bai";24.3;24.4;24.7;27.4;24.6;24.8;25.0;24.5;24.7;24.8;24.3;24.4;24.4;22.7;23.9;23.6;23.3;22.2;21.8;21.9;21.9
"Thai  Nguyen";37.5;42.2;42.0;42.1;43.2;42.7;42.7;42.6;42.0;41.9;41.8;41.5;41.7;41.5;41.2;41.5;41.6;42.4;42.1;42.1;41.9
"Lang Son";34.6;35.3;35.2;34.0;33.9;34.1;34.6;34.4;34.1;34.3;34.0;34.0;33.9;34.1;34.1;34.2;34.1;34.2;34.7;34.6;34.4
"Bac Giang";60.3;61.4;62.2;63.7;64.9;64.3;63.1;64.3;63.1;63.8;62.0;61.4;60.3;59.8;59.2;59.3;59.2;58.9;58.4;59.0;57.9
"Phu Tho";34.4;31.7;32.6;34.0;34.9;35.3;34.3;35.1;35.2;35.6;35.3;33.5;34.8;32.8;34.4;33.3;33.9;32.5;33.1;32.6;32.2
"Dien Bien";..;..;..;..;..;..;..;..;..;32.5;32.7;33.6;34.7;35.6;37.0;38.5;39.6;40.1;40.7;40.9;40.6
"Lai Chau";41.9;42.5;39.9;40.4;43.4;45.2;47.3;47.7;47.5;24.2;25.8;25.4;25.2;25.4;24.8;24.9;23.8;23.1;24.2;24.2;24.5
"Son La";37.7;38.5;37.9;36.8;35.9;34.8;33.3;31.7;30.1;30.3;30.0;30.3;41.7;36.4;36.4;35.1;34.7;38.1;45.6;42.9;40.5
"Hoa Binh";27.1;26.0;26.6;24.0;27.0;26.9;27.5;28.0;27.3;27.4;27.0;26.7;26.2;25.4;25.4;24.1;24.6;24.8;24.5;24.2;22.9
"Northern Central area and Central coastal area";430.2;432.0;426.8;416.3;422.4;412.3;400.5;389.6;376.2;365.0;346.8;351.5;343.3;337.6;324.7;318.9;322.8;316.8;312.1;312.0;306.2
"Thanh Hoa";137.0;137.0;137.8;136.2;138.0;138.6;137.6;137.6;136.2;136.0;133.9;135.3;135.7;136.5;136.8;132.3;135.0;134.1;133.8;134.6;132.4
"Nghe An";64.3;64.0;59.4;54.6;55.2;53.4;51.8;49.8;46.0;41.5;41.0;38.4;37.5;41.7;32.5;37.7;43.3;38.0;35.6;38.4;39.3
"Ha Tinh";20.4;19.6;19.5;15.2;17.1;15.9;13.7;12.3;9.0;9.3;8.6;8.0;7.5;6.6;5.0;4.1;3.4;2.6;2.0;1.7;1.8
"Quang Binh";6.6;6.0;5.6;4.4;4.5;3.0;2.3;2.1;1.5;1.4;0.7;0.9;1.0;0.9;0.7;0.6;0.6;0.5;0.5;0.5;0.5
"Quang Tri";6.4;6.3;5.9;5.9;5.2;5.9;5.8;5.6;5.4;5.2;4.8;4.4;4.5;4.5;3.1;3.1;2.6;2.4;2.4;2.3;2.0
"Thua Thien-Hue";1.0;1.0;1.1;0.6;0.6;0.7;0.7;0.7;0.6;0.7;0.6;0.6;0.6;0.7;0.7;0.6;0.6;0.8;0.7;0.6;0.6
