"Area of destroyed forest by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ninh  Thuan";1.0;..;62.0;18.0;6.0;16.0;15.3;13.7;..;..;..;..;..;2.0;..;11.3;105.7;6.3;11.0;0.5;..
"Binh Thuan";400.0;578.0;192.0;151.0;379.0;379.0;..;127.0;25.0;147.0;..;3.0;5.0;37.9;14.9;108.0;109.0;141.0;124.0;3.4;0.8
"Central Highlands";10134.0;2757.5;3356.5;3092.7;3154.0;1547.6;1305.2;1983.4;566.5;457.2;1008.9;996.3;481.3;1040.5;714.8;2951.8;4951.3;1093.7;487.8;355.8;377.0
"Kon Tum";3274.0;..;249.5;441.8;166.0;132.0;155.0;169.0;35.4;6.8;60.0;94.7;60.3;145.3;62.0;72.7;78.0;114.0;80.6;..;4.4
"Gia Lai";760.0;1649.5;116.0;415.9;160.0;52.1;36.7;490.4;237.7;76.4;212.9;176.6;98.3;72.7;23.0;11.7;85.0;82.5;43.7;31.5;31.7
"Dak Lak";3488.0;499.0;2636.0;1837.0;2233.0;1161.5;960.5;236.0;0.4;98.0;94.3;70.0;32.4;79.6;56.8;88.2;2105.1;435.1;152.7;83.0;4.5
"Dak Nong";..;..;..;..;..;..;..;..;..;175.0;337.0;312.0;7.0;438.8;93.0;2346.3;485.8;227.5;..;145.9;178.2
"Lam Dong";2612.0;609.0;355.0;398.0;595.0;202.0;153.0;1088.0;293.0;101.0;304.7;343.0;283.3;304.1;480.0;432.9;2197.4;234.6;210.8;95.5;158.2
"South East";1387.0;778.6;1256.8;751.0;714.0;589.0;481.5;948.7;452.9;886.7;1827.9;1605.0;483.9;1419.9;428.0;361.6;153.5;55.8;27.1;12.2;13.7
"Binh Phuoc";173.0;181.6;18.0;639.0;596.0;558.3;413.8;860.0;395.0;876.0;1793.0;1569.0;456.0;1326.5;417.0;289.3;150.7;28.8;17.9;1.8;6.4
"Tay Ninh";868.0;495.0;1174.0;14.3;19.0;11.0;9.6;27.1;15.4;5.6;30.6;29.3;25.4;92.5;4.5;..;..;..;..;9.1;2.2
"Binh  Duong";..;..;24.0;5.0;8.0;2.0;43.0;55.0;37.0;1.0;1.0;4.0;1.0;0.2;0.3;..;..;..;..;..;..
"Dong Nai";338.0;90.0;..;83.0;78.0;13.7;10.0;6.0;3.6;3.0;2.5;1.8;1.2;0.2;..;72.3;..;19.8;9.2;1.2;0.7
"Ba Ria - Vung Tau";6.0;..;38.8;8.0;4.0;4.0;4.5;..;..;0.4;0.4;0.4;..;0.3;6.2;..;2.8;7.2;..;..;4.5
"Ho Chi Minh city";2.0;12.0;2.0;1.7;9.0;..;0.6;0.6;1.9;0.7;0.4;0.5;0.3;0.2;..;..;..;..;..;..;..
"Mekong River Delta";2592.0;6.5;454.9;312.7;15.2;205.8;110.1;571.9;84.5;39.6;27.1;48.8;26.1;17.1;18.0;..;7.0;0.5;4.5;5.8;6.6
"Ben Tre";..;..;..;..;..;..;25.4;46.0;9.5;12.7;11.4;8.6;2.5;0.7;..;..;1.7;0.5;..;0.1;0.8
"Tra Vinh";..;..;..;0.2;0.2;..;..;9.1;3.5;8.1;2.5;3.2;1.8;1.2;..;..;..;..;..;5.7;..
"Dong Thap";200.0;2.0;2.3;8.6;1.0;0.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"An Giang";..;4.5;0.4;2.6;..;..;..;0.1;..;0.3;..;28.0;13.8;..;..;..;..;..;..;..;..
"Kien  Giang";..;..;15.0;0.3;..;..;9.5;7.8;4.3;7.0;4.0;..;..;..;..;..;5.3;..;4.5;..;2.6
"Hau Giang";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Soc Trang";..;..;2.2;1.0;1.0;..;3.5;3.9;1.2;1.3;1.4;..;..;8.5;..;..;..;..;..;..;..
"Bac Lieu";..;..;25.0;..;..;161.0;55.0;438.0;..;..;..;..;..;..;..;..;..;..;..;..;..
"Ca Mau";2392.0;..;410.0;300.0;13.0;44.7;16.7;67.0;66.0;10.2;7.8;9.0;8.0;6.7;18.0;..;..;..;..;..;3.2
