"Number of pigs as of annual 1st October by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Nghe An";730.8;741.8;762.6;775.8;794.5;821.7;1093.8;1117.8;1190.4;1215.2;1239.0;1184.6;1182.9;1171.3;1218.3;1169.6;1067.1;1006.0;1014.9;971.9;964.9
"Ha Tinh";335.6;342.4;357.5;351.0;355.2;366.9;406.3;400.3;473.9;466.4;452.9;405.0;422.6;394.6;381.6;356.1;333.5;328.0;337.0;359.2;377.5
"Quang Binh";262.1;264.2;270.1;267.3;273.0;278.5;281.0;293.7;300.8;317.7;332.8;347.3;359.9;381.5;391.6;388.9;354.2;346.4;345.2;354.6;367.7
"Quang Tri";153.6;161.3;174.2;172.0;136.2;185.6;211.5;222.8;226.8;242.4;253.9;253.9;236.7;221.7;235.7;251.6;229.1;225.2;229.0;238.7;254.8
"Thua Thien-Hue";191.8;198.3;201.4;198.9;113.1;203.2;244.4;245.1;252.4;259.6;264.8;270.5;266.8;232.4;242.6;247.0;232.9;230.1;217.0;201.7;202.2
"Da Nang";86.0;92.0;103.3;101.4;89.4;107.4;106.6;108.8;108.5;111.0;94.9;76.6;63.1;56.5;72.8;64.0;58.6;56.3;57.3;59.0;61.2
"Quang  Nam";437.0;440.1;455.3;459.7;431.9;474.2;501.7;526.5;542.3;555.8;576.5;587.9;578.7;586.3;578.5;574.7;526.1;519.7;488.2;495.9;511.2
"Quang  Ngai";349.1;376.6;369.1;354.2;386.1;402.7;482.5;517.4;539.5;562.8;576.6;522.7;522.7;502.8;512.2;508.4;487.6;477.2;464.7;458.1;452.8
"Binh Dinh";340.1;349.1;380.8;384.5;393.0;411.1;545.2;574.9;627.6;663.0;659.4;633.4;620.4;621.4;684.3;569.4;660.4;650.4;665.9;700.9;737.7
"Phu Yen";179.0;189.5;196.8;202.2;206.4;209.5;164.6;172.7;181.1;187.2;197.0;124.2;129.7;126.5;131.0;126.0;101.3;99.7;99.5;101.8;107.9
"Khanh  Hoa";109.9;117.9;116.3;115.8;119.3;120.1;121.4;128.4;138.7;140.7;138.5;107.2;101.2;106.6;120.2;95.6;108.5;110.2;122.7;127.2;132.3
"Ninh  Thuan";60.8;61.9;64.2;66.7;69.9;72.6;65.1;67.8;81.8;99.8;102.0;74.7;68.1;65.8;68.9;57.6;58.2;57.8;59.2;64.3;67.3
"Binh Thuan";171.2;172.1;182.9;190.1;194.1;211.8;212.2;234.7;242.5;260.4;268.4;313.3;260.9;263.0;274.3;269.5;205.8;206.1;209.2;239.0;247.4
"Central Highlands";783.0;873.0;905.2;948.0;1030.4;1122.8;1111.6;1191.2;1329.8;1488.7;1590.5;1386.2;1451.3;1557.2;1636.0;1633.1;1711.7;1704.1;1722.3;1742.4;1797.4
"Kon Tum";74.5;103.6;114.0;118.2;120.7;123.9;125.1;106.9;119.7;122.7;122.9;86.4;97.9;111.0;133.3;129.8;120.2;122.2;124.1;125.2;126.9
"Gia Lai";238.2;254.9;256.1;268.1;283.8;302.0;280.2;294.2;317.0;337.7;359.1;328.5;326.6;335.0;353.6;374.2;391.3;390.0;400.2;406.9;420.1
"Dak Lak";315.1;344.9;357.8;382.0;442.4;497.9;507.7;549.9;622.6;589.9;643.7;502.1;541.9;624.4;682.6;658.0;705.4;701.5;722.1;725.0;751.9
"Dak Nong";..;..;..;..;..;..;..;..;..;117.3;124.9;97.6;117.7;127.4;131.4;134.6;149.6;145.3;135.2;134.1;134.0
"Lam Dong";155.2;169.6;177.3;179.7;183.4;199.0;198.6;240.2;270.5;321.1;339.9;371.6;367.2;359.4;335.1;336.5;345.2;345.1;340.7;351.2;364.5
"South East";899.9;1001.0;1081.4;1137.2;1233.9;1365.2;1374.5;1560.2;1748.2;2042.5;2247.6;2431.0;2369.3;2372.7;2611.6;2485.3;2801.4;2780.0;2758.8;2890.1;3093.6
"Binh Phuoc";87.5;93.9;103.1;106.8;120.0;134.5;127.3;146.2;160.0;187.5;164.2;166.1;153.3;158.1;194.7;200.8;201.0;204.0;210.1;216.1;238.4
"Tay Ninh";90.8;91.8;110.4;107.4;113.3;120.4;118.0;130.7;156.3;184.5;209.6;208.7;223.1;223.7;234.8;210.5;210.8;212.7;194.5;194.9;195.6
"Binh  Duong";81.5;87.1;91.5;118.2;135.1;178.9;222.8;246.7;269.0;288.2;291.7;298.8;306.0;332.1;363.4;385.2;447.4;443.1;445.8;461.8;488.2
