"Production of autumn paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Lam Dong";..;..;19.0;13.4;11.4;17.0;14.4;13.2;18.6;21.4;24.5;21.9;25.5;26.0;26.8;24.7;27.9;30.7;30.2;30.7;32.0
"South East";222.9;250.7;221.3;230.3;289.7;334.3;295.2;314.5;345.8;361.8;325.8;329.2;359.2;402.8;418.6;391.0;435.2;437.9;432.5;434.8;444.7
"Tay Ninh";77.4;97.2;93.2;99.1;143.8;163.7;139.9;163.2;184.4;194.7;164.4;175.2;197.8;230.2;243.3;232.0;253.1;249.3;249.2;247.6;250.7
"Binh Duong";10.5;9.4;11.9;11.2;11.7;12.5;12.8;12.2;12.4;12.7;10.6;9.7;8.9;7.9;7.7;7.9;7.3;7.1;6.8;6.7;6.4
"Dong Nai";74.2;77.3;63.5;62.5;68.3;88.7;82.1;86.5;97.5;104.0;110.9;104.2;109.3;113.9;113.6;107.8;120.8;124.7;118.6;120.3;119.7
"Ba Ria - Vung Tau";13.8;13.0;9.5;12.2;16.0;17.9;18.7;15.5;16.3;17.9;17.9;19.2;16.6;22.4;27.2;18.3;29.6;32.0;31.5;32.9;36.4
"TP. Ho Chi Minh";47.0;53.8;43.2;45.3;49.9;51.5;41.7;37.1;35.2;32.5;22.0;20.9;26.6;28.4;26.8;25.0;24.4;24.8;26.4;27.3;31.5
"Mekong River Delta";5296.4;5598.2;5250.1;6275.9;7200.7;7004.5;6738.5;7649.9;7664.4;8572.7;8796.5;7839.3;8291.1;9253.1;9056.1;9720.6;11158.5;11677.0;12422.8;12173.1;12732.5
"Long An";350.0;363.5;304.4;366.3;516.3;442.6;435.2;496.2;544.8;680.0;622.9;533.6;703.5;834.5;810.7;828.8;1031.5;1030.6;1307.4;1247.9;1336.4
"Tien Giang";714.0;741.1;757.1;789.1;804.7;754.5;741.0;730.9;745.1;787.0;775.6;712.4;775.5;769.8;772.9;783.4;792.4;807.7;801.2;812.8;803.4
"Ben Tre";77.0;95.5;81.8;98.2;100.6;115.1;113.6;110.1;101.4;103.4;90.3;86.4;97.1;103.4;96.3;91.0;107.7;105.2;87.9;82.5;71.8
"Tra Vinh";220.5;231.2;249.8;261.4;338.2;363.3;326.7;345.3;362.9;361.2;340.5;341.8;384.6;396.4;396.2;379.0;431.9;434.8;418.1;407.0;408.1
"Vinh Long";446.7;457.6;433.2;509.8;540.4;492.2;497.5;509.4;503.4;532.7;535.3;507.4;392.0;464.8;483.9;475.0;597.5;645.1;641.7;651.3;657.7
"Dong Thap";669.9;734.4;627.6;778.2;935.4;682.2;728.3;880.0;933.0;1128.8;1243.7;1061.0;1121.8;1266.3;1222.0;1334.3;1618.2;1547.0;1854.2;1803.0;1951.0
"An Giang";770.0;795.7;649.8;710.5;814.5;807.0;849.4;1139.2;1250.6;1546.8;1568.7;1327.0;1486.3;1788.0;1715.8;1920.9;2064.7;2165.8;2244.6;2161.4;2254.4
"Kien Giang";629.1;620.0;617.2;813.9;909.0;1032.5;977.9;1160.7;1030.6;1199.4;1282.0;1081.8;1230.5;1338.0;1300.0;1367.9;1723.6;1950.5;2112.8;2044.3;2154.8
"Can Tho";824.1;855.6;741.3;898.8;1018.0;853.7;935.6;1065.0;1057.2;556.2;582.4;530.9;505.3;577.6;531.7;562.6;654.6;679.8;733.1;721.6;760.0
"Hau Giang";..;..;..;..;..;..;..;..;..;555.9;563.1;540.3;448.5;517.3;475.0;541.7;572.2;625.7;623.6;621.9;659.0
"Soc Trang";445.4;501.6;516.6;629.0;700.2;737.0;705.4;751.9;756.7;721.4;764.1;757.4;798.9;821.4;852.2;995.1;1102.9;1214.6;1128.2;1150.8;1197.8
"Bac Lieu";62.3;85.9;121.6;221.2;285.8;363.2;311.3;322.4;259.4;262.0;277.4;227.0;224.9;234.6;257.6;287.3;301.1;299.4;309.0;310.1;326.0
"Ca Mau";87.4;116.1;149.7;199.5;237.6;361.2;116.6;138.8;119.3;137.9;150.5;132.3;122.2;141.0;141.8;153.6;160.2;170.8;161.0;158.5;152.1
