"Yield of spring paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
" WHOLE COUNTRY";44.3;48.0;49.6;48.7;48.8;51.7;50.6;55.1;55.7;57.3;58.9;58.7;57.0;60.8;61.1;62.3;63.9;64.9;64.6;66.9;66.5
"Red River Delta";44.5;53.5;53.6;52.4;54.4;58.0;57.3;59.4;60.9;62.4;62.8;63.3;57.3;63.7;63.4;63.2;66.9;66.2;65.7;65.5;65.8
"Ha Noi";30.6;41.3;39.5;37.1;37.5;44.5;40.7;42.1;44.4;47.1;46.2;46.6;42.7;59.8;58.3;58.0;62.6;61.8;61.2;61.1;61.1
"Ha Tay";39.0;48.0;50.0;50.1;51.9;55.8;57.4;59.4;59.9;61.5;60.5;61.5;54.5;..;..;..;..;..;..;..;..
"Vinh Phuc";30.0;35.5;37.4;33.6;36.4;46.3;45.6;49.6;50.8;54.1;53.8;54.1;42.3;55.4;56.1;55.3;59.9;59.3;60.3;60.4;59.8
"Bac Ninh";31.6;43.6;43.8;42.7;46.9;55.7;52.4;54.5;56.8;59.1;59.8;59.2;54.1;63.5;64.2;64.5;70.5;68.8;67.0;63.1;65.9
"Quang Ninh";26.7;29.8;30.6;29.7;34.6;39.8;38.3;42.6;46.8;48.6;49.7;48.5;46.3;49.8;50.9;50.6;55.2;54.3;53.4;54.2;54.9
"Hai Duong";45.1;56.5;58.1;56.5;56.7;59.1;58.5;60.8;62.8;63.7;63.8;64.4;58.4;64.9;64.6;60.5;67.8;65.7;63.5;63.6;64.5
"Hai Phong";44.7;48.5;47.0;47.7;50.6;55.2;54.0;56.2;59.3;60.5;61.6;62.8;54.7;63.6;62.9;63.8;67.9;69.1;69.1;69.1;69.4
"Hung Yen";45.1;56.5;58.1;56.9;57.3;61.3;59.1;61.1;63.0;64.4;65.0;64.9;61.9;65.8;64.3;63.9;69.3;68.2;67.6;66.6;66.1
"Thai Binh";60.3;68.9;63.8;60.3;65.0;66.4;64.7;67.4;69.2;70.2;71.1;71.1;61.0;70.0;70.3;70.6;72.6;71.7;71.5;71.7;71.6
"Ha Nam";45.4;53.5;54.7;52.3;52.2;53.8;55.0;56.1;56.6;58.0;60.2;61.4;59.8;63.4;63.1;63.7;66.6;66.1;66.4;65.8;66.5
"Nam Dinh";53.9;63.7;65.0;65.0;65.6;67.3;67.4;68.4;68.8;69.6;69.9;70.6;67.1;67.5;67.5;68.2;68.8;68.9;69.0;69.1;69.2
"Ninh Binh";43.5;51.8;54.2;54.6;55.1;57.5;57.9;59.1;60.3;61.5;62.1;63.5;59.3;62.3;62.2;64.2;65.4;65.0;65.3;65.8;66.0
"Northern midlands and mountain areas";30.0;35.0;36.4;35.8;39.0;44.3;45.6;47.2;49.3;50.6;51.0;50.2;47.0;51.7;52.8;54.0;56.8;56.3;56.6;56.1;56.6
"Ha Giang";27.6;29.3;33.0;33.9;38.3;42.0;44.0;44.0;43.7;43.7;44.9;44.3;44.8;46.6;48.9;52.4;54.2;52.9;55.9;55.9;55.7
"Cao Bang";34.5;42.3;43.6;43.2;46.5;48.2;45.9;48.7;48.2;46.0;48.1;48.3;48.1;50.8;50.5;50.7;51.2;50.9;52.1;50.9;51.5
"Bac Kan";28.6;33.1;32.0;36.0;37.9;41.1;41.4;41.4;44.5;44.8;44.4;40.7;45.5;46.2;47.9;48.1;53.3;53.6;53.9;51.0;54.9
"Tuyen Quang";31.4;37.2;39.7;39.9;42.3;48.2;51.2;48.4;54.4;55.3;56.5;54.5;54.1;56.4;58.2;58.2;59.9;59.4;59.6;59.4;59.7
"Lao Cai";39.6;39.6;38.9;42.1;42.4;43.7;45.2;46.2;48.4;49.5;50.7;51.2;51.8;53.0;54.1;54.4;55.5;55.9;56.1;55.4;56.4
"Yen Bai";36.3;38.7;41.2;42.8;44.1;46.6;47.0;47.9;48.6;49.0;49.7;50.4;48.3;48.6;51.4;52.1;53.2;54.1;54.0;53.2;54.3
"Thai  Nguyen";30.4;35.3;35.7;35.1;38.7;41.9;44.9;46.1;47.0;49.1;48.6;47.4;44.4;50.0;50.0;51.3;54.9;52.6;53.8;52.4;54.9
"Lang Son";42.8;38.4;44.2;43.5;44.7;44.8;47.8;48.6;49.0;49.5;49.7;47.7;46.5;48.3;49.1;50.7;51.4;52.1;52.1;51.7;51.8
"Bac Giang";24.9;34.2;34.4;33.5;36.0;43.1;42.7;45.7;48.4;51.2;51.8;49.8;45.9;52.7;53.7;56.1;59.5;59.4;59.2;58.0;59.2
"Phu Tho";24.2;28.8;30.3;29.0;34.4;42.6;45.3;48.8;50.3;50.1;51.7;50.4;42.7;51.4;53.6;54.1;57.7;57.5;58.0;57.6;57.1
"Dien Bien";..;..;..;..;..;..;..;..;..;57.3;58.2;57.9;55.5;57.5;53.7;58.7;58.7;58.5;54.8;60.4;60.9
"Lai Chau";36.4;42.5;47.2;45.6;52.1;53.9;49.5;52.1;53.5;45.2;49.1;49.6;47.0;50.0;51.5;52.2;52.2;53.7;53.0;54.7;54.4
"Son La";45.1;50.0;54.2;49.7;47.6;51.9;49.9;55.1;54.9;57.0;52.8;57.0;55.2;56.6;57.7;57.8;61.2;59.6;60.5;60.1;55.3
"Hoa Binh";30.9;33.8;33.9;30.3;34.6;42.8;45.9;45.6;49.4;52.1;50.1;52.6;46.4;53.0;53.2;52.2;57.5;55.3;56.4;56.5;54.9
"Northern Central area and Central coastal area";36.3;39.2;43.0;41.1;44.9;47.1;47.8;52.1;53.0;54.3;54.8;56.3;53.5;54.2;57.3;57.8;58.7;60.2;59.6;62.7;61.4
"Thanh Hoa";38.6;40.1;47.9;45.3;48.5;53.1;55.1;56.6;57.2;59.8;60.1;61.9;55.4;60.3;60.2;59.9;62.9;64.3;62.0;64.5;63.0
"Nghe An";38.7;38.6;44.3;43.6;46.0;51.6;53.6;57.5;57.9;59.9;59.2;62.8;55.2;61.2;62.8;61.8;65.2;65.1;61.2;66.0;62.1
"Ha Tinh";31.8;33.7;35.8;35.0;40.0;42.6;41.7;46.1;49.4;51.6;50.8;51.4;43.4;49.9;50.3;50.1;52.7;53.6;54.9;56.1;54.0
"Quang Binh";34.5;40.3;38.7;37.5;42.0;46.0;44.2;49.3;50.2;52.7;52.2;53.9;52.5;53.6;54.6;53.7;57.6;58.1;57.5;60.5;59.8
"Quang Tri";33.3;41.8;40.7;38.1;43.9;46.5;43.7;50.0;49.3;52.2;49.9;52.8;51.6;49.1;51.1;51.1;53.7;53.8;50.0;55.9;54.1
"Thua Thien-Hue";34.8;39.6;41.0;38.9;42.3;42.2;38.5;45.9;49.0;50.6;45.7;53.8;53.9;54.8;55.4;56.1;55.8;56.9;57.6;60.4;60.1
"Da Nang";37.2;43.8;45.3;44.4;47.3;47.6;45.7;52.1;54.4;51.7;50.0;57.4;57.4;50.7;60.0;57.5;52.0;61.6;61.7;63.0;57.9
"Quang  Nam";26.9;32.0;32.8;33.3;34.9;35.7;38.6;44.7;47.0;45.3;44.9;49.0;50.2;42.4;51.7;50.6;47.1;54.7;55.3;56.8;55.3
"Quang  Ngai";28.1;34.8;36.8;36.3;39.2;40.5;41.4;45.8;50.5;49.4;50.7;52.3;53.9;44.0;53.9;55.5;50.6;56.2;56.8;59.2;58.8
"Binh Dinh";38.9;38.2;44.8;41.0;46.5;46.8;48.1;52.6;50.6;50.1;56.8;56.0;54.8;55.6;58.7;61.9;62.4;63.0;63.4;67.9;68.6
