"Production of cereals by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Nghe An";605.2;585.3;727.4;673.8;714.7;832.4;871.3;937.0;981.7;1097.9;1040.7;1143.8;1053.8;1157.7;1084.8;1063.2;1171.6;1170.5;1160.6;1205.7;1218.0
"Ha Tinh";315.1;322.1;364.4;309.8;385.9;401.6;420.2;452.1;473.6;513.8;486.9;495.8;388.1;490.9;486.8;442.2;495.7;500.9;505.9;536.3;553.7
"Quang Binh";128.6;159.6;159.7;128.4;177.6;201.6;202.6;217.5;218.8;241.8;236.5;251.0;235.1;261.4;264.8;254.0;281.4;284.0;274.0;299.1;299.0
"Quang Tri";122.6;143.0;153.7;122.6;178.8;194.4;187.7;207.2;206.4;219.5;205.8;219.7;220.1;226.2;220.6;221.3;232.6;250.5;233.6;269.9;251.1
"Thua Thien-Hue";167.7;188.4;198.4;189.3;217.2;199.2;208.3;214.8;239.7;250.8;240.1;259.9;266.1;280.1;288.3;291.2;305.3;305.9;291.3;323.3;325.6
"Da Nang";54.1;58.8;57.7;51.9;54.2;52.8;54.6;53.8;54.6;52.4;46.0;51.0;49.8;47.3;46.9;45.8;38.8;38.8;34.3;35.9;33.4
"Quang  Nam";319.5;345.8;346.7;346.3;359.5;356.4;366.0;378.4;422.6;426.9;410.7;433.4;446.3;434.7;444.5;468.4;473.6;505.9;495.8;526.6;518.6
"Quang  Ngai";260.4;313.5;303.5;319.1;348.6;336.6;335.6;362.2;401.3;404.8;413.7;427.1;434.2;408.0;420.2;443.0;433.0;462.1;468.5;480.2;483.8
"Binh Dinh";405.4;443.5;453.7;441.7;509.0;532.5;559.8;538.0;584.5;598.9;560.9;644.5;617.9;660.8;642.8;673.6;693.0;697.8;654.0;696.1;711.9
"Phu Yen";258.1;276.0;284.8;271.0;291.8;280.4;284.1;298.7;327.1;335.2;328.3;330.4;337.4;312.1;342.1;364.0;365.2;368.7;386.5;387.0;399.2
"Khanh  Hoa";148.8;166.3;176.9;173.7;181.8;194.5;199.2;181.9;214.2;209.5;148.0;213.9;205.2;225.6;240.1;243.1;254.5;260.6;272.6;276.2;211.7
"Ninh  Thuan";131.9;131.7;150.6;141.7;171.9;166.1;156.6;158.4;165.7;185.5;117.1;211.0;215.0;248.4;265.7;234.8;280.1;290.0;307.0;326.5;279.5
"Binh Thuan";226.7;250.8;279.8;302.0;307.2;356.1;385.6;393.0;420.3;434.7;426.6;462.2;539.8;570.2;612.8;645.1;706.5;736.9;758.2;796.4;781.8
"Central Highlands";542.4;597.1;697.5;653.4;739.8;907.1;1009.7;1113.8;1532.8;1531.2;1680.4;1894.7;1923.2;2015.3;2116.8;2226.3;2278.2;2378.9;2454.2;2571.9;2507.3
"Kon Tum";45.7;47.5;52.7;50.4;53.1;64.9;76.2;84.1;91.2;98.7;98.1;101.1;105.1;105.6;105.8;106.1;103.2;110.1;110.4;110.6;115.0
"Gia Lai";130.5;158.0;168.2;160.2;191.9;239.8;281.7;301.5;381.8;377.5;424.4;477.6;483.5;487.0;496.6;528.8;501.0;540.9;542.9;566.7;552.4
"Dak Lak";242.5;268.3;314.7;285.0;339.4;451.3;492.6;586.4;861.2;729.4;746.4;916.5;881.6;947.4;988.0;1068.8;1116.6;1110.1;1174.6;1249.2;1208.4
"Dak Nong";..;..;..;..;..;..;..;..;..;121.1;195.6;212.5;226.5;257.1;297.9;309.6;320.8;366.5;386.0;408.3;399.5
"Lam Dong";123.7;123.3;161.9;157.8;155.4;151.1;159.2;141.8;198.6;204.5;215.9;187.0;226.5;218.2;228.5;213.0;236.6;251.3;240.3;237.1;232.0
"South East";1156.3;1285.9;1332.0;1304.6;1438.0;1559.3;1551.7;1579.3;1672.2;1662.1;1646.7;1588.1;1688.8;1763.8;1793.6;1737.6;1787.8;1843.9;1808.7;1827.3;1862.6
"Binh Phuoc";40.9;43.2;57.2;45.0;50.0;45.2;51.5;54.8;62.3;61.0;64.0;56.6;61.5;59.8;68.8;67.0;59.6;66.0;64.3;61.0;61.9
"Tay Ninh";309.0;398.4;415.6;413.6;523.2;555.4;567.1;605.3;660.5;671.4;622.2;629.4;674.3;736.2;753.6;768.8;788.5;804.4;769.3;768.6;788.6
"Binh  Duong";74.6;68.8;70.7;69.5;72.8;68.7;68.6;69.2;69.7;68.3;59.4;47.5;44.7;41.0;39.0;40.0;39.5;38.8;37.8;34.8;32.0
"Dong Nai";400.5;455.6;442.3;421.0;437.0;503.2;502.3;530.4;572.1;552.9;619.5;593.8;633.5;647.6;651.8;604.9;641.6;670.8;672.7;691.6;701.6
"Ba Ria - Vung Tau";92.8;113.9;108.4;126.6;126.3;148.1;149.4;139.0;140.9;146.3;144.7;152.5;158.2;165.8;176.3;162.1;170.5;168.3;170.8;178.2;187.4
"Ho Chi Minh city";238.5;206.0;237.8;228.9;228.7;238.7;212.8;180.6;166.7;162.2;136.9;108.3;116.6;113.4;104.1;94.8;88.1;95.6;93.8;93.1;91.1
"Mekong River Delta";12917.3;13911.6;13913.7;15373.8;16346.0;16754.7;16093.0;17821.6;17678.0;18739.5;19488.2;18418.0;18882.6;20898.7;20717.4;21796.0;23486.8;24534.6;25248.8;25475.0;25924.9
"Long An";1016.2;1181.8;1243.1;1401.2;1523.8;1574.6;1635.1;1743.8;1783.6;1912.7;1948.7;1791.7;1977.2;2205.7;2178.1;2333.3;2576.6;2687.3;2838.5;2889.8;2953.1
"Tien Giang";1194.8;1231.7;1325.1;1326.1;1307.7;1307.5;1293.2;1293.6;1276.6;1325.0;1314.0;1219.1;1320.1;1336.5;1323.6;1336.3;1349.4;1385.4;1363.6;1384.8;1360.2
"Ben Tre";322.4;355.8;321.6;340.9;328.9;359.5;382.8;395.5;383.6;370.9;344.3;334.4;307.1;363.2;365.8;370.3;366.1;378.4;334.2;321.6;281.4
"Tra Vinh";648.8;679.7;720.1;749.8;844.3;952.4;911.9;1018.5;1067.0;1055.1;1052.1;1033.7;953.6;1115.4;1102.8;1183.0;1184.3;1284.2;1303.2;1356.6;1383.8
"Vinh Long";862.6;886.3;874.8;970.7;967.3;942.2;912.5;965.3;938.2;965.1;974.5;934.0;812.8;898.3;913.9;931.7;1035.5;1082.9;1066.3;1089.8;1097.5
"Dong Thap";1624.4;1733.5;1757.2;1939.0;2088.3;1889.0;1975.9;2196.7;2239.0;2450.3;2642.3;2441.0;2576.8;2759.0;2681.5;2832.0;3131.8;3085.2;3366.0;3336.4;3429.5
"An Giang";1951.9;2030.0;2006.8;2062.7;2112.9;2188.2;2154.9;2639.2;2748.8;3079.2;3218.4;2999.2;3223.0;3599.4;3486.6;3721.5;3933.6;4017.4;4103.3;4100.4;4142.6
"Kien  Giang";1462.4;1697.6;1692.2;1900.4;2026.2;2284.3;2188.0;2578.4;2490.0;2740.0;2944.3;2744.4;2977.3;3387.3;3397.9;3497.3;3921.4;4287.4;4472.5;4532.9;4663.9
"Can Tho";1714.1;1806.7;1718.3;1898.6;1982.7;1886.4;1957.7;2222.4;2152.0;1198.0;1237.7;1156.8;1136.0;1203.5;1143.2;1201.7;1295.2;1325.3;1376.5;1373.2;1410.8
"Hau Giang";..;..;..;..;..;..;..;..;..;1086.8;1117.0;1068.8;872.8;1029.1;1003.5;1098.5;1136.5;1190.2;1201.7;1217.9;1297.0
"Soc Trang";1092.9;1156.2;1186.5;1388.4;1513.9;1624.7;1534.1;1650.5;1615.8;1535.0;1643.7;1611.6;1612.1;1752.9;1795.3;1980.9;2104.4;2265.9;2235.9;2280.0;2311.1
"Bac Lieu";494.7;555.1;518.0;677.9;805.4;894.3;727.6;695.3;629.0;616.7;663.6;679.3;694.1;765.1;821.0;810.2;909.6;987.3;1018.8;1037.8;1057.5
"Ca Mau";532.1;597.2;550.0;718.1;844.6;851.6;419.3;422.4;354.4;404.7;387.6;404.0;419.7;483.3;504.2;499.3;542.4;557.7;568.3;553.8;536.5
