"Production of paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Cao Bang";92.4;84.1;91.8;91.3;98.4;88.0;99.8;98.6;104.6;104.0;110.3;117.3;119.8;124.6;118.9;125.8;117.2;123.1;125.6;126.9;129.4
"Bac Kan";50.5;53.9;60.1;60.9;64.1;66.3;75.5;78.6;81.2;82.1;87.6;88.1;92.9;93.8;96.2;93.7;97.9;104.4;107.3;112.1;119.0
"Tuyen Quang";133.7;149.0;155.4;169.4;177.1;184.5;229.7;220.5;244.3;247.3;248.9;251.2;252.4;256.6;261.3;261.8;265.9;266.7;266.6;265.4;266.1
"Lao Cai";82.5;87.7;87.3;94.4;103.9;113.0;122.1;125.1;136.9;111.0;117.5;117.7;124.0;118.4;128.3;126.4;141.7;144.3;146.9;148.4;150.0
"Yen Bai";120.7;129.6;127.8;127.8;143.7;150.5;155.6;160.2;167.9;171.9;169.5;178.7;178.2;170.2;186.2;186.1;194.8;197.7;198.5;202.4;207.5
"Thai  Nguyen";179.4;205.6;220.4;225.4;248.1;265.5;286.7;310.9;313.5;314.4;322.2;326.5;324.4;332.6;339.3;339.8;368.3;367.4;363.0;365.9;378.1
"Lang Son";128.5;132.8;154.0;152.6;149.3;144.7;179.1;178.1;190.7;191.7;198.9;188.4;199.2;191.8;194.1;198.3;169.9;202.8;208.1;212.9;210.5
"Bac Giang";287.7;335.6;369.1;376.2;416.3;472.8;475.5;520.4;525.9;552.2;556.7;545.4;539.5;518.4;571.6;597.8;627.8;629.1;588.6;626.6;621.5
"Phu Tho";183.6;185.3;204.5;216.1;240.6;282.3;309.2;345.6;350.1;350.1;355.4;342.5;324.2;331.8;362.8;352.3;376.4;375.5;379.6;376.0;370.3
"Dien Bien";..;..;..;..;..;..;..;..;..;122.8;127.5;133.3;131.5;138.4;146.6;155.1;154.8;157.9;161.6;170.6;174.7
"Lai Chau";100.8;98.3;106.1;107.0;122.6;131.6;139.6;141.6;154.7;83.6;92.8;99.1;99.9;104.7;111.9;116.7;118.6;119.4;126.2;127.7;132.6
"Son La";99.4;101.0;110.0;100.6;99.4;108.1;112.1;119.2;128.6;134.1;128.3;139.2;148.8;148.5;152.8;147.1;155.8;162.9;181.3;183.3;174.4
"Hoa Binh";128.7;116.6;129.5;124.7;150.2;163.9;189.0;196.7;204.8;208.3;194.2;218.5;195.4;206.8;198.3;192.7;208.2;217.0;205.4;215.0;196.4
"Northern Central area and Central coastal area";3890.2;3957.6;4467.9;4286.5;4777.7;4972.8;5144.5;5335.6;5572.1;5773.0;5342.5;5951.1;5764.3;6114.9;6243.2;6152.0;6535.1;6727.2;6599.7;7034.0;6860.5
"Thanh Hoa";848.4;708.1;981.6;972.7;1061.3;1095.8;1190.4;1252.5;1272.5;1325.9;1237.5;1398.6;1340.1;1404.3;1452.7;1396.6;1427.4;1482.5;1431.5;1516.5;1475.3
"Nghe An";572.4;529.3;656.6;608.1;634.3;753.6;781.1;836.5;840.1;880.6;822.1;911.3;846.8;934.3;898.8;828.6;959.9;969.8;930.1;1012.5;982.5
"Ha Tinh";308.5;316.1;358.7;305.6;377.8;395.7;414.1;446.1;462.6;485.2;454.2;476.8;363.7;466.5;467.8;414.4;470.9;482.3;479.0;511.4;521.7
"Quang Binh";123.9;154.1;151.2;121.6;169.9;191.1;191.7;206.1;207.3;225.2;221.5;231.8;215.8;240.1;243.4;234.7;260.2;262.4;251.9;277.4;275.4
"Quang Tri";121.0;141.0;150.8;120.7;175.3;191.3;184.8;203.9;202.8;214.3;200.0;213.5;213.5;218.3;213.0;213.0;224.7;240.6;224.1;258.7;239.4
"Thua Thien-Hue";166.6;186.9;196.6;187.6;216.0;196.5;204.8;210.9;235.8;246.6;235.0;252.6;259.6;274.8;282.6;285.2;299.1;299.0;284.9;317.1;319.3
"Da Nang";53.8;58.5;57.3;51.6;53.9;52.2;52.2;49.2;49.8;47.8;41.8;46.3;45.2;42.6;42.0;41.1;34.4;35.3;31.3;33.9;31.3
"Quang  Nam";308.4;335.4;331.6;332.0;344.7;329.9;330.4;343.8;381.1;384.0;366.9;385.1;395.1;380.6;394.4;412.7;417.9;447.3;440.3;466.9;461.2
"Quang  Ngai";251.9;301.1;289.1;305.9;334.9;311.7;305.5;329.5;365.4;362.5;367.1;376.9;381.3;354.4;370.0;391.2;380.4;406.8;412.3;422.5;427.5
"Binh Dinh";402.3;439.2;447.5;437.7;504.7;523.0;546.5;517.1;557.9;570.3;527.3;607.8;579.1;619.0;604.3;633.2;649.3;651.8;606.8;649.7;662.1
"Phu Yen";256.6;273.4;281.9;268.7;289.2;277.6;280.6;294.5;318.2;324.3;315.5;314.2;322.0;294.6;326.8;346.8;344.2;346.0;363.8;365.0;377.2
"Khanh  Hoa";142.0;159.2;172.5;168.6;176.3;187.2;191.9;176.9;205.8;201.9;140.3;204.1;193.8;215.2;228.2;231.0;241.2;246.5;258.0;261.3;199.0
"Ninh  Thuan";125.2;123.9;137.7;131.0;160.3;145.7;135.2;138.3;137.9;157.6;79.9;171.1;173.2;200.3;213.6;188.0;223.2;236.8;247.1;267.7;229.5
"Binh Thuan";209.2;231.4;254.8;274.7;279.1;321.5;335.3;330.3;334.9;346.8;333.4;361.0;435.1;469.9;505.6;535.5;602.3;620.1;638.6;673.4;659.1
"Central Highlands";429.5;427.3;485.6;436.6;512.4;586.8;646.2;606.6;748.1;781.4;717.3;880.4;866.3;935.2;999.1;1042.1;1067.7;1138.8;1151.2;1245.0;1213.3
"Kon Tum";40.9;41.2;44.9;42.3;44.8;51.8;56.6;59.5;61.9;67.4;65.8;70.9;74.7;77.4;77.4;77.7;77.0;83.8;83.7;85.6;91.1
"Gia Lai";115.9;121.1;129.2;126.9;148.5;175.1;200.2;196.8;226.8;222.0;233.7;281.2;279.2;292.8;288.2;310.1;293.3;332.6;330.5;350.1;333.1
"Dak Lak";191.9;197.3;215.1;172.5;220.4;257.8;272.8;248.5;330.2;307.1;236.3;372.5;323.5;369.3;421.6;450.7;474.3;490.6;514.1;577.8;558.0
"Dak Nong";..;..;..;..;..;..;..;..;..;46.3;51.8;52.1;49.7;52.1;61.2;61.8;64.9;68.6;66.6;73.5;73.0
"Lam Dong";80.8;67.7;96.4;94.9;98.7;102.1;116.6;101.8;129.2;138.6;129.7;103.7;139.2;143.6;150.7;141.8;158.2;163.2;156.3;158.0;158.1
"South East";935.4;964.3;1024.9;1025.7;1142.1;1212.0;1210.2;1211.1;1269.9;1277.7;1211.6;1159.5;1240.6;1316.1;1334.3;1322.7;1361.2;1398.6;1346.1;1349.1;1373.2
"Binh Phuoc";38.2;34.7;40.3;31.2;34.1;29.6;33.2;35.2;38.8;39.8;39.5;34.8;41.2;41.5;45.5;46.0;42.9;47.2;44.9;42.6;42.7
"Tay Ninh";307.9;370.2;391.6;394.4;507.3;530.3;538.2;576.4;626.4;642.0;585.5;594.4;640.6;705.3;717.8;738.8;762.4;778.1;742.3;740.9;761.0
"Binh  Duong";74.1;67.4;68.9;67.6;70.7;66.6;66.5;66.9;67.5;66.1;57.4;45.9;43.4;39.8;37.8;38.8;38.5;37.9;37.0;34.1;31.3
"Dong Nai";217.9;223.4;232.3;236.1;234.5;270.3;280.4;284.3;302.2;296.6;325.2;305.8;324.6;333.1;337.9;322.9;336.2;342.7;332.5;337.3;334.7
"Ba Ria - Vung Tau";60.1;63.9;56.6;70.2;69.9;79.9;82.7;71.5;72.7;74.1;70.4;74.4;77.9;85.5;95.3;84.5;95.4;99.7;99.1;105.6;115.9
"Ho Chi Minh city";237.2;204.7;235.2;226.2;225.6;235.3;209.2;176.8;162.3;159.1;133.6;104.2;112.9;110.9;100.0;91.7;85.8;93.0;90.3;88.6;87.6
"Mekong River Delta";12831.7;13818.8;13850.0;15318.6;16294.7;16702.7;15997.5;17709.6;17528.0;18567.2;19298.5;18229.2;18678.9;20669.5;20523.2;21595.6;23269.5;24320.8;25021.1;25245.6;25699.7
"Long An";1015.8;1181.2;1240.6;1400.5;1522.8;1573.3;1626.2;1738.6;1772.8;1902.7;1934.2;1769.4;1950.6;2178.1;2158.6;2304.8;2550.7;2663.5;2816.1;2860.6;2924.1
"Tien Giang";1191.6;1227.1;1319.7;1319.9;1301.7;1301.1;1287.6;1285.3;1268.0;1315.3;1303.2;1214.3;1306.7;1321.0;1308.0;1320.6;1332.8;1370.0;1348.7;1370.3;1344.4
"Ben Tre";319.3;352.7;319.2;338.4;327.0;357.3;379.7;392.1;381.0;368.1;341.4;332.5;304.8;361.1;362.7;366.8;362.2;375.0;331.6;318.9;278.8
"Tra Vinh";647.4;678.7;714.0;744.0;839.2;944.7;902.3;1005.9;1045.6;1033.9;1028.8;1009.8;929.8;1086.7;1076.8;1156.0;1155.3;1258.0;1274.8;1326.9;1353.9
"Vinh Long";861.6;885.2;873.8;969.5;966.0;941.0;911.2;963.3;936.4;963.6;973.0;932.3;810.8;896.1;911.4;928.9;1032.3;1079.6;1063.7;1087.2;1094.7
"Dong Thap";1616.5;1720.0;1748.9;1930.0;2076.2;1878.5;1963.6;2178.7;2214.9;2420.9;2606.5;2404.9;2544.4;2720.2;2650.4;2807.0;3100.2;3051.8;3327.0;3300.0;3394.2
"An Giang";1892.5;1971.5;1980.5;2044.6;2100.0;2177.7;2113.4;2593.7;2686.3;3006.9;3141.6;2923.2;3142.9;3513.8;3421.5;3653.1;3856.8;3941.6;4021.4;4022.9;4078.0
"Kien  Giang";1462.4;1697.5;1692.2;1900.4;2026.2;2284.3;2188.0;2578.4;2489.6;2739.8;2944.3;2744.3;2977.3;3387.2;3397.7;3497.1;3921.1;4287.1;4471.8;4532.2;4662.6
"Can Tho";1710.7;1803.1;1713.0;1894.7;1979.6;1882.8;1954.4;2216.2;2142.4;1194.7;1233.7;1153.0;1131.6;1198.5;1138.1;1196.7;1289.7;1319.8;1370.3;1367.7;1405.3
"Hau Giang";..;..;..;..;..;..;..;..;..;1076.7;1109.2;1062.8;865.1;1020.1;993.8;1090.2;1128.5;1179.9;1191.3;1204.6;1277.5
"Soc Trang";1088.1;1150.4;1181.2;1381.5;1507.5;1618.0;1525.7;1642.8;1610.2;1526.1;1634.2;1602.2;1602.5;1739.5;1780.4;1966.6;2090.6;2251.8;2220.0;2265.3;2294.7
"Bac Lieu";494.3;554.8;517.5;677.4;804.6;893.5;727.0;694.1;627.9;614.4;661.5;677.2;693.2;764.4;820.3;809.5;908.9;986.7;1017.9;1037.0;1056.8
"Ca Mau";531.5;596.6;549.4;717.7;843.9;850.5;418.4;420.5;352.9;404.1;386.9;403.3;419.2;482.8;503.5;498.3;540.4;556.0;566.5;552.0;534.7
