"Area of water surface for the aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1988";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Dong Nai";26.9;25.9;26.0;26.1;27.9;30.5;29.6;30.2;31.1;31.5;31.4;30.5;32.3;32.5;33.3;33.2;33.1;11.1;10.2;8.4;8.8
"Ba Ria - Vung Tau";3.1;3.4;3.2;2.5;2.7;4.2;5.0;6.2;6.5;7.5;7.4;7.8;7.8;7.5;6.6;6.7;6.8;7.0;7.1;7.0;6.9
"Ho Chi Minh city";3.4;3.1;3.5;3.1;4.2;4.2;5.4;5.9;7.7;8.6;9.7;10.7;9.9;9.3;8.5;8.2;8.9;7.5;6.8;6.7;8.0
"Mekong River Delta";289.4;316.5;327.1;341.8;332.9;445.3;546.8;570.4;621.3;658.5;680.2;691.2;723.8;752.2;738.8;742.7;729.3;734.1;753.4;758.5;757.0
"Long An";1.8;2.5;2.5;3.1;2.9;3.4;6.6;7.3;10.2;12.4;13.2;11.6;12.6;10.0;9.0;9.4;10.8;8.9;9.0;8.7;8.7
"Tien Giang";9.6;9.2;9.1;9.1;9.8;8.4;8.8;9.6;10.8;11.9;12.1;12.4;12.9;12.6;12.6;13.1;14.1;14.4;15.4;15.7;12.6
"Ben Tre";24.7;24.7;21.1;23.4;27.9;29.3;25.6;36.0;37.7;41.1;42.3;41.0;41.9;42.1;42.0;42.5;43.1;47.7;44.8;47.1;42.4
"Tra Vinh";22.6;25.0;30.0;35.0;36.0;52.6;54.3;25.2;30.2;32.5;38.7;41.3;42.5;36.4;34.0;32.8;29.1;40.4;36.9;30.8;29.5
"Vinh Long";1.2;1.1;1.1;1.2;1.2;1.4;1.3;1.4;1.5;1.6;1.8;2.3;2.3;2.4;2.5;2.4;2.5;2.4;2.6;2.4;2.4
"Dong Thap";3.2;1.2;1.4;1.7;1.8;1.9;2.3;2.6;2.6;3.2;3.6;4.5;5.0;5.8;5.0;4.8;5.5;5.7;5.9;6.0;5.8
"An Giang";1.0;1.3;0.9;0.9;1.2;1.3;1.3;1.8;1.6;1.9;1.8;1.9;3.0;2.8;2.5;2.4;1.8;1.8;2.5;2.4;2.5
"Kien  Giang";12.5;19.3;25.1;27.2;29.3;34.6;42.6;49.7;62.1;79.2;82.2;95.5;106.2;134.6;121.7;123.1;114.6;115.5;126.9;132.9;136.2
"Can Tho";8.3;10.5;11.0;12.5;11.9;12.6;13.6;16.5;10.0;11.0;12.5;13.6;14.0;12.9;13.1;12.8;12.6;11.7;11.0;11.4;10.9
"Hau Giang";..;..;..;..;..;..;..;..;7.5;8.3;8.9;7.4;8.4;6.1;6.2;6.4;6.4;6.6;6.5;7.1;6.8
"Soc Trang";3.0;24.1;28.5;25.8;30.5;41.4;53.2;48.3;57.1;59.0;64.9;64.3;62.0;67.7;69.2;71.5;67.1;64.8;68.2;68.4;68.8
"Bac Lieu";41.4;42.6;42.2;40.3;38.9;54.0;83.0;100.6;112.3;118.8;118.7;120.2;122.2;125.6;126.3;125.4;125.2;117.8;127.9;127.5;130.6
"Ca Mau";160.1;155.1;154.0;161.6;141.5;204.4;254.2;271.4;277.7;277.7;279.2;275.2;290.8;293.2;294.7;296.1;296.5;296.5;295.8;298.1;299.8
