"Production of fishery caught by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
"Gia Lai";8;105;103;112;118;122;130;133;172;191;254;311;355;423;508;572;784;890;1034;1268;1441
"Dak Lak";1802;1693;1747;1656;1945;2003;1367;1801;1502;1669;1589;1587;1543;1544;1565;1563;1557;1464;1536;1576;1568
"Dak Nong";..;..;..;..;..;..;..;..;201;344;569;415;597;396;479;427;413;520;491;530;641
"Lam Dong";2638;643;483;418;537;636;528;531;532;432;437;487;505;585;488;431;415;548;621;629;624
"South East";129928;135066;126330;129955;141883;157830;169393;185912;197938;220668;232628;239906;245010;253665;271094;278766;277472;304091;282301;298934;316907
"Binh Phuoc";958;755;457;316;349;417;411;341;329;317;355;397;488;559;583;412;327;377;399;402;393
"Tay Ninh";614;2125;1900;1810;2070;2544;2645;2713;2744;2734;3230;3361;3455;2991;2991;3060;3131;3207;3238;3421;3482
"Binh  Duong";139;152;195;198;202;211;219;230;242;408;467;516;534;344;295;280;264;265;268;274;274
"Dong Nai";5890;4500;4858;5373;4158;3359;3253;3298;3240;3348;3122;3243;3111;2661;2847;3482;4367;5443;5939;6455;6684
"Ba Ria - Vung Tau";96207;104428;96673;102033;111089;128681;137253;160127;165707;190540;203981;211043;220322;232706;246941;250335;247618;272987;250725;269577;284385
"Ho Chi Minh city";26120;23106;22247;20225;24015;22618;25612;19203;25676;23321;21473;21346;17100;14404;17437;21197;21765;21811;21733;18805;21690
"Mekong River Delta";552240;603699;624245;651596;728902;803919;829313;835677;833990;848759;843017;854968;858964;863289;925543;1012558;1040759;1129101;1180792;1201482;1230195
"Long An";14595;13393;14060;14000;12648;11612;12843;14387;11011;10777;8823;10198;10031;11331;10678;11063;13068;13627;13204;14037;12362
"Tien Giang";44389;45917;44643;53400;62339;69161;68405;70139;71115;71235;74946;75155;75637;75789;79269;80722;85360;84826;92250;93032;97777
"Ben Tre";52195;48552;49980;56549;60395;66025;66545;63644;62950;71751;74039;75699;76226;81389;86966;120914;132073;156864;162975;160006;175750
"Tra Vinh";43535;43340;39680;42700;46864;65072;65468;65357;63896;68255;65477;58008;58385;60821;58200;73963;76136;75020;74383;79960;75444
"Vinh Long";9632;9895;10118;10040;9795;10138;10555;9290;8901;8389;8161;8048;7937;7853;7768;7676;7659;7481;6761;6722;6488
"Dong Thap";16194;28292;26705;20506;21367;23871;24417;28542;21901;15906;18486;21756;16031;16428;16310;15205;15256;14316;15322;16636;16607
"An Giang";68047;72004;74300;64168;72023;91268;96570;79263;67473;58062;51330;53403;51851;40650;40131;37209;40183;38486;33700;34689;21513
"Kien  Giang";170000;190765;196535;209948;218500;239218;256199;271255;286000;295500;305565;311618;315157;318255;352147;342257;356952;418929;454150;455505;463470
"Can Tho";11077;10813;11837;9883;11316;11791;12837;11831;7107;6670;6454;6310;6223;6121;6053;5936;6393;6158;6029;6141;6086
"Hau Giang";..;..;..;..;..;..;..;..;4255;4317;4294;3966;3670;3204;3143;3049;2976;2952;2909;2651;2809
"Soc Trang";26146;29775;31434;34009;36600;34067;33200;32698;32570;31395;29235;31870;31370;31316;37128;43450;53250;56084;56584;58383;62700
"Bac Lieu";24792;30298;39832;46238;52368;56999;55220;67958;65798;68493;62034;61250;68776;75421;82000;102263;98500;99578;100449;100352;106916
"Ca Mau";71638;80655;85121;90155;124687;124697;127054;121313;131013;138009;134173;137687;137670;134713;145750;168851;152953;154780;162075;173368;182273
