"Planted area of spring paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Ninh Binh";40.9;41.3;41.6;41.9;42.0;42.4;42.7;42.4;42.2;42.0;41.5;41.3;41.0;41.1;41.5;41.6;41.6;41.9;41.9;41.8;41.7
"Northern midlands and mountain areas";193.0;190.7;201.7;202.9;196.3;213.8;223.0;227.7;234.0;233.3;236.1;237.7;236.2;231.2;240.1;236.5;240.6;245.6;248.0;250.1;251.5
"Ha Giang";5.8;6.0;6.4;6.6;6.7;7.5;8.0;8.8;9.1;9.4;9.6;9.6;9.7;9.5;9.9;9.3;10.0;9.9;9.7;9.5;9.6
"Cao Bang";3.3;2.6;2.8;2.8;3.2;3.4;3.4;3.1;3.4;3.5;3.6;3.5;3.7;3.7;3.8;3.0;3.3;3.2;3.4;3.3;3.3
"Bac Kan";3.6;3.5;4.0;4.3;4.8;5.3;5.9;6.4;6.5;6.7;7.0;7.0;7.1;7.1;7.5;7.4;7.6;7.7;7.9;8.7;9.1
"Tuyen Quang";13.9;14.4;15.6;16.5;16.6;17.9;19.1;19.2;20.2;19.7;19.5;19.8;19.5;19.5;19.8;19.7;19.7;20.1;20.3;20.1;20.2
"Lao Cai";6.7;7.0;7.3;7.6;8.1;8.7;9.3;9.7;10.0;8.2;8.4;8.4;8.7;8.8;9.0;9.1;9.5;9.8;9.8;9.9;10.0
"Yen Bai";14.2;14.4;14.5;14.8;14.9;15.2;15.5;16.1;16.4;16.6;17.0;17.0;17.1;16.9;17.3;17.4;17.9;18.2;18.7;19.0;19.4
"Thai  Nguyen";21.6;21.4;23.4;23.5;22.1;25.9;26.8;27.9;28.4;28.0;28.3;28.6;28.5;27.4;28.7;28.3;29.6;30.2;30.1;30.4;30.5
"Lang Son";10.8;10.5;12.0;12.1;11.6;13.0;14.5;13.3;14.4;15.1;15.5;14.6;15.3;15.1;15.8;15.4;15.5;16.1;16.1;16.1;15.4
"Bac Giang";49.4;49.2;50.7;50.8;49.4;50.7;52.1;52.6;52.7;52.3;52.0;52.8;51.7;50.1;52.2;52.9;53.2;53.2;53.2;53.8;53.6
"Phu Tho";35.9;34.4;36.5;36.5;32.3;36.3;36.9;37.9;38.3;37.1;37.9;37.9;37.0;35.1;36.9;35.5;35.8;36.7;36.7;37.0;37.2
"Dien Bien";..;..;..;..;..;..;..;..;..;7.1;7.3;7.5;7.5;7.6;7.9;7.9;7.9;8.2;8.3;8.5;8.8
"Lai Chau";5.5;5.7;5.7;5.7;6.1;6.7;7.4;8.0;8.6;4.4;4.7;5.0;5.0;5.2;5.4;5.4;5.5;5.7;6.1;6.2;6.4
"Son La";5.9;6.0;6.2;6.2;6.0;6.7;7.3;7.7;8.4;8.7;9.0;8.9;9.1;9.2;9.5;9.5;9.4;10.1;11.1;11.4;11.6
"Hoa Binh";16.4;15.6;16.6;15.5;14.5;16.5;16.8;17.0;17.6;16.5;16.3;17.1;16.3;16.0;16.4;15.7;15.7;16.5;16.6;16.2;16.4
"Northern Central area and Central coastal area";498.5;501.5;512.0;513.8;512.0;529.5;537.7;536.5;538.2;535.1;515.8;539.1;534.7;544.2;551.1;561.6;567.4;572.0;575.1;586.2;585.7
"Thanh Hoa";113.4;114.2;116.9;117.6;114.9;118.9;120.0;119.6;120.2;118.6;118.3;119.0;118.7;117.9;121.3;121.3;122.1;122.6;122.5;124.0;124.6
"Nghe An";79.1;78.6;80.1;80.7;72.7;82.1;84.4;85.0;85.2;83.7;83.5;84.3;84.1;84.5;86.3;87.5;88.4;88.7;88.7;90.2;91.7
"Ha Tinh";55.2;55.4;56.0;55.2;55.0;55.2;55.7;55.9;55.4;54.8;54.5;54.6;54.5;53.3;53.8;53.6;54.0;54.8;55.4;56.6;57.9
"Quang Binh";25.2;25.5;25.5;25.8;25.9;25.9;26.4;26.4;26.7;26.8;27.0;26.9;27.1;27.2;27.2;28.3;28.6;28.9;29.0;29.6;30.1
"Quang Tri";20.4;20.4;21.0;21.2;21.5;22.0;22.5;22.8;23.0;23.0;23.2;23.1;23.1;23.2;23.8;23.8;24.3;24.7;25.4;25.6;25.6
"Thua Thien-Hue";26.0;26.2;26.3;26.2;26.4;26.5;26.6;26.6;26.7;26.3;25.9;25.7;25.7;25.8;26.9;27.5;27.4;27.4;27.6;27.7;27.9
"Da Nang";5.8;5.8;5.7;5.5;5.5;5.5;5.4;5.3;5.0;4.7;4.4;4.3;4.2;4.1;4.0;4.0;3.5;3.2;2.9;3.0;2.9
"Quang  Nam";42.3;42.0;41.5;41.5;41.4;41.2;42.1;42.5;42.7;42.1;41.3;40.8;40.4;40.8;41.9;42.3;42.9;43.3;43.1;43.6;43.5
"Quang  Ngai";34.3;34.1;34.6;34.3;34.2;33.9;35.5;35.5;36.4;36.6;36.7;36.8;36.7;36.3;36.6;37.0;37.0;37.6;38.9;38.6;39.3
"Binh Dinh";45.0;45.9;45.8;45.8;46.1;46.5;47.3;47.3;47.2;47.0;46.8;47.2;46.9;47.3;47.5;47.7;47.8;47.7;45.7;47.8;48.1
"Phu Yen";23.1;23.7;23.9;24.3;24.5;24.5;25.3;25.1;25.2;25.4;25.3;25.3;25.5;25.6;25.7;26.1;26.4;26.3;26.9;26.9;26.9
"Khanh  Hoa";13.8;13.9;15.6;15.5;16.0;16.5;16.5;17.5;17.1;17.4;13.7;17.8;17.1;19.1;19.1;19.5;19.5;19.9;20.4;20.7;20.0
"Ninh  Thuan";9.6;8.1;10.2;9.3;11.5;11.4;11.4;11.1;11.4;11.4;4.6;12.2;10.2;12.0;13.2;13.1;14.3;14.3;15.0;16.0;12.8
"Binh Thuan";5.3;7.7;8.9;10.9;16.4;19.4;18.6;15.9;16.0;17.3;10.6;21.1;20.5;27.1;23.8;29.9;31.2;32.6;33.6;35.9;34.4
"Central Highlands";30.1;30.9;35.1;36.6;40.8;44.8;50.4;55.1;58.2;61.1;54.5;65.0;65.0;69.1;72.7;75.2;77.9;80.7;80.1;85.6;84.8
"Kon Tum";3.1;3.4;3.3;3.6;3.6;4.0;4.8;5.1;5.4;5.9;6.2;6.4;6.5;6.8;7.0;6.5;6.6;6.9;7.1;7.2;7.6
"Gia Lai";7.4;8.2;10.0;11.1;13.0;14.2;15.3;17.0;18.5;19.5;19.5;20.9;21.5;22.3;23.1;24.0;24.4;25.4;25.7;26.3;26.3
"Dak Lak";14.6;13.9;15.4;15.2;16.8;18.8;21.6;23.6;24.9;22.7;17.0;25.1;24.3;26.7;28.2;29.8;31.2;33.0;32.4;36.9;35.7
"Dak Nong";..;..;..;..;..;..;..;..;..;3.5;3.2;3.5;3.6;3.9;4.2;4.1;4.5;4.5;4.4;4.6;4.7
"Lam Dong";5.0;5.4;6.4;6.7;7.4;7.8;8.7;9.4;9.4;9.5;8.6;9.1;9.1;9.4;10.2;10.8;11.2;10.9;10.5;10.6;10.5
"South East";58.6;63.6;68.8;70.1;82.8;86.5;90.4;86.6;84.6;84.7;72.8;76.5;74.5;75.8;76.9;79.3;77.3;80.6;76.7;74.0;75.5
"Binh Phuoc";1.3;1.4;1.3;1.8;1.6;2.0;2.7;2.7;3.1;3.3;2.9;2.9;2.9;2.9;3.1;2.9;2.7;3.6;3.3;3.3;3.2
"Tay Ninh";24.2;27.4;32.7;33.0;43.8;44.7;47.0;45.1;44.5;43.4;37.3;39.5;40.0;41.9;43.6;45.9;45.8;47.6;44.6;42.6;44.4
"Binh  Duong";5.6;6.3;5.8;5.8;6.3;6.1;6.2;6.2;6.1;5.7;5.1;4.2;3.4;3.0;2.6;2.7;3.0;2.9;2.8;2.6;2.4
"Dong Nai";12.9;13.2;13.5;13.5;13.9;15.3;16.2;16.0;16.2;16.7;15.7;16.0;15.9;16.0;15.9;15.8;15.0;14.7;14.5;14.5;14.5
"Ba Ria - Vung Tau";3.7;4.0;3.7;4.4;4.5;4.8;4.7;4.7;3.3;4.5;2.4;4.5;4.6;5.0;5.2;5.4;5.4;5.4;5.4;5.4;6.1
"Ho Chi Minh city";10.9;11.3;11.8;11.6;12.7;13.6;13.6;11.9;11.4;11.1;9.4;9.4;7.7;7.0;6.5;6.6;5.4;6.4;6.1;5.6;4.9
"Mekong River Delta";1035.7;1152.2;1254.0;1349.0;1448.5;1520.6;1537.6;1513.7;1498.9;1467.1;1478.7;1500.3;1506.5;1526.5;1548.8;1564.6;1567.5;1580.2;1564.4;1562.7;1562.3
"Long An";156.0;181.6;205.9;218.3;234.6;255.3;261.4;244.6;233.4;230.2;235.5;234.5;234.2;240.0;249.0;251.1;254.0;262.1;232.7;235.5;233.9
"Tien Giang";79.3;87.7;96.1;95.2;95.9;94.7;94.2;90.4;89.1;88.1;85.7;83.9;83.4;82.6;82.7;81.9;81.0;80.6;79.3;77.4;75.1
"Ben Tre";22.1;21.8;23.6;23.6;23.7;23.2;23.8;24.9;23.6;22.5;21.8;20.7;20.7;20.6;21.1;21.1;20.2;20.0;19.0;18.1;17.2
"Tra Vinh";35.0;39.1;46.0;48.5;53.2;53.0;54.3;55.0;53.6;53.9;53.6;52.8;49.7;53.7;56.1;59.5;61.1;58.2;64.5;66.4;68.9
"Vinh Long";72.7;73.8;74.8;75.9;76.2;76.0;75.9;74.5;72.7;71.5;70.9;69.7;68.5;68.2;67.6;66.9;65.8;63.8;63.5;61.5;61.0
"Dong Thap";175.0;189.3;196.6;198.2;202.6;203.7;206.0;204.5;203.1;202.5;203.3;205.6;208.4;208.0;207.2;207.7;206.9;208.3;208.2;207.4;204.9
"An Giang";178.0;188.2;209.8;212.5;216.6;220.4;221.7;218.8;220.5;220.3;223.3;231.1;230.6;231.7;234.1;234.2;235.5;235.9;238.1;237.5;238.6
"Kien  Giang";107.0;144.2;155.4;160.1;182.7;232.6;249.7;254.3;266.6;250.8;250.8;256.7;265.3;270.2;277.8;283.9;287.2;292.2;300.6;305.9;307.3
"Can Tho";165.6;163.6;167.2;167.4;175.2;180.3;181.9;180.9;177.6;93.9;93.4;93.0;92.1;90.6;90.1;89.8;88.7;87.8;88.0;88.0;87.3
"Hau Giang";..;..;..;..;..;..;..;..;..;84.9;85.4;84.2;79.0;81.6;82.3;84.3;83.0;77.9;79.9;77.5;80.0
"Soc Trang";45.0;61.4;69.3;119.7;137.2;132.0;134.6;140.6;138.6;136.5;136.0;139.7;140.7;139.3;138.6;139.6;138.3;138.8;141.3;141.3;141.5
"Bac Lieu";..;1.1;7.1;20.6;28.7;34.4;25.7;19.0;19.2;11.3;18.6;28.0;33.9;40.0;42.2;44.6;45.8;54.6;49.3;46.2;46.6
"Ca Mau";..;0.4;2.2;9.0;21.9;15.0;8.4;6.2;0.9;0.7;0.4;0.4;..;0.0;..;..;..;..;..;..;..
