"Production of aquaculture fish by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Gia Lai";56;61;66;71;76;79;84;85;90;153;188;239;278;376;552;1971;1931;1880;3230;2934;2959
"Dak Lak";1335;2250;2261;2598;3815;4466;4417;6133;5050;4562;5567;5503;5514;6253;6731;9218;13132;13821;14212;14534;14823
"Dak Nong";..;..;..;..;..;..;..;..;772;927;948;999;1216;1485;1570;2058;1585;1565;2801;2893;3760
"Lam Dong";2872;1658;1717;1792;1894;2046;2374;3056;4133;3869;3517;3480;4212;5226;5817;6425;7059;7109;7271;7383;8963
"South East";10525;11307;12253;11260;14310;18901;20122;22200;27423;44671;46248;50579;54352;59531;63532;65898;70899;71015;72649;79333;80701
"Binh Phuoc";200;666;1097;914;1332;1175;1650;2033;2862;3305;3820;4508;5269;6102;6941;6514;6034;3674;4777;5327;5292
"Tay Ninh";538;762;921;1271;1155;1379;1716;1747;1804;3929;3596;3334;3393;5460;7933;9396;9806;9467;11747;14414;15115
"Binh  Duong";194;207;221;225;229;232;246;267;323;2016;2854;3418;4019;4758;5063;5270;6484;6254;4149;3635;3680
"Dong Nai";5980;5504;6257;5254;7656;11757;11958;14172;16183;24739;23809;25971;26972;28432;28743;30989;33133;37577;36404;38320;40318
"Ba Ria - Vung Tau";814;1178;1074;682;967;955;1473;2115;2341;4592;5926;5910;4571;4817;5722;6604;8633;6837;7775;8112;8351
"Ho Chi Minh city";2799;2990;2683;2914;2971;3403;3079;1866;3910;6090;6243;7438;10128;9962;9130;7125;6809;7206;7797;9524;7945
"Mekong River Delta";119475;155871;165591;164072;198714;234755;248468;283326;366052;476376;652262;790179;1115253;1419010;1465435;1556904;1662399;1780667;1691563;1761159;1788517
"Long An";3838;4560;4515;7872;9146;7974;9533;8542;10717;14113;17210;18640;22438;22368;22156;23751;23093;19254;18350;17973;29721
"Tien Giang";13281;12224;14215;15465;15112;15238;19976;16091;20125;26365;36205;41568;49258;64962;76344;87925;90706;95117;98070;97432;103466
"Ben Tre";5200;4725;7490;5215;5675;7331;9313;7244;9848;12034;20029;31968;56260;117456;110760;124850;142538;177009;172353;176446;183285
"Tra Vinh";8523;7394;14500;15400;15100;17863;19091;25353;31312;45666;47587;47404;48084;54349;55114;53823;57425;53784;55771;53359;48069
"Vinh Long";6093;6110;6092;6144;6503;6907;8159;11470;17112;22563;28967;45422;91223;100464;113772;132690;135360;133670;114560;105012;105593
"Dong Thap";24461;27177;32163;31643;36709;34395;35388;35350;41857;66653;114808;158089;229022;279655;292720;341757;373243;420988;411727;457918;457416
"An Giang";34421;47993;41133;40728;60742;80032;83335;110157;136231;152507;179112;181137;262532;313739;295370;293441;292471;298395;286083;304185;319306
"Kien  Giang";1560;3079;3671;3115;4673;5477;6700;4786;5863;6097;8754;14687;27724;44445;52817;46637;46415;48515;60914;67338;65454
"Can Tho";6263;7054;7493;7043;11342;12963;15057;25148;36246;58986;83708;110090;150645;181656;191782;172331;188776;191724;172835;173739;156291
"Hau Giang";..;..;..;..;..;..;..;..;9867;15740;21771;25335;31595;38401;40492;43482;49623;61691;57829;56877;56154
"Soc Trang";2676;6814;3386;2121;2520;3173;3800;7620;9414;13696;28151;28909;45473;79000;80964;63440;73526;84240;65725;65724;59861
"Bac Lieu";891;3794;3873;4463;7397;11805;9167;9638;13772;18447;34430;46400;50469;51940;54985;63814;70826;70260;67815;69392;71436
"Ca Mau";12268;24947;27060;24863;23795;31597;28949;21927;23688;23509;31530;40530;50530;70575;78159;108963;118397;126019;109532;115765;132466
