"Area of concentrated planted forest by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Thua Thien-Hue";5.4;5.5;4.8;2.4;3.6;5.4;5.1;3.6;3.6;4.1;5.2;3.9;4.8;5.3;4.0;4.0;2.5;3.0;4.3;4.4;4.1
"Da Nang";1.7;1.9;2.0;1.3;0.4;0.4;0.5;0.4;0.6;0.5;0.6;0.6;0.7;0.6;..;0.8;0.2;0.5;0.4;0.5;0.3
"Quang  Nam";9.1;4.8;7.4;5.1;8.8;5.8;5.0;4.6;6.3;6.8;7.8;8.7;9.5;10.4;3.8;6.6;3.0;..;12.0;14.4;12.5
"Quang  Ngai";5.9;4.1;4.5;1.8;4.6;2.4;3.8;2.8;4.5;6.7;7.9;5.1;5.2;6.2;10.7;7.7;0.8;5.5;11.7;14.2;13.7
"Binh Dinh";6.3;3.8;5.4;3.1;2.9;2.5;4.4;4.1;4.8;6.0;6.8;6.7;6.8;6.1;7.8;6.6;9.3;9.3;8.5;9.7;9.9
"Phu Yen";6.5;6.1;3.0;2.5;2.6;2.4;2.0;2.8;4.6;3.3;3.4;2.4;2.4;3.9;3.0;5.0;3.0;4.0;4.6;4.0;4.0
"Khanh  Hoa";3.3;3.0;2.6;2.7;3.2;3.0;3.2;1.6;3.0;2.9;2.6;2.2;1.0;0.5;1.3;1.3;0.6;2.3;1.3;0.9;1.1
"Ninh  Thuan";1.9;0.6;0.8;0.8;1.6;2.1;3.1;2.9;0.7;0.5;1.0;0.9;0.4;0.4;6.8;0.4;1.6;0.5;0.1;..;0.4
"Binh Thuan";5.1;5.4;4.7;4.8;3.5;3.5;4.7;4.2;3.7;2.7;4.4;4.7;5.5;3.7;6.2;7.5;3.4;3.1;2.9;3.5;3.3
"Central Highlands";11.1;13.9;13.1;10.1;9.5;13.3;16.5;26.7;16.6;16.9;12.3;14.5;16.9;15.6;18.0;19.0;10.2;9.4;12.6;7.7;9.4
"Kon Tum";3.1;3.0;3.7;1.9;1.3;3.6;7.7;8.4;2.6;2.5;0.6;1.4;3.9;2.2;6.3;6.1;0.9;1.1;2.0;2.6;1.9
"Gia Lai";2.1;3.7;2.3;3.6;5.2;3.5;4.5;7.4;5.7;6.2;5.3;4.5;4.0;2.8;2.1;2.0;1.7;1.7;1.4;1.0;2.4
"Dak Lak";2.8;4.2;2.9;1.1;0.8;4.3;2.6;5.4;4.5;3.4;2.7;4.3;5.5;6.4;6.4;6.9;2.8;2.8;3.9;..;1.8
"Dak Nong";..;..;..;..;..;..;..;..;..;1.7;1.7;2.2;1.4;1.7;2.1;1.3;1.9;0.9;0.6;1.3;1.0
"Lam Dong";3.1;3.0;4.2;3.5;2.2;1.9;1.7;5.5;3.8;3.1;2.0;2.1;2.1;2.5;1.1;2.7;2.9;2.9;4.7;2.8;2.3
"South East";14.8;11.2;9.2;6.2;7.1;7.0;7.6;6.2;5.0;4.3;3.5;3.9;3.7;3.7;2.5;4.8;3.4;1.7;4.6;3.8;3.4
"Binh Phuoc";0.7;1.1;1.0;1.4;2.3;2.1;2.6;2.6;0.8;1.0;0.6;1.5;0.5;1.3;0.9;0.9;0.2;..;0.5;0.2;0.3
