"Production of aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre.2015"
"Central Highlands";4413;4135;4304;4786;6322;7329;8012;10103;10958;10449;11344;11483;13017;15020;16332;21375;25127;25849;29155;29610;32621
"Kon Tum";150;166;260;226;423;593;588;643;701;728;873;994;1216;1361;1348;1321;1336;1416;1570;1798;2059
"Gia Lai";56;61;66;71;76;79;84;85;92;153;188;240;278;377;552;1972;1933;1881;3231;2935;2960
"Dak Lak";1335;2250;2261;2697;3929;4611;4966;6319;5235;4748;5774;5713;5744;6481;6965;9468;13203;13871;14268;14591;14876
"Dak Nong";..;..;..;..;..;..;..;..;791;946;989;1053;1561;1566;1639;2181;1594;1565;2809;2897;3762
"Lam Dong";2872;1658;1717;1792;1894;2046;2374;3056;4139;3874;3520;3483;4218;5236;5828;6433;7061;7115;7278;7388;8963
"South East";27666;29749;29515;24675;25177;36427;45259;57566;62376;77004;78481;85099;89905;85625;83660;85776;95119;102537;107055;118105;119014
"Binh Phuoc";200;666;1097;914;1332;1175;1650;2033;2862;3305;3820;4508;5269;7390;6941;6514;6034;3674;4777;5327;5304
"Tay Ninh";543;762;921;1271;1155;1379;1716;1760;1816;3945;3653;3353;3489;5522;8019;9518;9970;9657;12075;14729;15430
"Binh  Duong";194;207;221;225;229;232;248;274;331;2023;2874;3454;4059;4831;5169;5381;6616;6385;4197;3674;3733
"Dong Nai";6131;5833;6615;5668;8285;12396;12855;15519;17755;26418;25424;27316;28947;32525;33081;31370;38229;42736;42037;43793;45598
"Ba Ria - Vung Tau";1061;1733;1686;1306;1381;1436;2622;3754;4607;8434;10661;11128;9531;7544;9004;10687;11103;12377;13539;14218;15041
"Ho Chi Minh city";19537;20549;18975;15291;12795;19809;26168;34226;35005;32879;32049;35340;38610;27814;21447;22306;23167;27708;30431;36364;33908
"Mekong River Delta";266982;285926;259348;255564;295102;365141;444394;518743;634798;773293;1002730;1166775;1527205;1838638;1894448;1986556;2128956;2256889;2258874;2403331;2450275
"Long An";4029;4825;4791;8404;9724;8954;11573;11152;15180;18750;23444;25931;29577;28185;29564;30510;32194;29665;30416;31344;42253
"Tien Giang";45161;36692;27341;28520;27813;28417;37267;40493;46510;54721;61095;67555;77497;97317;109832;120188;126014;135222;136602;137957;144992
"Ben Tre";66500;64081;42260;37618;42509;50340;61168;70619;66099;58520;63358;69264;99553;157018;146707;166671;195029;226256;230641;243576;242483
"Tra Vinh";12585;20460;25500;25700;26090;21673;28532;37624;48124;64189;73900;75980;83349;85757;83423;78834;89709;72213;88361;95328;91899
"Vinh Long";6150;6168;6150;6204;6568;6980;8241;11546;17164;22607;29038;45456;91287;100526;113859;132782;135445;133755;122154;105083;105686
"Dong Thap";24509;27292;32268;31806;36869;34723;35797;35998;42502;66874;114941;158491;230051;281366;294597;345373;376818;424263;413988;461415;460515
"An Giang";35060;48427;41579;40731;60984;80156;83643;110599;136825;154675;180562;181952;263989;315447;298235;296273;295216;300837;293500;305738;321565
"Kien  Giang";4901;7466;8324;7212;6387;9991;18979;14535;20636;25882;48231;66159;84774;110230;115678;90232;106506;127033;135011;170335;183380
"Can Tho";6405;7171;7606;7160;11359;12980;15122;25215;36324;59086;83783;110214;150857;181743;191824;172360;188808;191753;173862;173769;156326
"Hau Giang";..;..;..;..;..;..;..;..;9899;15790;21810;25570;31851;38659;40767;44424;50616;62814;59014;58246;57333
"Soc Trang";6210;10258;7366;8091;6400;15422;18680;23695;30750;41201;71708;82080;104630;138184;141592;124550;122045;124927;138479;148163;149542
"Bac Lieu";8503;9814;10168;11755;13681;22366;37704;48953;72468;92812;110775;119800;130065;129730;139700;150003;154979;158388;160436;178095;190984
"Ca Mau";46969;43272;45995;42363;46718;73139;87688;88314;92317;98186;120086;138323;149725;174476;188670;234356;255577;269763;276410;294282;303318
