"Yield of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Tay Ninh";18.3;64.1;34.3;31.5;29.4;35.4;39.1;42.5;42.1;43.9;46.5;44.9;47.5;49.0;49.0;50.8;50.2;50.6;52.9;53.3;55.2
"Binh  Duong";8.3;7.4;16.4;15.8;16.2;16.2;16.2;17.7;18.3;20.0;20.0;20.0;21.7;20.0;24.0;24.0;20.0;22.5;20.0;17.5;17.5
"Dong Nai";29.5;36.0;31.4;31.1;32.8;35.7;34.9;35.9;39.2;39.1;49.2;50.8;53.1;55.5;57.7;59.1;61.2;64.1;65.4;67.9;70.3
"Ba Ria - Vung Tau";22.9;31.8;32.2;34.2;32.8;35.3;35.1;36.7;37.1;39.0;40.4;41.1;41.6;42.5;42.9;42.9;43.7;42.3;45.1;45.7;45.5
"Ho Chi Minh city";18.6;18.6;28.9;30.0;28.2;30.9;32.7;31.7;31.4;34.4;33.0;34.2;33.6;35.7;34.2;34.4;38.3;32.5;31.8;32.1;31.8
"Mekong River Delta";41.6;43.9;31.2;31.6;27.2;27.3;41.7;42.3;47.5;53.0;54.4;56.0;55.5;56.4;52.2;53.2;53.4;54.0;56.8;60.4;59.1
"Long An";40.0;60.0;50.0;35.0;25.0;32.5;46.8;40.0;45.0;45.5;45.3;48.5;57.8;54.1;48.8;54.8;52.9;59.5;57.0;69.5;69.0
"Tien Giang";18.8;21.9;24.5;25.8;25.0;24.8;24.3;25.9;26.9;31.3;31.8;32.0;31.9;33.5;33.2;33.4;33.0;33.5;34.5;36.3;35.9
"Ben Tre";25.8;25.8;26.7;27.8;31.7;27.5;31.0;30.9;32.5;35.0;36.3;27.1;32.9;30.0;34.4;38.9;39.0;37.8;37.9;38.6;37.1
"Tra Vinh";8.2;5.6;27.7;27.6;28.3;29.6;34.3;36.0;41.2;42.4;44.8;44.3;44.1;54.2;46.4;51.9;50.9;47.6;53.9;55.0;54.4
"Vinh Long";14.3;13.8;14.3;17.1;16.3;20.0;18.6;18.2;20.0;18.8;18.8;18.9;20.0;20.0;20.8;21.5;21.3;22.0;22.7;23.6;23.3
"Dong Thap";35.9;56.3;41.5;40.9;48.4;40.4;45.6;47.4;49.2;62.6;63.9;72.2;72.0;76.1;74.0;67.6;64.5;72.6;76.8;77.4;76.7
"An Giang";65.7;65.3;38.1;39.5;19.0;20.6;57.6;59.1;68.7;75.3;78.4;76.0;76.3;74.4;70.8;69.8;73.8;70.8;72.3;80.7;75.1
"Kien  Giang";..;..;..;..;..;..;..;4.5;20.0;20.0;..;45.3;..;43.2;41.1;..;30.0;30.0;54.9;70.0;130.0
"Can Tho";34.0;40.0;35.3;32.5;31.0;32.7;33.0;41.3;41.7;47.1;50.0;47.5;48.9;50.0;46.4;50.0;50.0;50.0;52.2;55.0;55.0
"Hau Giang";..;..;..;..;..;..;..;..;..;43.9;43.3;46.2;48.1;42.9;48.5;46.1;47.1;46.8;47.5;49.3;62.9
"Soc Trang";20.0;25.2;21.2;25.6;24.6;24.8;30.0;30.8;31.1;34.2;33.9;33.6;33.1;36.2;38.2;38.6;37.3;37.1;38.2;38.7;40.0
"Bac Lieu";20.0;30.0;25.0;25.0;26.7;26.7;30.0;60.0;36.7;57.5;42.0;42.0;45.0;35.0;70.0;70.0;70.0;60.0;53.0;40.0;70.0
"Ca Mau";30.0;30.0;20.0;20.0;35.0;36.7;30.0;38.0;30.0;30.0;35.0;35.0;25.0;25.0;35.0;33.3;33.3;34.0;36.2;36.0;36.0
