"Production of cereals per capita by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Quang Binh";172.4;210.5;207.1;163.8;223.2;251.5;249.3;263.5;267.4;290.8;284.8;300.8;280.4;309.9;313.4;299.3;329.7;330.9;317.4;344.5;342.5
"Quang Tri";229.2;262.5;276.9;216.8;311.0;334.8;318.9;347.2;339.2;356.3;348.6;371.2;370.5;379.1;368.5;367.8;384.7;411.9;381.1;437.9;405.0
"Thua Thien-Hue";167.8;186.3;193.9;182.8;207.0;187.3;193.1;196.8;217.6;224.0;223.8;241.3;246.2;258.2;265.1;266.9;276.8;274.8;259.5;285.7;285.4
"Da Nang";84.9;90.6;87.2;77.0;78.9;75.1;76.4;74.3;73.1;68.5;57.1;61.8;58.8;54.4;52.4;49.4;40.8;39.9;34.8;35.6;32.5
"Quang  Nam";241.7;259.0;257.2;254.3;261.3;256.5;260.9;266.3;293.7;294.0;291.8;307.2;315.7;306.6;312.4;328.2;329.4;349.1;338.9;357.8;350.3
"Quang  Ngai";226.6;270.3;259.3;270.1;292.5;280.5;278.2;296.0;321.0;321.4;341.9;352.2;357.4;335.3;345.2;363.5;354.5;375.8;379.0;386.8;388.1
"Binh Dinh";290.7;313.9;317.0;304.7;347.4;359.6;375.1;355.6;382.0;387.6;379.6;435.4;416.9;444.8;432.2;451.5;462.6;464.4;433.3;459.6;468.5
"Phu Yen";348.6;366.9;372.6;348.7;369.1;350.2;350.3;362.7;390.9;394.8;391.7;391.3;396.8;364.3;396.7;419.7;419.2;420.2;438.2;436.1;446.8
"Khanh  Hoa";155.1;170.0;177.5;170.9;175.7;185.1;186.8;168.3;195.3;188.5;132.7;190.1;180.4;196.3;207.3;208.7;217.1;220.4;229.4;230.8;175.6
"Ninh  Thuan";282.7;276.3;309.2;284.7;338.8;322.6;294.5;291.9;303.4;334.5;213.7;382.7;386.8;443.0;469.6;413.2;491.3;502.3;524.9;553.1;469.1
