"Production of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Quang Binh";4.7;5.5;8.5;6.8;7.7;10.4;10.7;11.3;11.5;16.4;14.8;18.9;18.9;21.1;21.1;19.1;21.0;21.3;21.8;21.4;23.3
"Quang Tri";1.6;2.0;2.9;1.9;3.5;3.1;2.9;3.3;3.6;5.2;5.8;6.2;6.6;7.9;7.6;8.3;7.9;9.9;9.5;11.2;11.7
"Thua Thien-Hue";1.1;1.5;1.8;1.7;1.2;2.7;3.4;3.9;3.9;4.2;5.1;7.2;6.5;5.3;5.7;6.0;6.2;6.9;6.4;6.2;6.3
"Da Nang";0.3;0.3;0.4;0.3;0.3;0.6;2.4;4.6;4.8;4.6;4.2;4.7;4.6;4.7;4.9;4.7;4.4;3.5;3.0;2.0;2.1
"Quang  Nam";11.1;10.4;15.1;14.3;14.8;26.5;35.6;34.6;41.5;42.9;43.8;48.3;51.2;54.1;50.1;55.7;55.7;58.6;55.5;59.7;57.4
"Quang  Ngai";8.5;12.4;14.4;13.2;13.7;24.9;30.1;32.7;35.9;42.3;46.6;50.2;52.9;53.6;50.2;51.8;52.6;55.3;56.2;57.7;56.3
"Binh Dinh";3.1;4.3;6.2;4.0;4.3;9.5;13.3;20.9;26.6;28.6;33.6;36.7;38.8;41.8;38.5;40.4;43.7;46.0;47.2;46.4;49.8
"Phu Yen";1.5;2.6;2.9;2.3;2.6;2.8;3.5;4.2;8.9;10.9;12.8;16.2;15.4;17.5;15.3;17.2;21.0;22.7;22.7;22.0;22.0
"Khanh  Hoa";6.8;7.1;4.4;5.1;5.5;7.3;7.3;5.0;8.4;7.6;7.7;9.8;11.4;10.4;11.9;12.1;13.3;14.1;14.6;14.9;12.7
"Ninh  Thuan";6.7;7.8;12.9;10.7;11.6;20.1;21.1;19.4;27.7;27.7;36.7;38.8;41.3;47.6;51.9;46.6;56.5;52.9;59.5;58.5;49.9
"Binh Thuan";17.5;19.4;25.0;27.3;28.1;34.6;50.3;62.7;85.4;87.9;93.2;101.2;104.7;100.3;107.2;109.6;104.2;116.8;119.6;123.0;122.7
"Central Highlands";112.9;169.8;211.9;216.8;227.4;320.3;363.5;507.2;784.7;749.8;963.1;1014.3;1056.9;1079.2;1117.2;1184.2;1210.4;1240.0;1302.9;1326.5;1293.9
"Kon Tum";4.8;6.3;7.8;8.1;8.3;13.1;19.6;24.6;29.3;31.3;32.3;30.2;30.4;28.2;28.4;28.4;26.2;26.3;26.7;25.0;23.9
"Gia Lai";14.6;36.9;39.0;33.3;43.4;64.7;81.5;104.7;155.0;155.5;190.7;196.4;204.3;194.2;208.4;218.7;207.7;208.3;212.4;216.6;219.3
"Dak Lak";50.6;71.0;99.6;112.5;119.0;193.5;219.8;337.9;531.0;422.3;510.1;544.0;558.1;578.1;565.9;618.1;642.3;619.5;660.5;671.4;650.4
"Dak Nong";..;..;..;..;..;..;..;..;..;74.8;143.8;160.4;176.8;205.0;236.7;247.8;255.8;297.8;319.3;334.4;326.4
"Lam Dong";42.9;55.6;65.5;62.9;56.7;49.0;42.6;40.0;69.4;65.9;86.2;83.3;87.3;73.7;77.8;71.2;78.4;88.1;84.0;79.1;73.9
"South East";220.9;321.6;307.1;278.9;295.9;347.2;340.8;367.5;401.5;384.1;434.8;428.6;448.2;447.7;459.3;414.9;426.6;445.3;462.6;478.2;488.9
"Binh Phuoc";2.7;8.5;16.9;13.8;15.9;15.5;17.6;18.9;22.7;20.9;24.2;21.8;20.3;18.3;23.3;21.0;16.7;18.8;19.4;18.4;18.7
"Tay Ninh";1.1;28.2;24.0;19.2;15.9;25.1;28.9;28.9;34.1;29.4;36.7;35.0;33.7;30.9;35.8;30.0;26.1;26.3;27.0;27.7;27.6
